Cup,Dead,L2_crisper,L2,L3,L4,L5,L6,Pupa,Sex,Days_L2,Days_L3,Days_L4,Days_L5,skippers_L4,Days_L6,skippers_L6
127,,01-09-2017,06-09-2017,14-09-2017,20-09-2017,26-09-2017,02-10-2017,16-10-2017,F,8,6,6,6,,14,
128,13-09-2017,01-09-2017,06-09-2017,,,,,,,,,,,,,
129,,01-09-2017,06-09-2017,14-09-2017,20-09-2017,,27-09-2017,09-10-2017,M,8,6,,,7,12,12
130,,01-09-2017,06-09-2017,13-09-2017,20-09-2017,,26-09-2017,08-10-2017,M,7,7,,,6,12,12
131,,01-09-2017,06-09-2017,15-09-2017,21-09-2017,,28-09-2017,10-10-2017,M,9,6,,,7,12,12
132,08-09-2017,01-09-2017,06-09-2017,,,,,,,,,,,,,
133,,01-09-2017,06-09-2017,14-09-2017,20-09-2017,,28-09-2017,10-10-2017,M,8,6,,,8,12,12
134,14-09-2017,01-09-2017,06-09-2017,,,,,,,,,,,,,
135,,01-09-2017,06-09-2017,14-09-2017,19-09-2017,25-09-2017,01-10-2017,12-10-2017,M,8,5,6,6,,11,
136,,01-09-2017,06-09-2017,14-09-2017,21-09-2017,27-09-2017,04-10-2017,16-10-2017,F,8,7,6,7,,12,
137,,01-09-2017,06-09-2017,15-09-2017,21-09-2017,26-09-2017,02-10-2017,13-10-2017,M,9,6,5,6,,11,
138,14-09-2017,01-09-2017,06-09-2017,,,,,,,,,,,,,
139,,01-09-2017,06-09-2017,15-09-2017,20-09-2017,26-09-2017,04-10-2017,17-10-2017,F,9,5,6,8,,13,
140,,01-09-2017,06-09-2017,13-09-2017,20-09-2017,26-09-2017,04-10-2017,18-10-2017,F,7,7,6,8,,14,
141,,01-09-2017,06-09-2017,14-09-2017,21-09-2017,27-09-2017,04-10-2017,18-10-2017,F,8,7,6,7,,14,
142,,01-09-2017,06-09-2017,15-09-2017,23-09-2017,29-09-2017,06-10-2017,19-10-2017,M,9,8,6,7,,13,
143,,01-09-2017,06-09-2017,15-09-2017,20-09-2017,26-09-2017,01-10-2017,13-10-2017,M,9,5,6,5,,12,
144,,01-09-2017,06-09-2017,14-09-2017,20-09-2017,,28-09-2017,09-10-2017,M,8,6,,,8,11,11
145,,01-09-2017,06-09-2017,14-09-2017,20-09-2017,26-09-2017,02-10-2017,12-10-2017,M,8,6,6,6,,10,
146,,01-09-2017,06-09-2017,17-09-2017,23-09-2017,29-09-2017,05-10-2017,19-10-2017,F,11,6,6,6,,14,
147,,01-09-2017,06-09-2017,13-09-2017,19-09-2017,24-09-2017,30-09-2017,13-10-2017,F,7,6,5,6,,13,
148,23-10-2017,01-09-2017,06-09-2017,17-09-2017,01-10-2017,,,,,11,14,,,,,
