Cup #,Dead,Crisper setup,L2,Time_in_treatment_L2,Days_1_L2,Time_to_20deg_L2,L3,Time_in_treatment_L3,Days_1_L3,Time_to_20deg_L3,L4,Time_in_treatment_L4,Days_1_L4,Time_to_20deg_L4,L5,Time_in_treatment_L5,Days_2_L5,Time_to_20deg_L5,L5.5,Time_in_treatment_L5.5,Days_2_L5.5,Time_to_20deg_L5.5,L6,Time_in_treatment_L6,Days_3_L6,Time_to_20deg_L6,L6.5,Time_in_treatment_L6.5,Days_3_L6.5,Time_to_20deg_L6.5,Pupa,Sex
1,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,31-01-2018,11:00,01-02-2018,09:00,05-02-2018,11:00,06-02-2018,09:00,08-02-2018,10:00,10-02-2018,09:00,,,,,10-02-2018,11:00,13-02-2018,09:00,,,,,16-02-2018,M
2,16-02-18,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,31-01-2018,11:00,01-02-2018,09:00,06-02-2018,11:00,07-02-2018,09:00,,,,,,,,,,,,,,,,,,
3,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,31-01-2018,11:00,01-02-2018,09:00,04-02-2018,11:00,05-02-2018,09:00,08-02-2018,10:00,10-02-2018,09:00,,,,,12-02-2018,10:00,15-02-2018,09:00,,,,,19-02-2018,F
4,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,30-01-2018,15:00,31-01-2018,09:00,04-02-2018,11:00,05-02-2018,09:00,08-02-2018,10:00,10-02-2018,09:00,11-02-2018,11:00,13-02-2018,09:00,14-02-2018,10:00,17-02-2018,09:00,,,,,23-02-2018,F
5,16-02-18,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,30-01-2018,15:00,31-01-2018,09:00,04-02-2018,11:00,05-02-2018,09:00,,,,,,,,,,,,,,,,,,
6,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,01-02-2018,10:00,02-02-2018,09:00,05-02-2018,11:00,06-02-2018,09:00,09-02-2018,14:00,11-02-2018,10:00,,,,,12-02-2018,10:00,15-02-2018,09:00,,,,,18-02-2018,M
7,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,30-01-2018,15:00,31-01-2018,09:00,04-02-2018,11:00,05-02-2018,09:00,08-02-2018,10:00,10-02-2018,09:00,,,,,11-02-2018,11:00,14-02-2018,08:00,,,,,24-02-2018,F
8,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,31-01-2018,11:00,01-02-2018,09:00,04-02-2018,11:00,05-02-2018,09:00,08-02-2018,10:00,10-02-2018,09:00,,,,,11-02-2018,11:00,14-02-2018,08:00,,,,,16-02-2018,M
9,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,30-01-2018,15:00,31-01-2018,09:00,03-02-2018,11:00,04-02-2018,09:00,06-02-2018,11:00,08-02-2018,08:00,,,,,08-02-2018,10:00,11-02-2018,10:00,,,,,15-02-2018,M
10,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,31-01-2018,11:00,01-02-2018,09:00,04-02-2018,11:00,05-02-2018,09:00,07-02-2018,13:00,09-02-2018,09:00,,,,,14-02-2018,10:00,17-02-2018,09:00,,,,,19-02-2018,M
11,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,02-02-2018,11:00,03-02-2018,09:00,07-02-2018,13:00,08-02-2018,08:00,11-02-2018,11:00,13-02-2018,09:00,,,,,14-02-2018,10:00,17-02-2018,09:00,,,,,21-02-2018,M
12,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,31-01-2018,11:00,01-02-2018,09:00,04-02-2018,11:00,05-02-2018,09:00,08-02-2018,10:00,10-02-2018,09:00,,,,,10-02-2018,11:00,13-02-2018,09:00,,,,,15-02-2018,M
13,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,01-02-2018,10:00,02-02-2018,09:00,06-02-2018,11:00,07-02-2018,09:00,11-02-2018,11:00,13-02-2018,09:00,,,,,15-02-2018,10:00,18-02-2018,09:00,,,,,23-02-2018,F
14,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,31-01-2018,11:00,01-02-2018,09:00,04-02-2018,11:00,05-02-2018,09:00,07-02-2018,13:00,09-02-2018,09:00,,,,,09-02-2018,14:00,12-02-2018,09:00,,,,,14-02-2018,M
15,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,31-01-2018,11:00,01-02-2018,09:00,04-02-2018,11:00,05-02-2018,09:00,09-02-2018,14:00,11-02-2018,10:00,11-02-2018,11:00,13-02-2018,09:00,15-02-2018,10:00,18-02-2018,09:00,,,,,23-02-2018,F
16,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,30-01-2018,15:00,31-01-2018,09:00,03-02-2018,11:00,04-02-2018,09:00,07-02-2018,13:00,09-02-2018,09:00,,,,,11-02-2018,11:00,14-02-2018,08:00,,,,,19-02-2018,M
17,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,30-01-2018,15:00,31-01-2018,09:00,01-02-2018,10:00,02-02-2018,09:00,03-02-2018,11:00,05-02-2018,09:00,,,,,06-02-2018,11:00,09-02-2018,09:00,,,,,13-02-2018,F
18,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,30-01-2018,15:00,31-01-2018,09:00,03-02-2018,11:00,04-02-2018,09:00,06-02-2018,11:00,08-02-2018,08:00,,,,,09-02-2018,14:00,12-02-2018,09:00,,,,,16-02-2018,F
19,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,30-01-2018,15:00,31-01-2018,09:00,03-02-2018,11:00,04-02-2018,09:00,06-02-2018,11:00,08-02-2018,08:00,,,,,08-02-2018,10:00,11-02-2018,10:00,,,,,14-02-2018,M
20,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,31-01-2018,11:00,01-02-2018,09:00,05-02-2018,11:00,06-02-2018,09:00,09-02-2018,14:00,11-02-2018,10:00,,,,,11-02-2018,11:00,14-02-2018,08:00,,,,,19-02-2018,F
21,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,30-01-2018,15:00,31-01-2018,09:00,03-02-2018,11:00,04-02-2018,09:00,06-02-2018,11:00,08-02-2018,08:00,,,,,09-02-2018,14:00,12-02-2018,09:00,,,,,13-02-2018,M
22,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,01-02-2018,10:00,02-02-2018,09:00,07-02-2018,13:00,08-02-2018,08:00,12-02-2018,10:00,14-02-2018,08:00,14-02-2018,10:00,16-02-2018,09:00,17-02-2018,11:00,20-02-2018,09:00,,,,,21-02-2018,M
23,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,31-01-2018,11:00,01-02-2018,09:00,05-02-2018,11:00,06-02-2018,09:00,09-02-2018,14:00,11-02-2018,10:00,,,,,11-02-2018,11:00,14-02-2018,08:00,,,,,18-02-2018,F
24,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,30-01-2018,15:00,31-01-2018,09:00,04-02-2018,11:00,05-02-2018,09:00,07-02-2018,13:00,09-02-2018,09:00,,,,,09-02-2018,14:00,12-02-2018,09:00,,,,,20-02-2018,F
25,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,30-01-2018,15:00,31-01-2018,09:00,04-02-2018,11:00,05-02-2018,09:00,08-02-2018,10:00,10-02-2018,09:00,,,,,11-02-2018,11:00,14-02-2018,08:00,,,,,18-02-2018,F
26,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,02-02-2018,11:00,03-02-2018,09:00,07-02-2018,13:00,08-02-2018,08:00,11-02-2018,11:00,13-02-2018,09:00,,,,,14-02-2018,10:00,17-02-2018,09:00,,,,,21-02-2018,F
27,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,30-01-2018,15:00,31-01-2018,09:00,03-02-2018,11:00,04-02-2018,09:00,08-02-2018,10:00,10-02-2018,09:00,,,,,11-02-2018,11:00,14-02-2018,08:00,,,,,16-02-2018,M
28,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,30-01-2018,15:00,31-01-2018,09:00,02-02-2018,11:00,03-02-2018,09:00,05-02-2018,11:00,07-02-2018,09:00,,,,,07-02-2018,13:00,10-02-2018,09:00,,,,,12-02-2018,M
29,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,31-01-2018,11:00,01-02-2018,09:00,04-02-2018,11:00,05-02-2018,09:00,08-02-2018,10:00,10-02-2018,09:00,,,,,10-02-2018,11:00,13-02-2018,09:00,,,,,17-02-2018,F
30,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,30-01-2018,15:00,31-01-2018,09:00,03-02-2018,11:00,04-02-2018,09:00,07-02-2018,13:00,09-02-2018,09:00,,,,,10-02-2018,11:00,13-02-2018,09:00,,,,,15-02-2018,M
31,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,30-01-2018,15:00,31-01-2018,09:00,03-02-2018,11:00,04-02-2018,09:00,05-02-2018,11:00,07-02-2018,09:00,,,,,08-02-2018,10:00,11-02-2018,10:00,,,,,13-02-2018,M
32,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,30-01-2018,15:00,31-01-2018,09:00,03-02-2018,11:00,04-02-2018,09:00,07-02-2018,13:00,09-02-2018,09:00,,,,,10-02-2018,11:00,13-02-2018,09:00,,,,,14-02-2018,M
33,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,01-02-2018,10:00,02-02-2018,09:00,05-02-2018,11:00,06-02-2018,09:00,07-02-2018,13:00,09-02-2018,09:00,,,,,10-02-2018,11:00,13-02-2018,09:00,,,,,18-02-2018,F
34,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,30-01-2018,15:00,31-01-2018,09:00,03-02-2018,11:00,04-02-2018,09:00,07-02-2018,13:00,09-02-2018,09:00,,,,,10-02-2018,11:00,13-02-2018,09:00,,,,,16-02-2018,F
35,03-02-18,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,31-01-2018,11:00,01-02-2018,09:00,05-02-2018,11:00,06-02-2018,09:00,09-02-2018,14:00,11-02-2018,10:00,,,,,12-02-2018,10:00,15-02-2018,09:00,,,,,28-02-2018,F
37,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,30-01-2018,15:00,31-01-2018,09:00,03-02-2018,11:00,04-02-2018,09:00,06-02-2018,11:00,08-02-2018,08:00,,,,,09-02-2018,14:00,12-02-2018,09:00,,,,,16-02-2018,M
