Cup #,Dead,Crisper setup,L2,Time_in_treatment_L2,Days_1_L2,Time_to_20deg_L2,L3,Time_in_treatment_L3,Days_1_L3,Time_to_20deg_L3,L4,Time_in_treatment_L4,Days_1_L4,Time_to_20deg_L4,L5,Time_in_treatment_L5,Days_2_L5,Time_to_20deg_L5,L5.5,Time_in_treatment_L5.5,Days_2_L5.5,Time_to_20deg_L5.5,L6,Time_in_treatment_L6,Days_3_L6,Time_to_20deg_L6,L6.5,Time_in_treatment_L6.5,Days_3_L6.5,Time_to_20deg_L6.5,Pupa,Sex
38,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,31-01-2018,11:00,01-02-2018,09:00,05-02-2018,11:00,06-02-2018,09:00,10-02-2018,11:00,12-02-2018,09:00,,,,,14-02-2018,10:00,17-02-2018,09:00,,,,,27-02-2018,M
39,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,30-01-2018,15:00,31-01-2018,09:00,04-02-2018,11:00,05-02-2018,09:00,07-02-2018,13:00,09-02-2018,09:00,,,,,11-02-2018,11:00,14-02-2018,08:00,,,,,18-02-2018,F
40,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,30-01-2018,15:00,31-01-2018,09:00,03-02-2018,11:00,04-02-2018,09:00,,,,,,,,,08-02-2018,10:00,11-02-2018,10:00,,,,,14-02-2018,M
41,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,31-01-2018,11:00,01-02-2018,09:00,04-02-2018,11:00,05-02-2018,09:00,08-02-2018,10:00,10-02-2018,09:00,,,,,11-02-2018,11:00,14-02-2018,08:00,,,,,17-02-2018,M
42,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,30-01-2018,15:00,31-01-2018,09:00,04-02-2018,11:00,05-02-2018,09:00,08-02-2018,10:00,10-02-2018,09:00,,,,,12-02-2018,10:00,15-02-2018,09:00,,,,,22-02-2018,M
43,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,30-01-2018,15:00,31-01-2018,09:00,04-02-2018,11:00,05-02-2018,09:00,08-02-2018,10:00,10-02-2018,09:00,,,,,10-02-2018,11:00,13-02-2018,09:00,,,,,21-02-2018,M
44,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,30-01-2018,15:00,31-01-2018,09:00,05-02-2018,11:00,06-02-2018,09:00,10-02-2018,11:00,12-02-2018,09:00,,,,,13-02-2018,10:00,16-02-2018,09:00,,,,,20-02-2018,M
45,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,30-01-2018,15:00,31-01-2018,09:00,03-02-2018,11:00,04-02-2018,09:00,07-02-2018,13:00,09-02-2018,09:00,,,,,10-02-2018,11:00,13-02-2018,09:00,,,,,19-02-2018,F
46,08-02-18,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,31-01-2018,11:00,01-02-2018,09:00,05-02-2018,11:00,06-02-2018,09:00,08-02-2018,10:00,10-02-2018,09:00,,,,,13-02-2018,10:00,16-02-2018,09:00,,,,,25-02-2018,F
48,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,01-02-2018,10:00,02-02-2018,09:00,06-02-2018,11:00,07-02-2018,09:00,11-02-2018,11:00,13-02-2018,09:00,,,,,16-02-2018,10:00,19-02-2018,12:00,,,,,23-02-2018,M
49,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,30-01-2018,15:00,31-01-2018,09:00,03-02-2018,11:00,04-02-2018,09:00,07-02-2018,13:00,09-02-2018,09:00,,,,,10-02-2018,11:00,13-02-2018,09:00,,,,,17-02-2018,M
50,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,31-01-2018,11:00,01-02-2018,09:00,04-02-2018,11:00,05-02-2018,09:00,07-02-2018,13:00,09-02-2018,09:00,,,,,10-02-2018,11:00,13-02-2018,09:00,,,,,19-02-2018,F
51,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,29-01-2018,10:00,30-01-2018,09:00,02-02-2018,11:00,03-02-2018,09:00,06-02-2018,11:00,08-02-2018,08:00,,,,,09-02-2018,14:00,12-02-2018,09:00,,,,,17-02-2018,F
52,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,30-01-2018,15:00,31-01-2018,09:00,04-02-2018,11:00,05-02-2018,09:00,08-02-2018,10:00,10-02-2018,09:00,,,,,11-02-2018,11:00,14-02-2018,08:00,,,,,23-02-2018,M
53,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,31-01-2018,11:00,01-02-2018,09:00,04-02-2018,11:00,05-02-2018,09:00,07-02-2018,13:00,09-02-2018,09:00,,,,,09-02-2018,14:00,12-02-2018,09:00,14-02-2018,10:00,17-02-2018,09:00,20-02-2018,F
54,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,30-01-2018,15:00,31-01-2018,09:00,04-02-2018,11:00,05-02-2018,09:00,07-02-2018,13:00,09-02-2018,09:00,,,,,10-02-2018,11:00,13-02-2018,09:00,,,,,21-02-2018,F
55,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,31-01-2018,11:00,01-02-2018,09:00,05-02-2018,11:00,06-02-2018,09:00,09-02-2018,14:00,11-02-2018,10:00,,,,,13-02-2018,10:00,16-02-2018,09:00,,,,,21-02-2018,F
56,31-01-18,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,,,,,,,,,,,,,,,,,,,,,,,,,,
57,03-03-18,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,31-01-2018,11:00,01-02-2018,09:00,05-02-2018,11:00,06-02-2018,09:00,10-02-2018,11:00,12-02-2018,09:00,,,,,,,,,,,,,,
58,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,30-01-2018,15:00,31-01-2018,09:00,03-02-2018,11:00,04-02-2018,09:00,07-02-2018,13:00,09-02-2018,09:00,09-02-2018,14:00,11-02-2018,10:00,12-02-2018,10:00,15-02-2018,09:00,,,,,27-02-2018,F
59,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,31-01-2018,11:00,01-02-2018,09:00,05-02-2018,11:00,06-02-2018,09:00,08-02-2018,10:00,10-02-2018,09:00,,,,,11-02-2018,11:00,14-02-2018,08:00,,,,,22-02-2018,F
60,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,30-01-2018,15:00,31-01-2018,09:00,02-02-2018,11:00,03-02-2018,09:00,05-02-2018,11:00,07-02-2018,09:00,,,,,08-02-2018,10:00,11-02-2018,10:00,,,,,15-02-2018,F
61,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,30-01-2018,15:00,31-01-2018,09:00,04-02-2018,11:00,05-02-2018,09:00,09-02-2018,14:00,11-02-2018,10:00,,,,,11-02-2018,11:00,14-02-2018,08:00,,,,,20-02-2018,F
62,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,01-02-2018,10:00,02-02-2018,09:00,05-02-2018,11:00,06-02-2018,09:00,10-02-2018,11:00,12-02-2018,09:00,,,,,13-02-2018,10:00,16-02-2018,09:00,,,,,01-03-2018,F
63,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,31-01-2018,11:00,01-02-2018,09:00,03-02-2018,11:00,04-02-2018,09:00,08-02-2018,10:00,10-02-2018,09:00,,,,,11-02-2018,11:00,14-02-2018,08:00,,,,,18-02-2018,F
64,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,01-02-2018,10:00,02-02-2018,09:00,05-02-2018,11:00,06-02-2018,09:00,09-02-2018,14:00,11-02-2018,10:00,,,,,12-02-2018,10:00,15-02-2018,09:00,,,,,17-02-2018,M
65,08-02-18,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,31-01-2018,11:00,01-02-2018,09:00,04-02-2018,11:00,05-02-2018,09:00,,,,,,,,,,,,,,,,,,
66,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,30-01-2018,15:00,31-01-2018,09:00,03-02-2018,11:00,04-02-2018,09:00,07-02-2018,13:00,09-02-2018,09:00,,,,,10-02-2018,11:00,13-02-2018,09:00,,,,,18-02-2018,F
67,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,02-02-2018,11:00,03-02-2018,09:00,06-02-2018,11:00,07-02-2018,09:00,07-02-2018,13:00,09-02-2018,09:00,,,,,13-02-2018,10:00,16-02-2018,09:00,,,,,19-02-2018,M
68,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,30-01-2018,15:00,31-01-2018,09:00,04-02-2018,11:00,05-02-2018,09:00,08-02-2018,10:00,10-02-2018,09:00,10-02-2018,11:00,12-02-2018,09:00,13-02-2018,10:00,16-02-2018,09:00,,,,,21-02-2018,F
69,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,30-01-2018,15:00,31-01-2018,09:00,04-02-2018,11:00,05-02-2018,09:00,08-02-2018,10:00,10-02-2018,09:00,,,,,11-02-2018,11:00,14-02-2018,08:00,,,,,17-02-2018,F
70,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,02-02-2018,11:00,03-02-2018,09:00,06-02-2018,11:00,07-02-2018,09:00,10-02-2018,11:00,12-02-2018,09:00,,,,,13-02-2018,10:00,16-02-2018,09:00,,,,,20-02-2018,F
71,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,31-01-2018,11:00,01-02-2018,09:00,05-02-2018,11:00,06-02-2018,09:00,07-02-2018,13:00,09-02-2018,09:00,,,,,10-02-2018,11:00,13-02-2018,09:00,,,,,19-02-2018,F
72,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,01-02-2018,10:00,02-02-2018,09:00,06-02-2018,11:00,07-02-2018,09:00,08-02-2018,10:00,10-02-2018,09:00,,,,,12-02-2018,10:00,15-02-2018,09:00,,,,,22-02-2018,F
73,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,31-01-2018,11:00,01-02-2018,09:00,04-02-2018,11:00,05-02-2018,09:00,08-02-2018,10:00,10-02-2018,09:00,,,,,10-02-2018,11:00,13-02-2018,09:00,,,,,21-02-2018,F
74,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,31-01-2018,11:00,01-02-2018,09:00,05-02-2018,11:00,06-02-2018,09:00,11-02-2018,11:00,13-02-2018,09:00,,,,,15-02-2018,10:00,18-02-2018,09:00,,,,,27-02-2018,F
75,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,29-01-2018,10:00,30-01-2018,09:00,03-02-2018,11:00,04-02-2018,09:00,06-02-2018,11:00,08-02-2018,08:00,,,,,10-02-2018,11:00,13-02-2018,09:00,,,,,15-02-2018,M
76,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,31-01-2018,11:00,01-02-2018,09:00,05-02-2018,11:00,06-02-2018,09:00,09-02-2018,14:00,11-02-2018,10:00,,,,,14-02-2018,10:00,17-02-2018,09:00,,,,,23-02-2018,F
77,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,31-01-2018,11:00,01-02-2018,09:00,04-02-2018,11:00,05-02-2018,09:00,07-02-2018,13:00,09-02-2018,09:00,,,,,10-02-2018,11:00,13-02-2018,09:00,,,,,18-02-2018,M
78,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,02-02-2018,11:00,03-02-2018,09:00,05-02-2018,11:00,06-02-2018,09:00,07-02-2018,13:00,09-02-2018,09:00,,,,,11-02-2018,11:00,14-02-2018,08:00,,,,,16-02-2018,M
79,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,30-01-2018,15:00,31-01-2018,09:00,03-02-2018,11:00,04-02-2018,09:00,05-02-2018,11:00,07-02-2018,09:00,,,,,08-02-2018,10:00,11-02-2018,10:00,,,,,15-02-2018,F
80,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,31-01-2018,11:00,01-02-2018,09:00,05-02-2018,11:00,06-02-2018,09:00,09-02-2018,14:00,11-02-2018,10:00,,,,,12-02-2018,10:00,15-02-2018,09:00,,,,,20-02-2018,M
81,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,30-01-2018,15:00,31-01-2018,09:00,04-02-2018,11:00,05-02-2018,09:00,09-02-2018,14:00,11-02-2018,10:00,12-02-2018,12:00,14-02-2018,08:00,15-02-2018,10:00,18-02-2018,09:00,,,,,21-02-2018,F
82,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,30-01-2018,15:00,31-01-2018,09:00,04-02-2018,11:00,05-02-2018,09:00,08-02-2018,10:00,10-02-2018,09:00,11-02-2018,11:00,13-02-2018,09:00,14-02-2018,10:00,17-02-2018,09:00,,,,,24-02-2018,F
83,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,01-02-2018,10:00,02-02-2018,09:00,05-02-2018,11:00,06-02-2018,09:00,09-02-2018,14:00,11-02-2018,10:00,13-02-2018,10:00,15-02-2018,09:00,15-02-2018,10:00,18-02-2018,09:00,,,,,23-02-2018,F
84,01-02-18,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,31-01-2018,11:00,01-02-2018,09:00,04-02-2018,11:00,05-02-2018,09:00,08-02-2018,10:00,10-02-2018,09:00,,,,,10-02-2018,11:00,13-02-2018,09:00,,,,,16-02-2018,M
86,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,30-01-2018,15:00,31-01-2018,09:00,02-02-2018,11:00,03-02-2018,09:00,06-02-2018,11:00,08-02-2018,08:00,,,,,08-02-2018,10:00,11-02-2018,10:00,,,,,13-02-2018,M
87,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,31-01-2018,11:00,01-02-2018,09:00,05-02-2018,11:00,06-02-2018,09:00,09-02-2018,14:00,11-02-2018,10:00,,,,,12-02-2018,10:00,15-02-2018,09:00,,,,,22-02-2018,M
88,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,31-01-2018,11:00,01-02-2018,09:00,05-02-2018,11:00,06-02-2018,09:00,08-02-2018,10:00,10-02-2018,09:00,,,,,11-02-2018,11:00,14-02-2018,08:00,,,,,17-02-2018,M
89,05-02-18,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,01-02-2018,10:00,02-02-2018,09:00,,,,,,,,,,,,,,,,,,,,,,
90,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,30-01-2018,15:00,31-01-2018,09:00,03-02-2018,11:00,04-02-2018,09:00,08-02-2018,10:00,10-02-2018,09:00,,,,,11-02-2018,11:00,14-02-2018,08:00,,,,,19-02-2018,F
91,11-02-18,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,31-01-2018,11:00,01-02-2018,09:00,05-02-2018,11:00,06-02-2018,09:00,08-02-2018,10:00,10-02-2018,09:00,,,,,,,,,,,,,,
92,13-02-18,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,30-01-2018,15:00,31-01-2018,09:00,04-02-2018,11:00,05-02-2018,09:00,06-02-2018,11:00,08-02-2018,08:00,,,,,09-02-2018,14:00,12-02-2018,09:00,,,,,,
93,31-01-18,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,30-01-2018,15:00,31-01-2018,09:00,03-02-2018,11:00,04-02-2018,09:00,07-02-2018,13:00,09-02-2018,09:00,,,,,10-02-2018,11:00,13-02-2018,09:00,,,,,16-02-2018,F
95,07-02-18,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,,,,,,,,,,,,,,,,,,,,,,,,,,
96,31-01-18,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,01-02-2018,10:00,02-02-2018,09:00,08-02-2018,10:00,09-02-2018,09:00,12-02-2018,10:00,14-02-2018,08:00,,,,,15-02-2018,10:00,18-02-2018,09:00,,,,,08-03-2018,F
98,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,30-01-2018,15:00,31-01-2018,09:00,03-02-2018,11:00,04-02-2018,09:00,07-02-2018,13:00,09-02-2018,09:00,,,,,09-02-2018,14:00,12-02-2018,09:00,,,,,15-02-2018,M
99,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,31-01-2018,11:00,01-02-2018,09:00,04-02-2018,11:00,05-02-2018,09:00,07-02-2018,13:00,09-02-2018,09:00,,,,,10-02-2018,11:00,13-02-2018,09:00,,,,,23-02-2018,F
100,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,30-01-2018,15:00,31-01-2018,09:00,03-02-2018,11:00,04-02-2018,09:00,08-02-2018,10:00,10-02-2018,09:00,,,,,11-02-2018,11:00,14-02-2018,08:00,,,,,19-02-2018,M
101,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,29-01-2018,10:00,30-01-2018,09:00,02-02-2018,11:00,03-02-2018,09:00,05-02-2018,11:00,07-02-2018,09:00,,,,,08-02-2018,10:00,11-02-2018,10:00,,,,,14-02-2018,M
102,,20-01-2018,25-01-2018,11:00,26-01-2018,09:00,30-01-2018,15:00,31-01-2018,09:00,02-02-2018,11:00,03-02-2018,09:00,06-02-2018,11:00,08-02-2018,08:00,,,,,08-02-2018,10:00,11-02-2018,10:00,,,,,15-02-2018,F
