Cup #,Dead,Crisper setup,L2,L3,L4,L5,L5.5,L6,Pupa,Sex
26,,22-04-2018,27-04-2018,02-05-2018,12-05-2018,,,,,
27,,22-04-2018,27-04-2018,01-05-2018,04-05-2018,07-05-2018,,10-05-2018,17-05-2018,M
28,01-05-2018,22-04-2018,27-04-2018,,,,,,,
29,29-04-2018,22-04-2018,27-04-2018,,,,,,,
30,,22-04-2018,27-04-2018,02-05-2018,08-05-2018,23-05-2018,,,,
31,02-05-2018,22-04-2018,27-04-2018,,,,,,,
32,16-05-2018,22-04-2018,27-04-2018,01-05-2018,04-05-2018,07-05-2018,,,,
33,,22-04-2018,27-04-2018,02-05-2018,09-05-2018,,,,,
34,02-05-2018,22-04-2018,27-04-2018,,,,,,,
35,29-04-2018,22-04-2018,27-04-2018,,,,,,,
36,,22-04-2018,27-04-2018,02-05-2018,04-05-2018,06-05-2018,,09-05-2018,15-05-2018,M
37,,22-04-2018,27-04-2018,03-05-2018,,,,,,
38,01-05-2018,22-04-2018,27-04-2018,,,,,,,
39,,22-04-2018,27-04-2018,01-05-2018,04-05-2018,08-05-2018,,11-05-2018,16-05-2018,F
40,,22-04-2018,27-04-2018,02-05-2018,04-05-2018,07-05-2018,,10-05-2018,22-05-2018,F
41,,22-04-2018,27-04-2018,02-05-2018,09-05-2018,,,,,
42,,22-04-2018,27-04-2018,01-05-2018,03-05-2018,05-05-2018,,07-05-2018,13-05-2018,M
43,,22-04-2018,27-04-2018,01-05-2018,04-05-2018,07-05-2018,,10-05-2018,16-05-2018,F
44,31-05-2018,22-04-2018,27-04-2018,01-05-2018,10-05-2018,,,,,
45,,22-04-2018,27-04-2018,05-05-2018,,,,,,
46,,22-04-2018,27-04-2018,01-05-2018,03-05-2018,05-05-2018,,08-05-2018,12-05-2018,M
47,,22-04-2018,27-04-2018,02-05-2018,05-05-2018,09-05-2018,,13-05-2018,20-05-2018,F
48,08-05-2018,22-04-2018,27-04-2018,01-05-2018,,,,,,
49,31-05-2018,22-04-2018,27-04-2018,03-05-2018,,,,,,
50,,22-04-2018,27-04-2018,01-05-2018,03-05-2018,05-05-2018,,08-05-2018,13-05-2018,M
51,,22-04-2018,27-04-2018,01-05-2018,,,,,,
52,02-05-2018,22-04-2018,27-04-2018,,,,,,,
53,,22-04-2018,27-04-2018,01-05-2018,03-05-2018,07-05-2018,,10-05-2018,16-05-2018,F
54,,22-04-2018,27-04-2018,01-05-2018,03-05-2018,05-05-2018,,08-05-2018,13-05-2018,F
55,,22-04-2018,27-04-2018,01-05-2018,04-05-2018,06-05-2018,,09-05-2018,13-05-2018,M
56,02-05-2018,22-04-2018,27-04-2018,,,,,,,
57,,22-04-2018,27-04-2018,01-05-2018,03-05-2018,05-05-2018,,09-05-2018,15-05-2018,F
58,14-05-2018,22-04-2018,27-04-2018,,,,,,,
59,,22-04-2018,27-04-2018,01-05-2018,03-05-2018,05-05-2018,,08-05-2018,15-05-2018,F
60,,22-04-2018,27-04-2018,01-05-2018,05-05-2018,09-05-2018,,12-05-2018,17-05-2018,M
61,,22-04-2018,27-04-2018,01-05-2018,03-05-2018,05-05-2018,,08-05-2018,13-05-2018,F
62,08-05-2018,22-04-2018,27-04-2018,02-05-2018,,,,,,
63,07-05-2018,22-04-2018,27-04-2018,02-05-2018,,,,,,
64,,22-04-2018,27-04-2018,02-05-2018,05-05-2018,09-05-2018,,12-05-2018,20-05-2018,F
65,22-05-2018,22-04-2018,27-04-2018,06-05-2018,12-05-2018,14-05-2018,,,,
66,,22-04-2018,27-04-2018,01-05-2018,04-05-2018,,,07-05-2018,12-05-2018,M
67,,22-04-2018,27-04-2018,02-05-2018,09-05-2018,,,,,
68,29-04-2018,22-04-2018,27-04-2018,,,,,,,
69,,22-04-2018,27-04-2018,02-05-2018,04-05-2018,06-05-2018,,09-05-2018,16-05-2018,M
70,,22-04-2018,27-04-2018,01-05-2018,10-05-2018,,,,,
71,,22-04-2018,27-04-2018,02-05-2018,05-05-2018,08-05-2018,,11-05-2018,16-05-2018,M
72,,22-04-2018,27-04-2018,01-05-2018,04-05-2018,06-05-2018,,10-05-2018,16-05-2018,F
73,,22-04-2018,27-04-2018,01-05-2018,03-05-2018,06-05-2018,,09-05-2018,16-05-2018,M
74,08-05-2018,22-04-2018,27-04-2018,03-05-2018,,,,,,
75,,22-04-2018,27-04-2018,02-05-2018,04-05-2018,07-05-2018,,10-05-2018,15-05-2018,M
76,08-06-2018,22-04-2018,27-04-2018,01-05-2018,04-05-2018,07-05-2018,,13-05-2018,,
77,,22-04-2018,27-04-2018,03-05-2018,09-05-2018,,,,,
78,,22-04-2018,27-04-2018,01-05-2018,04-05-2018,,,07-05-2018,13-05-2018,M
79,,22-04-2018,27-04-2018,,,,,,,
80,02-05-2018,22-04-2018,27-04-2018,,,,,,,
81,,22-04-2018,27-04-2018,01-05-2018,03-05-2018,06-05-2018,,09-05-2018,15-05-2018,F
82,,22-04-2018,27-04-2018,02-05-2018,05-05-2018,08-05-2018,,12-05-2018,18-05-2018,F
83,,22-04-2018,27-04-2018,01-05-2018,05-05-2018,,,07-05-2018,16-05-2018,M
84,,22-04-2018,27-04-2018,01-05-2018,03-05-2018,06-05-2018,,09-05-2018,15-05-2018,M
85,,22-04-2018,27-04-2018,01-05-2018,03-05-2018,05-05-2018,,08-05-2018,14-05-2018,M
86,31-05-2018,22-04-2018,27-04-2018,02-05-2018,12-05-2018,,,,,
87,,22-04-2018,27-04-2018,01-05-2018,04-05-2018,09-05-2018,,,,
88,,22-04-2018,27-04-2018,02-05-2018,05-05-2018,08-05-2018,,11-05-2018,16-05-2018,M
89,,22-04-2018,27-04-2018,02-05-2018,09-05-2018,,,,,
90,,22-04-2018,27-04-2018,01-05-2018,04-05-2018,06-05-2018,,10-05-2018,17-05-2018,F
91,,22-04-2018,27-04-2018,01-05-2018,03-05-2018,05-05-2018,,08-05-2018,17-05-2018,F
92,01-05-2018,22-04-2018,27-04-2018,,,,,,,
93,,22-04-2018,27-04-2018,02-05-2018,04-05-2018,,,07-05-2018,12-05-2018,M
94,,22-04-2018,27-04-2018,01-05-2018,03-05-2018,05-05-2018,,08-05-2018,12-05-2018,M
95,23-05-2018,22-04-2018,27-04-2018,02-05-2018,,,,,,
96,,22-04-2018,27-04-2018,01-05-2018,03-05-2018,06-05-2018,,09-05-2018,16-05-2018,F
97,29-04-2018,22-04-2018,27-04-2018,,,,,,,
98,,22-04-2018,27-04-2018,01-05-2018,04-05-2018,06-05-2018,,09-05-2018,31-05-2018,F
99,,22-04-2018,27-04-2018,02-05-2018,12-05-2018,,,,,
100,19-05-2018,22-04-2018,27-04-2018,02-05-2018,10-05-2018,14-05-2018,,,,
101,,22-04-2018,27-04-2018,01-05-2018,04-05-2018,06-05-2018,,10-05-2018,17-05-2018,F
102,,22-04-2018,27-04-2018,01-05-2018,05-05-2018,07-05-2018,,11-05-2018,17-05-2018,F
103,31-05-2018,22-04-2018,27-04-2018,03-05-2018,,,,,,
104,01-05-2018,22-04-2018,27-04-2018,,,,,,,
105,,22-04-2018,27-04-2018,01-05-2018,03-05-2018,06-05-2018,19-05-2018,,,
106,,22-04-2018,27-04-2018,01-05-2018,04-05-2018,,,07-05-2018,13-05-2018,M
107,,22-04-2018,27-04-2018,01-05-2018,09-05-2018,,,,,
108,31-05-2018,22-04-2018,27-04-2018,03-05-2018,,,,,,
109,04-05-2018,22-04-2018,27-04-2018,01-05-2018,,,,,,
110,,22-04-2018,27-04-2018,05-05-2018,14-05-2018,23-05-2018,,,,
111,,22-04-2018,27-04-2018,01-05-2018,04-05-2018,06-05-2018,,10-05-2018,24-05-2018,F
112,,22-04-2018,27-04-2018,02-05-2018,,,,,,
113,,22-04-2018,27-04-2018,01-05-2018,03-05-2018,06-05-2018,,09-05-2018,31-05-2018,F
114,,22-04-2018,27-04-2018,01-05-2018,04-05-2018,06-05-2018,,09-05-2018,17-05-2018,F
115,02-05-2018,22-04-2018,27-04-2018,,,,,,,
116,13-05-2018,22-04-2018,27-04-2018,04-05-2018,,,,,,
117,,22-04-2018,27-04-2018,01-05-2018,08-05-2018,,,,,
118,,22-04-2018,27-04-2018,01-05-2018,03-05-2018,06-05-2018,,08-05-2018,16-05-2018,F
119,01-05-2018,22-04-2018,27-04-2018,,,,,,,
120,23-05-2018,22-04-2018,27-04-2018,02-05-2018,07-05-2018,,,,,
121,16-05-2018,22-04-2018,27-04-2018,02-05-2018,12-05-2018,,,,,
122,14-05-2018,22-04-2018,27-04-2018,02-05-2018,,,,,,
123,,22-04-2018,27-04-2018,02-05-2018,16-05-2018,,,,,
124,,22-04-2018,27-04-2018,01-05-2018,05-05-2018,07-05-2018,,11-05-2018,17-05-2018,M
125,,22-04-2018,27-04-2018,02-05-2018,04-05-2018,06-05-2018,,10-05-2018,17-05-2018,M
126,,22-04-2018,27-04-2018,02-05-2018,09-05-2018,,,,,
127,,22-04-2018,27-04-2018,02-05-2018,05-05-2018,06-05-2018,,09-05-2018,14-05-2018,F
128,,22-04-2018,27-04-2018,02-05-2018,05-05-2018,07-05-2018,,10-05-2018,16-05-2018,M
129,,22-04-2018,27-04-2018,02-05-2018,04-05-2018,07-05-2018,,10-05-2018,15-05-2018,F
130,,22-04-2018,27-04-2018,01-05-2018,04-05-2018,07-05-2018,,10-05-2018,17-05-2018,M
131,13-05-2018,22-04-2018,27-04-2018,02-05-2018,11-05-2018,,,,,
132,09-05-2018,22-04-2018,27-04-2018,01-05-2018,04-05-2018,,,06-05-2018,,
133,10-05-2018,22-04-2018,27-04-2018,02-05-2018,09-05-2018,,,,,
134,,22-04-2018,27-04-2018,01-05-2018,03-05-2018,06-05-2018,,10-05-2018,17-05-2018,F
135,,22-04-2018,27-04-2018,04-05-2018,,,,,,
136,,22-04-2018,27-04-2018,01-05-2018,03-05-2018,06-05-2018,,09-05-2018,15-05-2018,F
137,,22-04-2018,27-04-2018,04-05-2018,12-05-2018,,,,,
138,02-05-2018,22-04-2018,27-04-2018,,,,,,,
139,,22-04-2018,27-04-2018,01-05-2018,04-05-2018,06-05-2018,,09-05-2018,17-05-2018,M
140,,22-04-2018,27-04-2018,01-05-2018,03-05-2018,05-05-2018,,08-05-2018,14-05-2018,F
141,,22-04-2018,27-04-2018,01-05-2018,03-05-2018,05-05-2018,,08-05-2018,12-05-2018,M
142,,22-04-2018,27-04-2018,01-05-2018,04-05-2018,07-05-2018,,11-05-2018,17-05-2018,F
143,,22-04-2018,27-04-2018,01-05-2018,03-05-2018,07-05-2018,,11-05-2018,17-05-2018,F
144,,22-04-2018,27-04-2018,02-05-2018,05-05-2018,08-05-2018,,11-05-2018,17-05-2018,M
145,01-05-2018,22-04-2018,27-04-2018,,,,,,,
146,12-05-2018,22-04-2018,27-04-2018,02-05-2018,,,,,,
147,,22-04-2018,27-04-2018,01-05-2018,06-05-2018,,,,,
148,02-05-2018,22-04-2018,27-04-2018,,,,,,,
149,,22-04-2018,27-04-2018,02-05-2018,04-05-2018,07-05-2018,,10-05-2018,16-05-2018,F
150,03-05-2018,22-04-2018,27-04-2018,,,,,,,
151,13-05-2018,22-04-2018,27-04-2018,04-05-2018,,,,,,
152,,22-04-2018,27-04-2018,01-05-2018,04-05-2018,07-05-2018,,10-05-2018,17-05-2018,M
153,,22-04-2018,27-04-2018,01-05-2018,03-05-2018,05-05-2018,,08-05-2018,15-05-2018,F
154,,22-04-2018,27-04-2018,01-05-2018,04-05-2018,06-05-2018,,09-05-2018,15-05-2018,F
155,,22-04-2018,27-04-2018,01-05-2018,04-05-2018,,,07-05-2018,12-05-2018,M
156,,22-04-2018,27-04-2018,01-05-2018,04-05-2018,06-05-2018,,09-05-2018,15-05-2018,M
157,,22-04-2018,27-04-2018,02-05-2018,05-05-2018,08-05-2018,,12-05-2018,18-05-2018,F
158,,22-04-2018,27-04-2018,01-05-2018,04-05-2018,06-05-2018,,09-05-2018,15-05-2018,M
159,,22-04-2018,27-04-2018,02-05-2018,07-05-2018,09-05-2018,,12-05-2018,18-05-2018,F
160,,22-04-2018,27-04-2018,03-05-2018,06-05-2018,,,,,
161,,22-04-2018,27-04-2018,02-05-2018,04-05-2018,07-05-2018,,10-05-2018,16-05-2018,M
162,,22-04-2018,27-04-2018,01-05-2018,03-05-2018,05-05-2018,,08-05-2018,13-05-2018,M
163,,22-04-2018,27-04-2018,02-05-2018,04-05-2018,06-05-2018,,10-05-2018,18-05-2018,M
164,,22-04-2018,27-04-2018,01-05-2018,03-05-2018,07-05-2018,,10-05-2018,16-05-2018,F
165,31-05-2018,22-04-2018,27-04-2018,02-05-2018,,,,,,
166,29-04-2018,22-04-2018,27-04-2018,,,,,,,
167,,22-04-2018,27-04-2018,02-05-2018,04-05-2018,06-05-2018,,10-05-2018,15-05-2018,F
168,,22-04-2018,27-04-2018,03-05-2018,10-05-2018,,,,,
169,29-04-2018,22-04-2018,27-04-2018,,,,,,,
170,14-05-2018,22-04-2018,27-04-2018,03-05-2018,,,,,,
171,,22-04-2018,27-04-2018,03-05-2018,12-05-2018,,,,,
172,14-05-2018,22-04-2018,27-04-2018,06-05-2018,,,,,,
173,,22-04-2018,27-04-2018,02-05-2018,04-05-2018,06-05-2018,,09-05-2018,15-05-2018,F
174,,22-04-2018,27-04-2018,01-05-2018,05-05-2018,,,,,
175,,22-04-2018,27-04-2018,01-05-2018,04-05-2018,07-05-2018,,10-05-2018,16-05-2018,F
176,09-05-2018,22-04-2018,27-04-2018,03-05-2018,,,,,,
177,,22-04-2018,27-04-2018,02-05-2018,04-05-2018,06-05-2018,,09-05-2018,16-05-2018,F
178,,22-04-2018,27-04-2018,01-05-2018,03-05-2018,06-05-2018,,09-05-2018,13-05-2018,M
179,09-05-2018,22-04-2018,27-04-2018,05-05-2018,,,,,,
180,03-05-2018,22-04-2018,27-04-2018,,,,,,,
181,,22-04-2018,27-04-2018,03-05-2018,12-05-2018,,,,,
182,01-05-2018,22-04-2018,27-04-2018,,,,,,,
183,,22-04-2018,27-04-2018,04-05-2018,,,,,,
184,09-05-2018,22-04-2018,27-04-2018,02-05-2018,,,,,,
185,02-05-2018,22-04-2018,27-04-2018,,,,,,,
186,21-05-2018,22-04-2018,27-04-2018,02-05-2018,10-05-2018,,,,,
187,01-05-2018,22-04-2018,27-04-2018,,,,,,,
188,,22-04-2018,27-04-2018,01-05-2018,04-05-2018,06-05-2018,,10-05-2018,19-05-2018,F
189,,22-04-2018,27-04-2018,01-05-2018,05-05-2018,,,08-05-2018,14-05-2018,F
190,02-05-2018,22-04-2018,27-04-2018,,,,,,,
191,,22-04-2018,27-04-2018,02-05-2018,05-05-2018,08-05-2018,,12-05-2018,21-05-2018,F
192,,22-04-2018,27-04-2018,01-05-2018,05-05-2018,08-05-2018,,12-05-2018,19-05-2018,M
193,24-05-2018,22-04-2018,27-04-2018,01-05-2018,04-05-2018,07-05-2018,,11-05-2018,,
194,24-05-2018,22-04-2018,27-04-2018,01-05-2018,05-05-2018,07-05-2018,,10-05-2018,,
195,,22-04-2018,27-04-2018,02-05-2018,06-05-2018,17-05-2018,,,,
196,,22-04-2018,27-04-2018,02-05-2018,04-05-2018,07-05-2018,,10-05-2018,16-05-2018,M
197,07-05-2018,22-04-2018,27-04-2018,05-05-2018,,,,,,
198,31-05-2018,22-04-2018,27-04-2018,02-05-2018,,,,,,
199,,22-04-2018,27-04-2018,01-05-2018,03-05-2018,06-05-2018,,09-05-2018,15-05-2018,F
200,29-04-2018,22-04-2018,27-04-2018,,,,,,,
Extras,,,,,,,,,,
1,,22-04-2018,27-04-2018,,,,,,,
2,,22-04-2018,27-04-2018,,,,,,16-05-2018,M
3,,22-04-2018,27-04-2018,,,,,,,
4,,22-04-2018,27-04-2018,,,,,,,
5,,22-04-2018,27-04-2018,,,,,,,
6,,22-04-2018,27-04-2018,,,,,,,
7,,22-04-2018,27-04-2018,,,,,,,
8,,22-04-2018,27-04-2018,,,,,,,
9,,22-04-2018,27-04-2018,,,,,,20-05-2018,M
10,,22-04-2018,27-04-2018,,,,,,20-05-2018,M
11,,22-04-2018,27-04-2018,,,,,,17-05-2018,M
12,,22-04-2018,27-04-2018,,,,,,,
13,,22-04-2018,27-04-2018,,,,,,14-05-2018,F
14,,22-04-2018,27-04-2018,,,,,,,
15,,22-04-2018,27-04-2018,,,,,,,
16,,22-04-2018,27-04-2018,,,,,,,
17,,,,,,,,,,
18,,,,,,,,,,
19,,,,,,,,,,
20,,,,,,,,,,
21,,,,,,,,,,
22,,,,,,,,,,
23,,,,,,,,,,
24,,,,,,,,,,
25,,,,,,,,,,
26,,,,,,,,,,
27,,,,,,,,,,
28,,,,,,,,,,
29,,,,,,,,,,
30,,,,,,,,,,
31,,,,,,,,,,
32,,,,,,,,,,
33,,,,,,,,,,
34,,,,,,,,,,
35,,,,,,,,,,
36,,,,,,,,,,
37,,,,,,,,,,
38,,,,,,,,,,
39,,,,,,,,,,
40,,,,,,,,,,
41,,,,,,,,,,
42,,,,,,,,,,
43,,,,,,,,,,
44,,,,,,,,,,
45,,,,,,,,,,
46,,,,,,,,,,
47,,,,,,,,,,
48,,,,,,,,,,
49,,,,,,,,,,
50,,,,,,,,,,
