Cup #,Dead,Crisper setup,L2,L3,L4,L5,L5.5,L6,Pupa,Sex
1,,22-04-2018,27-04-2018,01-05-2018,04-05-2018,06-05-2018,,13-05-2018,22-05-2018,F
2,,22-04-2018,27-04-2018,01-05-2018,04-05-2018,07-05-2018,,10-05-2018,16-05-2018,F
3,,22-04-2018,27-04-2018,02-05-2018,06-05-2018,09-05-2018,,12-05-2018,17-05-2018,F
4,01-05-2018,22-04-2018,27-04-2018,,,,,,,
5,,22-04-2018,27-04-2018,01-05-2018,03-05-2018,06-05-2018,,09-05-2018,15-05-2018,M
6,22-05-2018,22-04-2018,27-04-2018,01-05-2018,04-05-2018,07-05-2018,,,,
7,,22-04-2018,27-04-2018,01-05-2018,03-05-2018,06-05-2018,,09-05-2018,16-05-2018,M
8,01-05-2018,22-04-2018,27-04-2018,,,,,,,
9,,22-04-2018,27-04-2018,02-05-2018,05-05-2018,,,,,
10,01-05-2018,22-04-2018,27-04-2018,,,,,,,
11,,22-04-2018,27-04-2018,02-05-2018,05-05-2018,08-05-2018,,12-05-2018,18-05-2018,M
12,09-05-2018,22-04-2018,27-04-2018,,,,,,,
13,,22-04-2018,27-04-2018,01-05-2018,04-05-2018,06-05-2018,,09-05-2018,15-05-2018,M
14,,22-04-2018,27-04-2018,03-05-2018,,,,,,
15,,22-04-2018,27-04-2018,01-05-2018,10-05-2018,,,,,
16,,22-04-2018,27-04-2018,01-05-2018,11-05-2018,,,,,
17,,22-04-2018,27-04-2018,02-05-2018,05-05-2018,08-05-2018,,11-05-2018,18-05-2018,M
18,,22-04-2018,27-04-2018,02-05-2018,04-05-2018,07-05-2018,,09-05-2018,15-05-2018,F
19,,22-04-2018,27-04-2018,02-05-2018,06-05-2018,,,,,
20,,22-04-2018,27-04-2018,01-05-2018,05-05-2018,07-05-2018,,10-05-2018,17-05-2018,F
21,,22-04-2018,27-04-2018,01-05-2018,05-05-2018,10-05-2018,,13-05-2018,20-05-2018,M
22,,22-04-2018,27-04-2018,03-05-2018,11-05-2018,,,,,
23,01-05-2018,22-04-2018,27-04-2018,,,,,,,
24,02-05-2018,22-04-2018,27-04-2018,,,,,,,
25,,22-04-2018,27-04-2018,03-05-2018,,,,,,
