Cup #,Dead (DD/MM/YYYY),Crisper setup,L2,L3,L4,L5,L5.5,L6,Pupa,Sex
128,,24-05-2018,29-05-2018,06-06-2018,10-06-2018,11-06-2018,14-06-2018,19-06-2018,30-06-2018,F
129,,24-05-2018,29-05-2018,05-06-2018,10-06-2018,14-06-2018,,20-06-2018,29-06-2018,F
130,08-06-2018,24-05-2018,29-05-2018,05-06-2018,,,,,,
131,,24-05-2018,29-05-2018,05-06-2018,09-06-2018,13-06-2018,,17-06-2018,26-06-2018,F
132,,24-05-2018,29-05-2018,04-06-2018,08-06-2018,12-06-2018,,16-06-2018,26-06-2018,F
133,20-06-2018,24-05-2018,29-05-2018,06-06-2018,11-06-2018,,,,,
134,,24-05-2018,29-05-2018,05-06-2018,10-06-2018,,,15-06-2018,23-06-2018,M
135,,24-05-2018,29-05-2018,06-06-2018,12-06-2018,13-06-2018,16-06-2018,20-06-2018,28-06-2018,M
136,10-06-2018,24-05-2018,29-05-2018,08-06-2018,,,,,,
137,,24-05-2018,29-05-2018,06-06-2018,10-06-2018,14-06-2018,,18-06-2018,26-06-2018,M
138,,24-05-2018,29-05-2018,05-06-2018,09-06-2018,13-06-2018,,18-06-2018,29-06-2018,F
139,,24-05-2018,29-05-2018,05-06-2018,09-06-2018,13-06-2018,,17-06-2018,26-06-2018,F
140,,24-05-2018,29-05-2018,05-06-2018,10-06-2018,14-06-2018,,19-06-2018,26-06-2018,M
141,,24-05-2018,29-05-2018,05-06-2018,10-06-2018,,,14-06-2018,23-06-2018,M
142,,24-05-2018,29-05-2018,06-06-2018,11-06-2018,,,16-06-2018,25-06-2018,M
143,,24-05-2018,29-05-2018,05-06-2018,13-06-2018,17-06-2018,21-06-2018,26-06-2018,06-07-2018,F
144,,24-05-2018,29-05-2018,05-06-2018,09-06-2018,13-06-2018,,17-06-2018,25-06-2018,M
145,,24-05-2018,29-05-2018,05-06-2018,10-06-2018,,,20-06-2018,01-07-2018,M
146,,24-05-2018,29-05-2018,06-06-2018,11-06-2018,16-06-2018,,20-06-2018,28-06-2018,M
147,,24-05-2018,29-05-2018,05-06-2018,10-06-2018,14-06-2018,,19-06-2018,29-06-2018,F
148,13-06-2018,24-05-2018,29-05-2018,09-06-2018,,,,,,
149,07-06-2018,24-05-2018,29-05-2018,05-06-2018,,,,,,
150,,24-05-2018,29-05-2018,05-06-2018,09-06-2018,13-06-2018,,17-06-2018,26-06-2018,F
151,18-06-2018,24-05-2018,29-05-2018,06-06-2018,10-06-2018,,,,,
152,12-06-2018,24-05-2018,29-05-2018,06-06-2018,,,,,,
153,,24-05-2018,29-05-2018,05-06-2018,09-06-2018,13-06-2018,,17-06-2018,25-06-2018,M
154,,24-05-2018,29-05-2018,05-06-2018,09-06-2018,13-06-2018,,18-06-2018,26-06-2018,F
155,,24-05-2018,29-05-2018,07-06-2018,15-06-2018,16-06-2018,,19-06-2018,27-06-2018,M
156,,24-05-2018,29-05-2018,05-06-2018,09-06-2018,14-06-2018,,18-06-2018,28-06-2018,F
157,,24-05-2018,29-05-2018,06-06-2018,10-06-2018,14-06-2018,,18-06-2018,26-06-2018,M
158,,24-05-2018,29-05-2018,05-06-2018,10-06-2018,14-06-2018,,19-06-2018,28-06-2018,M
159,27-06-2018,24-05-2018,29-05-2018,05-06-2018,10-06-2018,14-06-2018,,18-06-2018,,
160,,24-05-2018,29-05-2018,05-06-2018,10-06-2018,13-06-2018,,17-06-2018,25-06-2018,M
161,,24-05-2018,29-05-2018,07-06-2018,12-06-2018,15-06-2018,,20-06-2018,29-06-2018,M
162,,24-05-2018,29-05-2018,05-06-2018,10-06-2018,14-06-2018,,18-06-2018,27-06-2018,F
163,09-06-2018,24-05-2018,29-05-2018,06-06-2018,,,,,,
164,08-06-2018,24-05-2018,29-05-2018,05-06-2018,,,,,,
165,,24-05-2018,29-05-2018,07-06-2018,11-06-2018,,,16-06-2018,25-06-2018,M
166,,24-05-2018,29-05-2018,05-06-2018,10-06-2018,13-06-2018,,18-06-2018,28-06-2018,F
167,,24-05-2018,29-05-2018,06-06-2018,11-06-2018,14-06-2018,,19-06-2018,26-06-2018,M
168,,24-05-2018,29-05-2018,06-06-2018,10-06-2018,,,15-06-2018,23-06-2018,M
169,,24-05-2018,29-05-2018,05-06-2018,09-06-2018,13-06-2018,,17-06-2018,25-06-2018,M
170,,24-05-2018,29-05-2018,04-06-2018,08-06-2018,12-06-2018,,15-06-2018,23-06-2018,M
171,,24-05-2018,29-05-2018,05-06-2018,10-06-2018,13-06-2018,,17-06-2018,25-06-2018,M
172,17-06-2018,24-05-2018,29-05-2018,06-06-2018,11-06-2018,,,,,
173,27-06-2018,24-05-2018,29-05-2018,09-06-2018,21-06-2018,,,,,
174,,24-05-2018,29-05-2018,04-06-2018,09-06-2018,13-06-2018,,18-06-2018,27-06-2018,F
175,,24-05-2018,29-05-2018,05-06-2018,10-06-2018,14-06-2018,,18-06-2018,27-06-2018,F
176,,24-05-2018,29-05-2018,05-06-2018,10-06-2018,13-06-2018,,17-06-2018,27-06-2018,F
177,,24-05-2018,29-05-2018,05-06-2018,10-06-2018,14-06-2018,,19-06-2018,30-06-2018,F
178,,24-05-2018,29-05-2018,04-06-2018,09-06-2018,13-06-2018,,16-06-2018,24-06-2018,M
179,,24-05-2018,29-05-2018,05-06-2018,10-06-2018,14-06-2018,,18-06-2018,29-06-2018,F
180,16-06-2018,24-05-2018,29-05-2018,06-06-2018,11-06-2018,,,,,
181,,24-05-2018,29-05-2018,04-06-2018,09-06-2018,12-06-2018,,16-06-2018,26-06-2018,F
182,,24-05-2018,29-05-2018,06-06-2018,10-06-2018,14-06-2018,,20-06-2018,01-07-2018,F
183,,24-05-2018,29-05-2018,05-06-2018,09-06-2018,13-06-2018,,18-06-2018,28-06-2018,F
184,,24-05-2018,29-05-2018,07-06-2018,10-06-2018,14-06-2018,,19-06-2018,30-06-2018,F
185,,24-05-2018,29-05-2018,05-06-2018,10-06-2018,14-06-2018,,19-06-2018,29-06-2018,F
186,,24-05-2018,29-05-2018,04-06-2018,09-06-2018,13-06-2018,,17-06-2018,27-06-2018,F
