Cup,Dead,L2_crisper,L2,L3,L4,L5,L6,Pupa,Sex,Days_L2,Days_L3,Days_L4,Days_L5,skippers_L4,Days_L6,skippers_L6
1,,2001-09-17,2006-09-17,2013-09-17,2017-09-17,2019-09-17,2026-09-17,2005-10-17,F,7,4,2,7,,9,
2,,2001-09-17,2006-09-17,2014-09-17,2018-09-17,2021-09-17,2025-09-17,2003-10-17,M,8,4,3,4,,8,
3,,2001-09-17,2006-09-17,2011-09-17,2015-09-17,,2020-09-17,2027-09-17,M,5,4,,,5,7,7
4,2008-09-17,2001-09-17,2006-09-17,,,,,,,,,,,,,
5,2008-09-17,2001-09-17,2006-09-17,,,,,,,,,,,,,
6,,2001-09-17,2006-09-17,2011-09-17,2017-09-17,2020-09-17,2025-09-17,2004-10-17,F,5,6,3,5,,9,
7,,2001-09-17,2006-09-17,2011-09-17,2015-09-17,2019-09-17,2023-09-17,2002-10-17,M,5,4,4,4,,9,
8,,2001-09-17,2006-09-17,2012-09-17,2016-09-17,2019-09-17,2023-09-17,2002-10-17,F,6,4,3,4,,9,
9,,2001-09-17,2006-09-17,2013-09-17,2017-09-17,2021-09-17,2024-09-17,2002-10-17,M,7,4,4,3,,8,
10,,2001-09-17,2006-09-17,2012-09-17,2016-09-17,,2021-09-17,2029-09-17,M,6,4,,,5,8,8
11,,2001-09-17,2006-09-17,2013-09-17,2017-09-17,2021-09-17,2025-09-17,2004-10-17,F,7,4,4,4,,9,
12,,2001-09-17,2006-09-17,2013-09-17,2018-09-17,2023-09-17,2027-09-17,2006-10-17,M,7,5,5,4,,9,
13,,2001-09-17,2006-09-17,2012-09-17,2017-09-17,2020-09-17,2024-09-17,2003-10-17,F,6,5,3,4,,9,
14,,2001-09-17,2006-09-17,2013-09-17,2017-09-17,,2022-09-17,2029-09-17,M,7,4,,,5,7,7
15,,2001-09-17,2006-09-17,2012-09-17,2016-09-17,2019-09-17,2023-09-17,2002-10-17,M,6,4,3,4,,9,
16,,2001-09-17,2006-09-17,2013-09-17,2015-09-17,2019-09-17,2023-09-17,2002-10-17,F,7,2,4,4,,9,
17,,2001-09-17,2006-09-17,2014-09-17,2017-09-17,2019-09-17,2022-09-17,2003-10-17,F,8,3,2,3,,11,
18,,2001-09-17,2006-09-17,2013-09-17,2017-09-17,2021-09-17,2025-09-17,2003-10-17,F,7,4,4,4,,8,
19,,2001-09-17,2006-09-17,2014-09-17,2018-09-17,2021-09-17,2025-09-17,2003-10-17,M,8,4,3,4,,8,
20,2010-09-17,2001-09-17,2006-09-17,,,,,,,,,,,,,
21,,2001-09-17,2006-09-17,2013-09-17,2015-09-17,2019-09-17,2023-09-17,2003-10-17,F,7,2,4,4,,10,
22,,2001-09-17,2006-09-17,2012-09-17,2016-09-17,2019-09-17,2023-09-17,1930-09-17,M,6,4,3,4,,7,
23,,2001-09-17,2006-09-17,2013-09-17,2017-09-17,,2022-09-17,1930-09-17,M,7,4,,,5,8,8
24,,2001-09-17,2006-09-17,2015-09-17,2019-09-17,2023-09-17,2028-09-17,2007-10-17,F,9,4,4,5,,9,
25,2018-09-17,2001-09-17,2006-09-17,2014-09-17,,,,,,8,,,,,,
26,,2001-09-17,2006-09-17,2012-09-17,2015-09-17,2019-09-17,2023-09-17,1930-09-17,M,6,3,4,4,,7,
27,,2001-09-17,2006-09-17,2012-09-17,2016-09-17,2019-09-17,2024-09-17,2003-10-17,F,6,4,3,5,,9,
28,,2001-09-17,2006-09-17,2015-09-17,2018-09-17,2022-09-17,2026-09-17,2005-10-17,F,9,3,4,4,,9,
29,2024-09-17,2001-09-17,2006-09-17,2012-09-17,2018-09-17,,,,,6,6,,,,,
30,,2001-09-17,2006-09-17,2012-09-17,2016-09-17,2020-09-17,2024-09-17,2003-10-17,F,6,4,4,4,,9,
31,,2001-09-17,2006-09-17,2012-09-17,2017-09-17,,2023-09-17,2001-10-17,M,6,5,,,6,8,8
32,,2001-09-17,2006-09-17,2014-09-17,2018-09-17,2021-09-17,2025-09-17,2005-10-17,F,8,4,3,4,,10,
33,2010-09-17,2001-09-17,2006-09-17,,,,,,,,,,,,,
34,2018-09-17,2001-09-17,2006-09-17,2013-09-17,2016-09-17,,,,,7,3,,,,,
35,,2001-09-17,2006-09-17,2013-09-17,2017-09-17,2019-09-17,2026-09-17,2002-10-17,M,7,4,2,7,,6,
36,,2001-09-17,2006-09-17,2013-09-17,2017-09-17,2020-09-17,2025-09-17,2004-10-17,F,7,4,3,5,,9,
37,,2001-09-17,2006-09-17,2012-09-17,2016-09-17,2019-09-17,2023-09-17,2002-10-17,F,6,4,3,4,,9,
38,,2001-09-17,2006-09-17,2013-09-17,2017-09-17,2021-09-17,2026-09-17,2005-10-17,F,7,4,4,5,,9,
39,,2001-09-17,2006-09-17,2012-09-17,2017-09-17,,2021-09-17,2029-09-17,M,6,5,,,4,8,8
40,,2001-09-17,2006-09-17,2011-09-17,2016-09-17,,2021-09-17,2029-09-17,M,5,5,,,5,8,8
41,,2001-09-17,2006-09-17,2012-09-17,2017-09-17,,2021-09-17,2029-09-17,M,6,5,,,4,8,8
42,,2001-09-17,2006-09-17,2011-09-17,2015-09-17,,2020-09-17,2028-09-17,M,5,4,,,5,8,8
43,,2001-09-17,2006-09-17,2012-09-17,2016-09-17,2020-09-17,2024-09-17,2002-10-17,F,6,4,4,4,,8,
44,2011-09-17,2001-09-17,2006-09-17,,,,,,,,,,,,0,
45,,2001-09-17,2006-09-17,2012-09-17,2015-09-17,2019-09-17,2023-09-17,2001-10-17,F,6,3,4,4,,8,
46,,2001-09-17,2006-09-17,2013-09-17,2018-09-17,2019-09-17,2023-09-17,2007-10-17,F,7,5,1,4,,14,
47,2010-09-17,2001-09-17,2006-09-17,,,,,,,,,,,,,
48,,2001-09-17,2006-09-17,2012-09-17,2016-09-17,,2021-09-17,2029-09-17,M,6,4,,,5,8,8
