Cup,Dead,L2_crisper,L2,L3,L4,L5,L6,Pupa,Sex,Days_L2,Days_L3,Days_L4,Days_L5,skippers_L4,Days_L6,skippers_L6
49,,2001-09-17,2006-09-17,2012-09-17,2015-09-17,2019-09-17,2023-09-17,2002-10-17,F,6,3,4,4,,9,
50,,2001-09-17,2006-09-17,2012-09-17,2016-09-17,2019-09-17,2024-09-17,2003-10-17,F,6,4,3,5,,9,
51,,2001-09-17,2006-09-17,2013-09-17,2017-09-17,2022-09-17,2026-09-17,2004-10-17,M,7,4,5,4,,8,
52,,2001-09-17,2006-09-17,,2018-09-17,2022-09-17,2026-09-17,2005-10-17,F,,,4,4,,9,
53,,2001-09-17,2006-09-17,2012-09-17,2015-09-17,2019-09-17,2022-09-17,2001-10-17,F,6,3,4,3,,9,
54,,2001-09-17,2006-09-17,2012-09-17,2016-09-17,,2021-09-17,2029-09-17,M,6,4,,,5,8,8
55,2014-09-17,2001-09-17,2006-09-17,,,,,,,,,,,,,
56,,2001-09-17,2006-09-17,2012-09-17,2016-09-17,2019-09-17,2023-09-17,2002-10-17,M,6,4,3,4,,9,
57,,2001-09-17,2006-09-17,2012-09-17,2016-09-17,2019-09-17,2023-09-17,2001-10-17,M,6,4,3,4,,8,
58,,2001-09-17,2006-09-17,2012-09-17,2016-09-17,,2020-09-17,2028-09-17,M,6,4,,,4,8,8
59,,2001-09-17,2006-09-17,2013-09-17,2017-09-17,2021-09-17,2024-09-17,2002-10-17,M,7,4,4,3,,8,
60,,2001-09-17,2006-09-17,2011-09-17,2015-09-17,,2020-09-17,2027-09-17,M,5,4,,,5,7,7
61,,2001-09-17,2006-09-17,2012-09-17,2017-09-17,,2021-09-17,2029-09-17,M,6,5,,,4,8,8
62,,2001-09-17,2006-09-17,2012-09-17,2016-09-17,2019-09-17,2023-09-17,1930-09-17,M,6,4,3,4,,7,
63,,2001-09-17,2006-09-17,2013-09-17,2016-09-17,2020-09-17,2024-09-17,2004-10-17,F,7,3,4,4,,10,
64,,2001-09-17,2006-09-17,2011-09-17,2015-09-17,2020-09-17,2024-09-17,2004-10-17,F,5,4,5,4,,10,
65,,2001-09-17,2006-09-17,2013-09-17,2017-09-17,2021-09-17,2025-09-17,2004-10-17,F,7,4,4,4,,9,
66,,2001-09-17,2006-09-17,2013-09-17,2016-09-17,2021-09-17,2026-09-17,2005-10-17,F,7,3,5,5,,9,
67,,2001-09-17,2006-09-17,2012-09-17,2015-09-17,2019-09-17,2023-09-17,2002-10-17,M,6,3,4,4,,9,
68,,2001-09-17,2006-09-17,2013-09-17,2017-09-17,2020-09-17,2024-09-17,2003-10-17,F,7,4,3,4,,9,
69,,2001-09-17,2006-09-17,2013-09-17,2017-09-17,,2022-09-17,2001-10-17,M,7,4,,,5,9,9
70,,2001-09-17,2006-09-17,2012-09-17,2016-09-17,2019-09-17,2024-09-17,2002-10-17,F,6,4,3,5,,8,
71,,2001-09-17,2006-09-17,2013-09-17,2018-09-17,2022-09-17,2028-09-17,2007-10-17,F,7,5,4,6,,9,
72,,2001-09-17,2006-09-17,2011-09-17,2016-09-17,2020-09-17,2024-09-17,2004-10-17,F,5,5,4,4,,10,
73,,2001-09-17,2006-09-17,2012-09-17,2016-09-17,,2021-09-17,2029-09-17,M,6,4,,,5,8,8
74,,2001-09-17,2006-09-17,2013-09-17,2017-09-17,2020-09-17,2024-09-17,2003-10-17,F,7,4,3,4,,9,
75,,2001-09-17,2006-09-17,2012-09-17,2016-09-17,2019-09-17,2021-09-17,2029-09-17,M,6,4,3,2,,8,
76,,2001-09-17,2006-09-17,2012-09-17,2015-09-17,2019-09-17,2023-09-17,2002-10-17,F,6,3,4,4,,9,
77,,2001-09-17,2006-09-17,2012-09-17,2016-09-17,2019-09-17,2023-09-17,1930-09-17,M,6,4,3,4,,7,
78,,2001-09-17,2006-09-17,2011-09-17,2014-09-17,2018-09-17,2023-09-17,1930-09-17,M,5,3,4,5,,7,
79,,2001-09-17,2006-09-17,2013-09-17,2018-09-17,2019-09-17,2023-09-17,2001-10-17,M,7,5,1,4,,8,
80,,2001-09-17,2006-09-17,2012-09-17,2016-09-17,2020-09-17,2024-09-17,2003-10-17,F,6,4,4,4,,9,
81,,2001-09-17,2006-09-17,2012-09-17,2017-09-17,2021-09-17,2024-09-17,2003-10-17,M,6,5,4,3,,9,
82,,2001-09-17,2006-09-17,2013-09-17,2017-09-17,,2021-09-17,2001-10-17,F,7,4,,,4,10,10
83,,2001-09-17,2006-09-17,2014-09-17,2018-09-17,2021-09-17,2025-09-17,2005-10-17,F,8,4,3,4,,10,
84,,2001-09-17,2006-09-17,2012-09-17,2016-09-17,,2021-09-17,2029-09-17,M,6,4,,,5,8,8
85,,2001-09-17,2006-09-17,2012-09-17,2016-09-17,2019-09-17,2023-09-17,2002-10-17,M,6,4,3,4,,9,
86,,2001-09-17,2006-09-17,2012-09-17,2016-09-17,2019-09-17,2023-09-17,2001-10-17,M,6,4,3,4,,8,
87,,2001-09-17,2006-09-17,2011-09-17,2015-09-17,2018-09-17,2022-09-17,2001-10-17,M,5,4,3,4,,9,
88,,2001-09-17,2006-09-17,2014-09-17,2018-09-17,2019-09-17,2022-09-17,2007-10-17,F,8,4,1,3,,15,
89,,2001-09-17,2006-09-17,2013-09-17,2017-09-17,2021-09-17,2024-09-17,2004-10-17,F,7,4,4,3,,10,
90,,2001-09-17,2006-09-17,2012-09-17,2017-09-17,,2022-09-17,2001-10-17,F,6,5,,,5,9,
91,2008-09-17,2001-09-17,2006-09-17,,,,,,,,,,,,,
92,,2001-09-17,2006-09-17,2012-09-17,2016-09-17,2019-09-17,2024-09-17,2001-10-17,M,6,4,3,5,,7,
93,,2001-09-17,2006-09-17,2012-09-17,2016-09-17,2019-09-17,2023-09-17,2002-10-17,F,6,4,3,4,,9,
94,2009-09-17,2001-09-17,2006-09-17,,,,,,,,,,,,,
95,,2001-09-17,2006-09-17,2011-09-17,2016-09-17,2020-09-17,2023-09-17,2001-10-17,M,5,5,4,3,,8,
96,,2001-09-17,2006-09-17,2012-09-17,2017-09-17,2020-09-17,2024-09-17,2002-10-17,M,6,5,3,4,,8,
97,,2001-09-17,2006-09-17,2012-09-17,2016-09-17,,2021-09-17,2029-09-17,M,6,4,,,5,8,8
98,,2001-09-17,2006-09-17,2012-09-17,2015-09-17,2019-09-17,2023-09-17,2002-10-17,F,6,3,4,4,,9,
99,,2001-09-17,2006-09-17,2011-09-17,2016-09-17,,2020-09-17,2028-09-17,M,5,5,,,4,8,8
100,,2001-09-17,2006-09-17,2013-09-17,2017-09-17,2021-09-17,2026-09-17,2003-10-17,M,7,4,4,5,,7,
101,,2001-09-17,2006-09-17,2012-09-17,2015-09-17,2019-09-17,2024-09-17,2003-10-17,F,6,3,4,5,,9,
102,,2001-09-17,2006-09-17,2011-09-17,2016-09-17,,2020-09-17,2028-09-17,M,5,5,,,4,8,8
103,,2001-09-17,2006-09-17,2011-09-17,2015-09-17,,2020-09-17,1930-09-17,F,5,4,,,5,10,10
104,,2001-09-17,2006-09-17,2011-09-17,2015-09-17,2019-09-17,2023-09-17,2002-10-17,F,5,4,4,4,,9,
105,,2001-09-17,2006-09-17,2012-09-17,2017-09-17,,2022-09-17,1930-09-17,M,6,5,,,5,8,8
106,,2001-09-17,2006-09-17,2012-09-17,2015-09-17,2019-09-17,2023-09-17,2002-10-17,F,6,3,4,4,,9,
107,,2001-09-17,2006-09-17,2012-09-17,2016-09-17,2019-09-17,2023-09-17,2002-10-17,F,6,4,3,4,,9,
108,,2001-09-17,2006-09-17,2011-09-17,2015-09-17,2019-09-17,2024-09-17,2004-10-17,F,5,4,4,5,,10,
109,,2001-09-17,2006-09-17,2012-09-17,2016-09-17,2019-09-17,2023-09-17,2003-10-17,F,6,4,3,4,,10,
110,,2001-09-17,2006-09-17,2012-09-17,2016-09-17,2020-09-17,2024-09-17,2001-10-17,M,6,4,4,4,,7,
111,,2001-09-17,2006-09-17,2013-09-17,2016-09-17,2020-09-17,2023-09-17,2002-10-17,F,7,3,4,3,,9,
112,,2001-09-17,2006-09-17,2012-09-17,2016-09-17,2019-09-17,2023-09-17,2003-10-17,F,6,4,3,4,,10,
113,,2001-09-17,2006-09-17,2012-09-17,2016-09-17,2020-09-17,2024-09-17,2004-10-17,F,6,4,4,4,,10,
114,,2001-09-17,2006-09-17,2012-09-17,2017-09-17,2021-09-17,2026-09-17,2003-10-17,M,6,5,4,5,,7,
115,2011-09-17,2001-09-17,2006-09-17,,,,,,,,,,,,,
116,,2001-09-17,2006-09-17,2012-09-17,2016-09-17,2019-09-17,2023-09-17,2001-10-17,F,6,4,3,4,,8,
117,,2001-09-17,2006-09-17,2012-09-17,2016-09-17,2019-09-17,2023-09-17,2002-10-17,F,6,4,3,4,,9,
118,,2001-09-17,2006-09-17,2013-09-17,2017-09-17,,2022-09-17,1930-09-17,M,7,4,,,5,8,8
119,2010-09-17,2001-09-17,2006-09-17,,,,,,,,,,,,,
120,,2001-09-17,2006-09-17,2013-09-17,2018-09-17,,2023-09-17,2002-10-17,M,7,5,,,5,9,9
121,,2001-09-17,2006-09-17,2012-09-17,2016-09-17,2019-09-17,2023-09-17,2002-10-17,M,6,4,3,4,,9,
122,,2001-09-17,2006-09-17,2013-09-17,2017-09-17,2021-09-17,2026-09-17,2006-10-17,F,7,4,4,5,,10,
123,,2001-09-17,2006-09-17,2012-09-17,2016-09-17,,2021-09-17,1930-09-17,M,6,4,,,5,9,9
124,,2001-09-17,2006-09-17,2011-09-17,2015-09-17,2018-09-17,2022-09-17,2029-09-17,M,5,4,3,4,,7,
125,,2001-09-17,2006-09-17,2012-09-17,2016-09-17,2019-09-17,2023-09-17,2002-10-17,F,6,4,3,4,,9,
126,,2001-09-17,2006-09-17,2013-09-17,2017-09-17,2020-09-17,2024-09-17,2001-10-17,M,7,4,3,4,,7,
127,,2001-09-17,2006-09-17,2014-09-17,2019-09-17,2022-09-17,2026-09-17,2005-10-17,F,8,5,3,4,,9,
128,,2001-09-17,2006-09-17,2013-09-17,2017-09-17,2021-09-17,2025-09-17,2005-10-17,F,7,4,4,4,,10,
129,,2001-09-17,2006-09-17,2013-09-17,2017-09-17,,2022-09-17,1930-09-17,M,7,4,,,5,8,8
130,,2001-09-17,2006-09-17,2013-09-17,2016-09-17,2020-09-17,2024-09-17,2003-10-17,F,7,3,4,4,,9,
131,2014-09-17,2001-09-17,2006-09-17,2013-09-17,,,,,,7,,,,,,
132,,2001-09-17,2006-09-17,2012-09-17,2016-09-17,2021-09-17,,1930-09-17,M,6,4,5,,,,
133,,2001-09-17,2006-09-17,2012-09-17,2015-09-17,2019-09-17,2023-09-17,2002-10-17,F,6,3,4,4,,9,
134,,2001-09-17,2006-09-17,2013-09-17,2016-09-17,2020-09-17,2024-09-17,2003-10-17,M,7,3,4,4,,9,
135,,2001-09-17,2006-09-17,2012-09-17,2016-09-17,2019-09-17,2024-09-17,2003-10-17,F,6,4,3,5,,9,
136,,2001-09-17,2006-09-17,2014-09-17,2018-09-17,,2021-09-17,2003-10-17,M,8,4,,,3,12,12
137,,2001-09-17,2006-09-17,2013-09-17,2017-09-17,,2022-09-17,1930-09-17,M,7,4,,,5,8,8
138,2020-09-17,2001-09-17,2006-09-17,2013-09-17,2019-09-17,,,,,7,6,,,,,
139,,2001-09-17,2006-09-17,2012-09-17,2017-09-17,,2022-09-17,1930-09-17,M,6,5,,,5,8,8
140,,2001-09-17,2006-09-17,2011-09-17,2016-09-17,2020-09-17,2024-09-17,2003-10-17,M,5,5,4,4,,9,
141,,2001-09-17,2006-09-17,2011-09-17,2015-09-17,2019-09-17,2023-09-17,2002-10-17,M,5,4,4,4,,9,
142,,2001-09-17,2006-09-17,2012-09-17,2017-09-17,2020-09-17,2024-09-17,2003-10-17,F,6,5,3,4,,9,
143,,2001-09-17,2006-09-17,2011-09-17,2016-09-17,2020-09-17,2025-09-17,2004-10-17,F,5,5,4,5,,9,
144,,2001-09-17,2006-09-17,2011-09-17,2016-09-17,2020-09-17,2024-09-17,2003-10-17,F,5,5,4,4,,9,
145,,2001-09-17,2006-09-17,2013-09-17,2017-09-17,2021-09-17,2026-09-17,2005-10-17,F,7,4,4,5,,9,
146,,2001-09-17,2006-09-17,2011-09-17,2016-09-17,,2021-09-17,2029-09-17,M,5,5,,,5,8,8
147,,2001-09-17,2006-09-17,2014-09-17,2018-09-17,,2023-09-17,1930-09-17,M,8,4,,,5,7,7
148,,2001-09-17,2006-09-17,2013-09-17,2018-09-17,2019-09-17,2023-09-17,1930-09-17,M,7,5,1,4,,7,
149,,2001-09-17,2006-09-17,2012-09-17,2016-09-17,,2021-09-17,2029-09-17,M,6,4,,,5,8,8
150,,2001-09-17,2006-09-17,2011-09-17,2015-09-17,2018-09-17,2023-09-17,1930-09-17,M,5,4,3,5,,7,
151,,2001-09-17,2006-09-17,2012-09-17,2016-09-17,,2021-09-17,2029-09-17,M,6,4,,,5,8,8
152,,2001-09-17,2006-09-17,2013-09-17,2017-09-17,2020-09-17,2024-09-17,2004-10-17,F,7,4,3,4,,10,
153,,2001-09-17,2006-09-17,2012-09-17,2016-09-17,2019-09-17,2023-09-17,2001-10-17,M,6,4,3,4,,8,
154,,2001-09-17,2006-09-17,2013-09-17,2017-09-17,2020-09-17,2024-09-17,2001-10-17,M,7,4,3,4,,7,
155,,2001-09-17,2006-09-17,2013-09-17,2017-09-17,2020-09-17,2024-09-17,2003-10-17,F,7,4,3,4,,9,
156,,2001-09-17,2006-09-17,2012-09-17,2016-09-17,2020-09-17,2024-09-17,2003-10-17,M,6,4,4,4,,9,
157,2009-09-17,2001-09-17,2006-09-17,,,,,,,,,,,,,
158,,2001-09-17,2006-09-17,2012-09-17,2017-09-17,,2023-09-17,2001-10-17,M,6,5,,,6,8,8
159,2020-09-17,2001-09-17,2006-09-17,2012-09-17,2016-09-17,,,,,6,4,,,,,
160,,2001-09-17,2006-09-17,2012-09-17,2016-09-17,2019-09-17,2023-09-17,2001-10-17,M,6,4,3,4,,8,
161,,2001-09-17,2006-09-17,2012-09-17,2015-09-17,2019-09-17,2023-09-17,2003-10-17,F,6,3,4,4,,10,
162,,2001-09-17,2006-09-17,2012-09-17,2016-09-17,2020-09-17,2024-09-17,2002-10-17,M,6,4,4,4,,8,
163,,2001-09-17,2006-09-17,2012-09-17,2016-09-17,,2021-09-17,2029-09-17,M,6,4,,,5,8,8
164,,2001-09-17,2006-09-17,2013-09-17,2017-09-17,2021-09-17,2026-09-17,2006-10-17,F,7,4,4,5,,10,
165,2012-09-17,2001-09-17,2006-09-17,,,,,,,,,,,,,
166,,2001-09-17,2006-09-17,2011-09-17,2015-09-17,,2020-09-17,2028-09-17,M,5,4,,,5,8,8
167,2019-09-17,2001-09-17,2006-09-17,,,,,,,,,,,,,
168,,2001-09-17,2006-09-17,2013-09-17,2017-09-17,2021-09-17,2026-09-17,2005-10-17,F,7,4,4,5,,9,
169,,2001-09-17,2006-09-17,2012-09-17,2015-09-17,2019-09-17,2023-09-17,2003-10-17,F,6,3,4,4,,10,
170,,2001-09-17,2006-09-17,2012-09-17,2016-09-17,2019-09-17,2022-09-17,1930-09-17,M,6,4,3,3,,8,
171,,2001-09-17,2006-09-17,2012-09-17,2015-09-17,2019-09-17,2023-09-17,2002-10-17,F,6,3,4,4,,9,
172,,2001-09-17,2006-09-17,2011-09-17,2016-09-17,2020-09-17,2024-09-17,2002-10-17,M,5,5,4,4,,8,
173,,2001-09-17,2006-09-17,2012-09-17,2017-09-17,,2022-09-17,2002-10-17,F,6,5,,,5,10,10
174,2010-09-17,2001-09-17,2006-09-17,,,,,,,,,,,,,
175,,2001-09-17,2006-09-17,2014-09-17,2017-09-17,2021-09-17,2025-09-17,2004-10-17,F,8,3,4,4,,9,
176,2008-09-17,2001-09-17,2006-09-17,,,,,,,,,,,,,
177,,2001-09-17,2006-09-17,2012-09-17,2016-09-17,2019-09-17,2023-09-17,2002-10-17,F,6,4,3,4,,9,
178,,2001-09-17,2006-09-17,2012-09-17,2016-09-17,,2021-09-17,2029-09-17,M,6,4,,,5,8,8
179,2023-09-17,2001-09-17,2006-09-17,2012-09-17,2016-09-17,,,,,6,4,,,,,
180,,2001-09-17,2006-09-17,2013-09-17,2018-09-17,2022-09-17,2027-09-17,2006-10-17,F,7,5,4,5,,9,
181,,2001-09-17,2006-09-17,2013-09-17,2017-09-17,2021-09-17,2025-09-17,2004-10-17,F,7,4,4,4,,9,
182,,2001-09-17,2006-09-17,2014-09-17,2018-09-17,2019-09-17,2023-09-17,2001-10-17,M,8,4,1,4,,8,
183,,2001-09-17,2006-09-17,2012-09-17,2017-09-17,,2022-09-17,2029-09-17,M,6,5,,,5,7,7
184,,2001-09-17,2006-09-17,2013-09-17,2016-09-17,2020-09-17,2024-09-17,2002-10-17,M,7,3,4,4,,8,
185,,2001-09-17,2006-09-17,2012-09-17,2015-09-17,2019-09-17,2023-09-17,2001-10-17,F,6,3,4,4,,8,
186,,2001-09-17,2006-09-17,2012-09-17,2016-09-17,2020-09-17,2024-09-17,2004-10-17,F,6,4,4,4,,10,
187,,2001-09-17,2006-09-17,2014-09-17,2018-09-17,2019-09-17,2024-09-17,2002-10-17,M,8,4,1,5,,8,
188,,2001-09-17,2006-09-17,2012-09-17,2016-09-17,2019-09-17,2023-09-17,2001-10-17,M,6,4,3,4,,8,
189,,2001-09-17,2006-09-17,2012-09-17,2017-09-17,,2021-09-17,2029-09-17,M,6,5,,,4,8,8
190,,2001-09-17,2006-09-17,2012-09-17,2016-09-17,2020-09-17,2024-09-17,2003-10-17,F,6,4,4,4,,9,
191,,2001-09-17,2006-09-17,2011-09-17,2015-09-17,2019-09-17,2023-09-17,2002-10-17,F,5,4,4,4,,9,
192,,2001-09-17,2006-09-17,2012-09-17,2017-09-17,,2021-09-17,2029-09-17,M,6,5,,,4,8,8
193,,2001-09-17,2006-09-17,2011-09-17,2016-09-17,,2020-09-17,1930-09-17,M,5,5,,,4,10,10
194,,2001-09-17,2006-09-17,2013-09-17,2016-09-17,2019-09-17,2024-09-17,2004-10-17,F,7,3,3,5,,10,
195,,2001-09-17,2006-09-17,2012-09-17,2016-09-17,,2021-09-17,1930-09-17,F,6,4,,,,9,
196,,2001-09-17,2006-09-17,2013-09-17,2018-09-17,2022-09-17,2026-09-17,2006-10-17,F,7,5,4,4,,10,
197,,2001-09-17,2006-09-17,2012-09-17,2016-09-17,2020-09-17,2024-09-17,2003-10-17,F,6,4,4,4,,9,
198,,2001-09-17,2006-09-17,2012-09-17,2015-09-17,2019-09-17,2023-09-17,2002-10-17,F,6,3,4,4,,9,
199,,2001-09-17,2006-09-17,2012-09-17,2016-09-17,,2021-09-17,1930-09-17,F,6,4,,,5,9,9
200,,2001-09-17,2006-09-17,2012-09-17,2016-09-17,2020-09-17,2024-09-17,2002-10-17,F,6,4,4,4,,8,
1,,2001-09-17,2006-09-17,,,,,2003-10-17,F,,,,,,,
2,,2001-09-17,2006-09-17,,,,,1930-09-17,M,,,,,,,
3,,2001-09-17,2006-09-17,,,,,1930-09-17,M,,,,,,,
4,,2001-09-17,2006-09-17,,,,,2029-09-17,M,,,,,,,
5,,2001-09-17,2006-09-17,,,,,1930-09-17,M,,,,,,,
6,,2001-09-17,2006-09-17,,,,,2001-10-17,M,,,,,,,
7,,2001-09-17,2006-09-17,,,,,1930-09-17,F,,,,,,,
8,,2001-09-17,2006-09-17,,,,,2002-10-17,F,,,,,,,
9,,2001-09-17,2006-09-17,,,,,2002-10-17,F,,,,,,,
10,,2001-09-17,2006-09-17,,,,,,,,,,,,,
11,,2001-09-17,2006-09-17,,,,,2001-10-17,M,,,,,,,
12,,2001-09-17,2006-09-17,,,,,2002-10-17,F,,,,,,,
13,,2001-09-17,2006-09-17,,,,,2002-10-17,M,,,,,,,
14,,2001-09-17,2006-09-17,,,,,2029-09-17,M,,,,,,,
15,,2001-09-17,2006-09-17,,,,,2029-09-17,F,,,,,,,
16,,2001-09-17,2006-09-17,,,,,2003-10-17,F,,,,,,,
17,,2001-09-17,2006-09-17,,,,,2001-10-17,M,,,,,,,
18,,2001-09-17,2006-09-17,,,,,2002-10-17,F,,,,,,,
19,,2001-09-17,2006-09-17,,,,,1930-09-17,F,,,,,,,
20,,2001-09-17,2006-09-17,,,,,2029-09-17,M,,,,,,,
21,,2001-09-17,2006-09-17,,,,,2029-09-17,M,,,,,,,
22,,2001-09-17,2006-09-17,,,,,2029-09-17,M,,,,,,,
23,,2001-09-17,2006-09-17,,,,,2004-10-17,F,,,,,,,
24,,2001-09-17,2006-09-17,,,,,2001-10-17,M,,,,,,,
25,,2001-09-17,2006-09-17,,,,,2001-10-17,M,,,,,,,
26,,2001-09-17,2006-09-17,,,,,2029-09-17,M,,,,,,,
27,,2001-09-17,2006-09-17,,,,,2002-10-17,M,,,,,,,
28,,2001-09-17,2006-09-17,,,,,2003-10-17,F,,,,,,,
29,,2001-09-17,2006-09-17,,,,,2029-09-17,M,,,,,,,
30,,2001-09-17,2006-09-17,,,,,2003-10-17,F,,,,,,,
31,,2001-09-17,2006-09-17,,,,,2028-09-17,M,,,,,,,
32,,2001-09-17,2006-09-17,,,,,2003-10-17,M,,,,,,,
33,,2001-09-17,2006-09-17,,,,,2029-09-17,M,,,,,,,
34,,2001-09-17,2006-09-17,,,,,2029-09-17,M,,,,,,,
35,,2001-09-17,2006-09-17,,,,,1930-09-17,M,,,,,,,
36,,2001-09-17,2006-09-17,,,,,2003-10-17,F,,,,,,,
37,,2001-09-17,2006-09-17,,,,,1930-09-17,M,,,,,,,
38,,2001-09-17,2006-09-17,,,,,2003-10-17,F,,,,,,,
39,,2001-09-17,2006-09-17,,,,,2001-10-17,M,,,,,,,
40,,2001-09-17,2006-09-17,,,,,2002-10-17,M,,,,,,,
41,,2001-09-17,2006-09-17,,,,,2001-10-17,M,,,,,,,
