Cup #,Dead,Crisper setup,L2,Time_in_treatment_L2,Days_1_L2,Time_to_20deg_L2,L3,Time_in_treatment_L3,Days_1_L3,Time_to_20deg_L3,L4,Time_in_treatment_L4,Days_1_L4,Time_to_20deg_L4,L5,Time_in_treatment_L5,Days_2_L5,Time_to_20deg_L5,L6,Time_in_treatment_L6,Days_5_L6,Time_to_20deg_L6,Pupa,Sex
30,07-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
31,03-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
32,06-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
33,03-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
34,11-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,09-12-2017,10:29,10-12-2017,10:35,,,,,,,,,,,,,,
35,13-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
36,04-01-2018,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,08-12-2017,12:00,09-12-2017,10:07,14-12-2017,10:55,15-12-2017,10:30,19-12-2017,10:12,21-12-2017,09:30,28-12-2017,10:00,02-01-2018,09:00,,
37,20-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,07-12-2017,10:15,08-12-2017,10:04,12-12-2017,10:22,13-12-2017,09:20,15-12-2017,10:30,17-12-2017,10:23,,,,,,
38,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,08-12-2017,12:00,09-12-2017,10:07,12-12-2017,10:22,13-12-2017,09:20,15-12-2017,10:30,17-12-2017,10:23,19-12-2017,10:00,24-12-2017,13:00,01-01-2018,M
39,07-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
40,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,09-12-2017,10:29,10-12-2017,10:35,14-12-2017,10:55,15-12-2017,10:30,17-12-2017,10:20,19-12-2017,09:50,21-12-2017,10:30,26-12-2017,10:00,29-12-2017,M
41,03-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
42,26-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,08-12-2017,12:00,09-12-2017,10:07,12-12-2017,10:22,13-12-2017,09:20,16-12-2017,10:30,18-12-2017,10:30,22-12-2017,09:45,27-12-2017,10:00,,
43,03-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
44,03-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
45,03-01-2018,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,09-12-2017,10:29,10-12-2017,10:35,15-12-2017,10:30,16-12-2017,10:30,19-12-2017,10:12,21-12-2017,09:30,29-12-2017,10:00,03-01-2018,09:00,,
46,07-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
47,04-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
48,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,07-12-2017,10:15,08-12-2017,10:04,14-12-2017,10:55,15-12-2017,10:30,17-12-2017,10:20,19-12-2017,09:50,23-12-2017,13:00,28-12-2017,09:00,28-12-2017,M
49,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,07-12-2017,10:15,08-12-2017,10:04,12-12-2017,10:22,13-12-2017,09:20,15-12-2017,10:30,17-12-2017,10:23,20-12-2017,14:00,25-12-2017,15:00,29-12-2017,M
50,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,09-12-2017,10:29,10-12-2017,10:35,13-12-2017,11:27,14-12-2017,11:00,17-12-2017,10:20,19-12-2017,09:50,22-12-2017,09:45,27-12-2017,10:00,30-12-2017,M
51,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,07-12-2017,10:15,08-12-2017,10:04,13-12-2017,11:27,14-12-2017,11:00,16-12-2017,10:30,18-12-2017,10:30,21-12-2017,10:30,26-12-2017,10:00,01-01-2018,M
52,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,13-12-2017,11:27,14-12-2017,10:55,14-12-2017,10:55,15-12-2017,10:30,19-12-2017,10:12,21-12-2017,09:30,25-12-2017,16:00,30-12-2017,10:00,09-01-2018,F
53,06-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
54,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,07-12-2017,10:15,08-12-2017,10:04,13-12-2017,11:27,14-12-2017,11:00,18-12-2017,10:53,20-12-2017,12:00,25-12-2017,16:00,30-12-2017,10:00,07-01-2018,F
55,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,10-12-2017,10:31,11-12-2017,10:24,15-12-2017,10:30,16-12-2017,10:30,18-12-2017,10:53,20-12-2017,12:00,23-12-2017,13:00,28-12-2017,09:00,29-12-2017,M
