Cup #,Dead,Crisper setup,L2,Time_in_treatment_L2,Days_1_L2,Time_to_20deg_L2,L3,Time_in_treatment_L3,Days_1_L3,Time_to_20deg_L3,L4,Time_in_treatment_L4,Days_1_L4,Time_to_20deg_L4,L5,Time_in_treatment_L5,Days_2_L5,Time_to_20deg_L5,L6,Time_in_treatment_L6,Days_5_L6,Time_to_20deg_L6,Pupa,Sex
138,03-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
139,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,07-12-2017,10:15,08-12-2017,10:04,12-12-2017,10:22,13-12-2017,09:20,16-12-2017,10:30,18-12-2017,10:30,22-12-2017,09:45,27-12-2017,10:00,30-12-2017,M
140,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,08-12-2017,12:00,09-12-2017,10:07,13-12-2017,11:27,14-12-2017,11:00,,,,,18-12-2017,12:11,23-12-2017,10:00,27-12-2017,M
141,03-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
142,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,08-12-2017,12:00,09-12-2017,10:07,13-12-2017,11:27,14-12-2017,11:00,19-12-2017,10:12,21-12-2017,09:30,24-12-2017,14:00,29-12-2017,09:00,07-01-2018,F
143,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,08-12-2017,12:00,09-12-2017,10:07,12-12-2017,10:22,13-12-2017,09:20,16-12-2017,10:30,18-12-2017,10:30,22-12-2017,09:45,27-12-2017,10:00,06-01-2018,F
144,03-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
145,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,10-12-2017,10:31,11-12-2017,10:24,14-12-2017,10:55,15-12-2017,10:30,18-12-2017,10:53,20-12-2017,12:00,23-12-2017,13:00,28-12-2017,09:00,31-12-2017,M
146,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,09-12-2017,10:29,10-12-2017,10:35,13-12-2017,11:27,14-12-2017,11:00,16-12-2017,10:30,18-12-2017,10:30,22-12-2017,09:45,27-12-2017,10:00,01-01-2018,M
147,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,10-12-2017,10:31,11-12-2017,10:24,16-12-2017,10:30,17-12-2017,10:23,21-12-2017,10:30,23-12-2017,10:00,25-12-2017,16:00,30-12-2017,10:00,02-01-2018,M
148,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,10-12-2017,10:31,11-12-2017,10:24,14-12-2017,10:55,15-12-2017,10:30,18-12-2017,10:53,20-12-2017,12:00,24-12-2017,14:00,29-12-2017,09:00,02-01-2018,F
149,24-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,09-12-2017,10:29,10-12-2017,10:35,14-12-2017,10:55,15-12-2017,10:30,19-12-2017,10:12,21-12-2017,09:30,,,,,,
150,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,09-12-2017,10:29,10-12-2017,10:35,13-12-2017,11:27,14-12-2017,12:30,18-12-2017,10:53,20-12-2017,12:00,21-12-2017,10:30,26-12-2017,10:00,07-01-2018,M
151,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,08-12-2017,12:00,09-12-2017,10:07,13-12-2017,11:27,14-12-2017,11:00,19-12-2017,10:12,21-12-2017,09:30,25-12-2017,16:00,30-12-2017,10:00,08-01-2018,F
152,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,07-12-2017,10:15,08-12-2017,10:04,11-12-2017,10:20,12-12-2017,10:22,14-12-2017,10:55,16-12-2017,15:46,17-12-2017,10:20,22-12-2017,09:20,24-12-2017,M
153,03-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
154,03-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
155,03-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
156,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,08-12-2017,12:00,09-12-2017,10:07,13-12-2017,11:27,14-12-2017,11:00,17-12-2017,10:20,19-12-2017,09:50,20-12-2017,14:00,25-12-2017,15:00,30-12-2017,M
157,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,09-12-2017,10:29,10-12-2017,10:35,13-12-2017,11:27,14-12-2017,11:00,18-12-2017,10:53,20-12-2017,12:00,25-12-2017,16:00,30-12-2017,10:00,07-01-2018,M
158,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,07-12-2017,10:15,08-12-2017,10:04,11-12-2017,10:20,12-12-2017,10:22,14-12-2017,10:55,16-12-2017,15:46,19-12-2017,10:00,24-12-2017,13:00,13-01-2018,F
159,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,08-12-2017,12:00,09-12-2017,10:07,12-12-2017,10:22,13-12-2017,09:20,15-12-2017,10:30,17-12-2017,10:23,20-12-2017,14:00,25-12-2017,15:00,27-12-2017,M
160,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,08-12-2017,12:00,09-12-2017,10:07,13-12-2017,11:27,14-12-2017,12:30,18-12-2017,10:53,20-12-2017,12:00,21-12-2017,10:30,26-12-2017,10:00,30-12-2017,M
161,03-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
162,06-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
163,03-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
164,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,09-12-2017,10:29,10-12-2017,10:35,14-12-2017,10:55,15-12-2017,10:30,18-12-2017,10:53,20-12-2017,12:00,24-12-2017,14:00,29-12-2017,09:00,31-12-2017,F
165,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,08-12-2017,12:00,09-12-2017,10:07,13-12-2017,11:27,14-12-2017,11:00,18-12-2017,10:53,20-12-2017,12:00,22-12-2017,09:45,27-12-2017,10:00,08-01-2018,F
166,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,08-12-2017,12:00,09-12-2017,10:07,12-12-2017,10:22,13-12-2017,09:20,17-12-2017,10:20,19-12-2017,09:50,25-12-2017,16:00,30-12-2017,10:00,09-01-2018,F
167,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,08-12-2017,12:00,09-12-2017,10:07,13-12-2017,11:27,14-12-2017,11:00,18-12-2017,10:53,20-12-2017,12:00,22-12-2017,09:45,27-12-2017,10:00,03-01-2018,F
168,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,08-12-2017,12:00,09-12-2017,10:07,12-12-2017,10:22,13-12-2017,09:20,,,,,23-12-2017,13:00,28-12-2017,09:00,02-01-2018,F
169,05-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
170,04-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
171,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,07-12-2017,10:15,08-12-2017,10:04,13-12-2017,11:27,14-12-2017,11:00,18-12-2017,10:53,20-12-2017,12:00,24-12-2017,14:00,29-12-2017,09:00,01-01-2018,M
172,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,08-12-2017,12:00,09-12-2017,10:07,13-12-2017,11:27,14-12-2017,11:00,18-12-2017,10:53,20-12-2017,12:00,24-12-2017,14:00,29-12-2017,09:00,07-01-2017,F
173,03-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
174,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,09-12-2017,10:29,10-12-2017,10:35,14-12-2017,10:55,15-12-2017,10:30,18-12-2017,10:53,20-12-2017,12:00,23-12-2017,13:00,28-12-2017,09:00,03-01-2018,M
175,03-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
176,03-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
177,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,08-12-2017,12:00,09-12-2017,10:07,13-12-2017,11:27,14-12-2017,11:00,17-12-2017,10:20,19-12-2017,09:50,20-12-2017,14:00,25-12-2017,15:00,29-12-2017,M
178,04-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
179,13-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
180,03-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
181,03-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
182,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,14-12-2017,10:55,15-12-2017,10:30,20-12-2017,14:00,21-12-2017,09:30,26-12-2017,11:00,28-12-2017,09:00,02-01-2018,10:00,07-01-2018,09:00,21-01-2018,F
183,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,09-12-2017,10:29,10-12-2017,10:35,13-12-2017,11:27,14-12-2017,11:00,18-12-2017,10:53,20-12-2017,12:00,22-12-2017,09:45,27-12-2017,10:00,31-12-2017,M
184,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,08-12-2017,12:00,09-12-2017,10:07,13-12-2017,11:27,14-12-2017,11:00,19-12-2017,10:12,21-12-2017,09:30,22-12-2017,09:45,27-12-2017,10:00,12-01-2018,F
185,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,08-12-2017,12:00,09-12-2017,10:07,12-12-2017,10:22,13-12-2017,09:20,16-12-2017,10:30,18-12-2017,10:30,23-12-2017,13:00,28-12-2017,09:00,11-01-2018,M
186,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,08-12-2017,12:00,09-12-2017,10:07,14-12-2017,10:55,15-12-2017,10:30,18-12-2017,10:53,20-12-2017,12:00,23-12-2017,13:00,28-12-2017,09:00,01-01-2018,F
187,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,08-12-2017,12:00,09-12-2017,10:07,13-12-2017,11:27,14-12-2017,11:00,17-12-2017,10:20,19-12-2017,09:50,22-12-2017,09:45,27-12-2017,10:00,29-12-2017,M
188,03-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
189,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,08-12-2017,12:00,09-12-2017,10:07,12-12-2017,10:22,13-12-2017,09:20,18-12-2017,10:53,20-12-2017,12:00,23-12-2017,13:00,28-12-2017,09:00,02-01-2018,F
190,03-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
191,27-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,08-12-2017,12:00,09-12-2017,10:07,13-12-2017,11:27,14-12-2017,11:00,19-12-2017,10:12,21-12-2017,09:30,26-12-2017,11:00,31-12-2017,09:00,,
192,05-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
193,06-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
194,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,07-12-2017,10:15,08-12-2017,10:04,11-12-2017,10:20,12-12-2017,10:22,15-12-2017,10:30,17-12-2017,10:23,19-12-2017,10:00,24-12-2017,13:00,28-12-2017,M
195,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,08-12-2017,12:00,09-12-2017,10:07,12-12-2017,10:22,13-12-2017,09:20,15-12-2017,10:30,17-12-2017,10:23,18-12-2017,12:11,23-12-2017,10:00,28-12-2017,M
196,03-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
197,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,07-12-2017,10:15,08-12-2017,10:04,13-12-2017,11:27,14-12-2017,11:00,15-12-2017,10:30,17-12-2017,10:23,21-12-2017,10:30,26-12-2017,10:00,04-01-2018,F
198,16-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,08-12-2017,12:00,09-12-2017,10:07,14-12-2017,10:55,15-12-2017,10:30,,,,,,,,,,
199,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,09-12-2017,10:29,10-12-2017,10:35,15-12-2017,10:30,16-12-2017,10:30,18-12-2017,10:53,20-12-2017,12:00,24-12-2017,14:00,29-12-2017,09:00,01-01-2018,M
200,03-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
Extra,,,,,,,,,,,,,,,,,,,,,,,,
1,03-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
2,03-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
3,03-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
4,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,12-12-2017,12:15,13-12-2017,09:20,18-12-2017,12:11,19-12-2017,10:00,24-12-2017,14:00,26-12-2017,10:00,27-12-2017,11:00,01-01-2018,11:00,11-01-2018,F
5,28-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,10-12-2017,10:31,11-12-2017,10:24,12-12-2017,10:22,13-12-2017,09:20,16-12-2017,10:30,18-12-2017,10:30,23-12-2017,13:00,28-12-2017,09:00,,
6,03-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
7,03-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
8,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,08-12-2017,12:00,09-12-2017,10:07,13-12-2017,11:27,14-12-2017,11:00,17-12-2017,10:20,19-12-2017,09:50,23-12-2017,13:00,28-12-2017,09:00,29-12-2017,M
9,03-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
10,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,08-12-2017,12:00,09-12-2017,10:07,13-12-2017,11:27,14-12-2017,11:00,17-12-2017,10:20,19-12-2017,09:50,21-12-2017,10:30,26-12-2017,10:00,02-01-2018,M
11,17-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,10-12-2017,10:31,11-12-2017,10:24,15-12-2017,10:30,16-12-2017,10:30,,,,,,,,,,
12,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,09-12-2017,10:29,10-12-2017,10:35,14-12-2017,10:55,15-12-2017,10:30,18-12-2017,10:53,20-12-2017,12:00,24-12-2017,14:00,29-12-2017,09:00,06-01-2018,F
13,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,08-12-2017,12:00,09-12-2017,10:07,13-12-2017,11:27,14-12-2017,11:00,16-12-2017,10:30,18-12-2017,10:30,22-12-2017,09:45,27-12-2017,10:00,09-01-2018,F
14,29-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,09-12-2017,10:29,10-12-2017,10:35,14-12-2017,10:55,15-12-2017,10:30,17-12-2017,10:20,19-12-2017,09:50,,,,,,
15,03-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
16,03-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
17,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,12-12-2017,12:15,13-12-2017,09:20,14-12-2017,10:55,15-12-2017,10:30,17-12-2017,10:20,19-12-2017,09:50,25-12-2017,16:00,30-12-2017,10:00,06-01-2018,M
18,04-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
19,17-01-2018,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,08-12-2017,12:00,09-12-2017,10:07,13-12-2017,11:27,14-12-2017,11:00,16-12-2017,10:30,18-12-2017,10:30,20-12-2017,14:00,25-12-2017,15:00,,
20,03-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
21,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,07-12-2017,10:15,08-12-2017,10:04,13-12-2017,11:27,14-12-2017,11:00,18-12-2017,10:53,20-12-2017,12:00,24-12-2017,14:00,29-12-2017,09:00,03-01-2018,F
22,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,09-12-2017,10:29,10-12-2017,10:35,12-12-2017,10:22,13-12-2017,09:20,17-12-2017,10:20,19-12-2017,09:50,23-12-2017,13:00,28-12-2017,09:00,23-01-2018,M
23,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,08-12-2017,12:00,09-12-2017,10:07,13-12-2017,11:27,14-12-2017,11:00,17-12-2017,10:20,19-12-2017,09:50,23-12-2017,13:00,28-12-2017,09:00,02-01-2018,F
24,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,08-12-2017,12:00,09-12-2017,10:07,13-12-2017,11:27,14-12-2017,11:00,17-12-2017,10:20,19-12-2017,09:50,22-12-2017,09:45,27-12-2017,10:00,01-01-2018,M
25,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,06-12-2017,10:25,07-12-2017,10:15,10-12-2017,10:30,11-12-2017,10:24,13-12-2017,11:27,15-12-2017,10:30,18-12-2017,12:11,23-12-2017,10:00,27-12-2017,M
26,03-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
27,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,09-12-2017,10:29,10-12-2017,10:35,15-12-2017,10:30,16-12-2017,10:30,19-12-2017,10:12,21-12-2017,09:30,25-12-2017,16:00,30-12-2017,10:00,06-01-2018,F
28,03-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
29,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,07-12-2017,10:15,08-12-2017,10:04,11-12-2017,10:20,12-12-2017,10:22,16-12-2017,10:30,18-12-2017,10:30,21-12-2017,10:30,26-12-2017,10:00,03-01-2018,F
30,04-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
31,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,08-12-2017,12:00,09-12-2017,10:07,11-12-2017,10:20,12-12-2017,10:22,15-12-2017,10:30,17-12-2017,10:23,18-12-2017,12:11,23-12-2017,10:00,25-12-2017,M
32,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,09-12-2017,10:29,10-12-2017,10:35,14-12-2017,10:55,15-12-2017,10:30,18-12-2017,10:53,20-12-2017,12:00,23-12-2017,13:00,28-12-2017,09:00,04-01-2018,F
33,26-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,13-12-2017,11:27,14-12-2017,10:55,,,,,,,,,,,,,,
34,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,07-12-2017,10:15,08-12-2017,10:04,12-12-2017,10:22,13-12-2017,09:20,17-12-2017,10:20,19-12-2017,09:50,21-12-2017,10:30,26-12-2017,10:00,28-12-2017,M
35,11-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,09-12-2017,10:29,10-12-2017,,,,,,,,,,,,,,,
36,26-01-2018,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,08-12-2017,12:00,09-12-2017,10:07,13-12-2017,11:27,14-12-2017,11:00,17-12-2017,10:20,19-12-2017,09:50,21-12-2017,10:30,26-12-2017,10:00,,
37,03-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
38,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,08-12-2017,12:00,09-12-2017,10:07,13-12-2017,11:27,14-12-2017,11:00,18-12-2017,10:53,20-12-2017,12:00,24-12-2017,14:00,29-12-2017,09:00,03-01-2018,F
39,08-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
40,03-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
41,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,08-12-2017,12:00,09-12-2017,10:07,13-12-2017,11:27,14-12-2017,11:00,17-12-2017,10:20,19-12-2017,09:50,22-12-2017,09:45,27-12-2017,10:00,30-12-2017,M
42,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,09-12-2017,10:29,10-12-2017,10:35,14-12-2017,10:55,15-12-2017,10:30,17-12-2017,10:20,19-12-2017,09:50,23-12-2017,13:00,28-12-2017,09:00,30-12-2017,M
43,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,09-12-2017,10:29,10-12-2017,10:35,13-12-2017,11:27,14-12-2017,11:00,17-12-2017,10:20,19-12-2017,09:50,22-12-2017,09:45,27-12-2017,10:00,09-01-2018,F
44,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,10-12-2017,10:31,11-12-2017,10:24,15-12-2017,10:30,16-12-2017,10:30,19-12-2017,10:12,21-12-2017,09:30,26-12-2017,11:00,31-12-2017,09:00,13-01-2018,F
45,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,10-12-2017,10:31,11-12-2017,10:24,15-12-2017,10:30,16-12-2017,10:30,19-12-2017,10:12,21-12-2017,09:30,24-12-2017,14:00,29-12-2017,09:00,02-01-2018,M
46,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,08-12-2017,12:00,09-12-2017,10:07,13-12-2017,11:27,14-12-2017,11:00,,,,,18-12-2017,12:11,23-12-2017,10:00,28-12-2017,M
47,18-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,09-12-2017,10:29,10-12-2017,10:35,15-12-2017,10:30,16-12-2017,10:30,,,,,,,,,,
48,03-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
49,03-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
50,07-01-2018,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,09-12-2017,10:29,10-12-2017,10:35,14-12-2017,10:55,15-12-2017,10:30,19-12-2017,10:12,21-12-2017,09:30,26-12-2017,11:00,31-12-2017,09:00,,
