Cup #,Dead,Crisper setup,L2,L3,L4,L5,L5.5,L6,L6.5,Pupa,Sex
1,,29-12-2017,03-01-2018,07-01-2018,11-01-2018,13-01-2018,,19-01-2018,,24-01-2018,F
2,,29-12-2017,03-01-2018,09-01-2018,11-01-2018,24-01-2018,,,,,
3,,29-12-2017,03-01-2018,08-01-2018,10-01-2018,13-01-2018,,16-01-2018,,21-01-2018,M
4,,29-12-2017,03-01-2018,08-01-2018,10-01-2018,13-01-2018,,15-01-2018,,21-01-2018,F
5,,29-12-2017,03-01-2018,07-01-2018,10-01-2018,13-01-2018,,16-01-2018,,21-01-2018,M
6,,29-12-2017,03-01-2018,07-01-2018,11-01-2018,15-01-2018,,16-01-2018,18-01-2018,24-01-2018,M
7,21-01-2018,29-12-2017,03-01-2018,12-01-2018,,,,,,,
8,,29-12-2017,03-01-2018,08-01-2018,11-01-2018,14-01-2018,17-01-2018,23-01-2018,,24-01-2018,F
9,09-01-2018,29-12-2017,03-01-2018,,,,,,,,
10,,29-12-2017,03-01-2018,08-01-2018,10-01-2018,12-01-2018,,15-01-2018,,19-01-2018,M
11,,29-12-2017,03-01-2018,07-01-2018,10-01-2018,13-01-2018,,16-01-2018,,21-01-2018,M
12,,29-12-2017,03-01-2018,06-01-2018,11-01-2018,15-01-2018,,19-01-2018,,25-01-2018,F
13,,29-12-2017,03-01-2018,09-01-2018,11-01-2018,13-01-2018,,16-01-2018,,20-01-2018,M
14,,29-12-2017,03-01-2018,07-01-2018,11-01-2018,17-01-2018,20-01-2018,27-01-2018,,07-02-2018,F
15,05-01-2018,29-12-2017,03-01-2018,,,,,,,,
16,08-01-2018,29-12-2017,03-01-2018,,,,,,,,
17,09-01-2018,29-12-2017,03-01-2018,,,,,,,,
18,07-01-2018,29-12-2017,03-01-2018,,,,,,,,
19,,29-12-2017,03-01-2018,07-01-2018,11-01-2018,14-01-2018,,18-01-2018,,25-01-2018,F
20,08-01-2018,29-12-2017,03-01-2018,07-01-2018,,,,,,,
21,,29-12-2017,03-01-2018,08-01-2018,11-01-2018,14-01-2018,,17-01-2018,,24-01-2018,M
22,09-01-2018,29-12-2017,03-01-2018,,,,,,,,
23,,29-12-2017,03-01-2018,07-01-2018,10-01-2018,13-01-2018,,15-01-2018,18-01-2018,24-01-2018,F
24,,29-12-2017,03-01-2018,07-01-2018,11-01-2018,14-01-2018,24-01-2018,28-01-2018,,07-02-2018,F
25,,29-12-2017,03-01-2018,09-01-2018,12-01-2018,15-01-2018,,19-01-2018,,25-01-2018,F
26,10-01-2018,29-12-2017,03-01-2018,06-01-2018,08-01-2018,,,,,,
27,11-01-2018,29-12-2017,03-01-2018,09-01-2018,,,,,,,
28,,29-12-2017,03-01-2018,08-01-2018,11-01-2018,14-01-2018,,19-01-2018,,25-01-2018,M
29,,29-12-2017,03-01-2018,09-01-2018,11-01-2018,14-01-2018,,17-01-2018,,24-01-2018,F
30,,29-12-2017,03-01-2018,09-01-2018,19-01-2018,,,,,,
31,08-01-2018,29-12-2017,03-01-2018,,,,,,,,
32,,29-12-2017,03-01-2018,07-01-2018,09-01-2018,12-01-2018,,16-01-2018,,22-01-2018,M
33,,29-12-2017,03-01-2018,09-01-2018,17-01-2018,,,,,,
34,,29-12-2017,03-01-2018,08-01-2018,11-01-2018,13-01-2018,,15-01-2018,,20-01-2018,M
35,23-02-2018,29-12-2017,03-01-2018,09-01-2018,14-01-2018,19-01-2018,26-01-2018,02-02-2018,,,
36,17-01-2018,29-12-2017,03-01-2018,08-01-2018,11-01-2018,14-01-2018,,,,,
37,,29-12-2017,03-01-2018,09-01-2018,21-01-2018,,,,,,
38,,29-12-2017,03-01-2018,09-01-2018,11-01-2018,14-01-2018,,20-01-2018,,25-01-2018,M
39,10-01-2018,29-12-2017,03-01-2018,,,,,,,,
40,,29-12-2017,03-01-2018,08-01-2018,11-01-2018,14-01-2018,,17-01-2018,,22-01-2018,M
41,20-01-2018,29-12-2017,03-01-2018,07-01-2018,11-01-2018,14-01-2018,18-01-2018,,,,
42,08-01-2018,29-12-2017,03-01-2018,07-01-2018,,,,,,,
43,07-03-2018,29-12-2017,03-01-2018,09-01-2018,14-01-2018,21-01-2018,26-01-2018,03-02-2018,01-03-2018,,
44,,29-12-2017,03-01-2018,09-01-2018,11-01-2018,14-01-2018,,17-01-2018,,24-01-2018,F
45,,29-12-2017,03-01-2018,10-01-2018,11-01-2018,14-01-2018,,19-01-2018,,25-01-2018,M
46,,29-12-2017,03-01-2018,09-01-2018,11-01-2018,14-01-2018,,18-01-2018,,24-01-2018,M
47,,29-12-2017,03-01-2018,09-01-2018,13-01-2018,24-01-2018,,,,,
48,,29-12-2017,03-01-2018,09-01-2018,12-01-2018,15-01-2018,,20-01-2018,,25-01-2018,M
49,,29-12-2017,03-01-2018,10-01-2018,07-02-2018,,,,,,
50,,29-12-2017,03-01-2018,09-01-2018,11-01-2018,14-01-2018,,17-01-2018,,24-01-2018,F
51,08-01-2018,29-12-2017,03-01-2018,07-01-2018,,,,,,,
52,07-01-2018,29-12-2017,03-01-2018,,,,,,,,
53,09-01-2018,29-12-2017,03-01-2018,,,,,,,,
54,,29-12-2017,03-01-2018,08-01-2018,10-01-2018,13-01-2018,,17-01-2018,,24-01-2018,F
55,,29-12-2017,03-01-2018,07-01-2018,10-01-2018,13-01-2018,,15-01-2018,,21-01-2018,F
56,,29-12-2017,03-01-2018,07-01-2018,09-01-2018,12-01-2018,,15-01-2018,,21-01-2018,F
57,,29-12-2017,03-01-2018,08-01-2018,11-01-2018,,,15-01-2018,,20-01-2018,M
58,04-01-2018,29-12-2017,03-01-2018,,,,,,,,
59,24-01-2018,29-12-2017,03-01-2018,08-01-2018,,,,,,,
60,,29-12-2017,03-01-2018,09-01-2018,11-01-2018,14-01-2018,,17-01-2018,,22-01-2018,F
61,,29-12-2017,03-01-2018,09-01-2018,11-01-2018,14-01-2018,,17-01-2018,,21-01-2018,M
62,14-01-2018,29-12-2017,03-01-2018,07-01-2018,,,,,,,
63,,29-12-2017,03-01-2018,08-01-2018,10-01-2018,12-01-2018,,15-01-2018,,20-01-2018,M
64,,29-12-2017,03-01-2018,07-01-2018,10-01-2018,12-01-2018,,14-01-2018,,19-01-2018,M
65,,29-12-2017,03-01-2018,08-01-2018,10-01-2018,13-01-2018,,17-01-2018,,24-01-2018,F
66,04-01-2018,29-12-2017,03-01-2018,,,,,,,,
67,,29-12-2017,03-01-2018,09-01-2018,12-01-2018,15-01-2018,,20-01-2018,24-01-2018,28-01-2018,F
68,,29-12-2017,03-01-2018,08-01-2018,11-01-2018,13-01-2018,,20-01-2018,,26-01-2018,F
