Cup #,Dead,Crisper setup,L2,L3,L4,L5,L5.5,L6,L6.5,Pupa,Sex
69,,29-12-2017,03-01-2018,07-01-2018,10-01-2018,13-01-2018,,15-01-2018,,20-01-2018,M
70,30-01-2018,29-12-2017,03-01-2018,10-01-2018,20-01-2018,,,,,,
71,,29-12-2017,03-01-2018,08-01-2018,11-01-2018,17-01-2018,,20-01-2018,,26-01-2018,M
72,04-01-2018,29-12-2017,03-01-2018,,,,,,,,
73,,29-12-2017,03-01-2018,08-01-2018,11-01-2018,14-01-2018,,17-01-2018,,24-01-2018,M
74,,29-12-2017,03-01-2018,09-01-2018,14-01-2018,17-01-2018,,22-01-2018,,30-01-2018,M
75,20-01-2018,29-12-2017,03-01-2018,10-01-2018,19-01-2018,,,,,,
76,,29-12-2017,03-01-2018,07-01-2018,10-01-2018,12-01-2018,,15-01-2018,,20-01-2018,M
77,18-01-2018,29-12-2017,03-01-2018,08-01-2018,10-01-2018,,,,,,
78,,29-12-2017,03-01-2018,07-01-2018,11-01-2018,14-01-2018,,20-01-2018,,25-01-2018,F
79,,29-12-2017,03-01-2018,09-01-2018,,,,,,,
80,,29-12-2017,03-01-2018,09-01-2018,13-01-2018,,,20-01-2018,,28-01-2018,M
81,,29-12-2017,03-01-2018,07-01-2018,10-01-2018,12-01-2018,,14-01-2018,,22-01-2018,F
82,09-01-2018,29-12-2017,03-01-2018,07-01-2018,,,,,,,
83,01-02-2018,29-12-2017,03-01-2018,10-01-2018,,,,,,,
84,04-01-2018,29-12-2017,03-01-2018,,,,,,,,
85,,29-12-2017,03-01-2018,07-01-2018,10-01-2018,13-01-2018,,15-01-2018,,21-01-2018,F
86,08-01-2018,29-12-2017,03-01-2018,07-01-2018,,,,,,,
87,,29-12-2017,03-01-2018,09-01-2018,10-01-2018,14-01-2018,,17-01-2018,,24-01-2018,M
88,,29-12-2017,03-01-2018,07-01-2018,10-01-2018,12-01-2018,,15-01-2018,,21-01-2018,M
89,,29-12-2017,03-01-2018,07-01-2018,11-01-2018,14-01-2018,,17-01-2018,,24-01-2018,M
90,10-01-2018,29-12-2017,03-01-2018,09-01-2018,,,,,,,
91,,29-12-2017,03-01-2018,08-01-2018,10-01-2018,14-01-2018,,17-01-2018,,24-01-2018,M
92,,29-12-2017,03-01-2018,09-01-2018,13-01-2018,15-01-2018,,19-01-2018,,25-01-2018,F
93,,29-12-2017,03-01-2018,07-01-2018,10-01-2018,14-01-2018,,17-01-2018,21-01-2018,26-01-2018,F
94,,29-12-2017,03-01-2018,08-01-2018,10-01-2018,13-01-2018,,19-01-2018,,24-01-2018,M
95,,29-12-2017,03-01-2018,10-01-2018,12-01-2018,17-01-2018,20-01-2018,24-01-2018,,31-01-2018,F
96,,29-12-2017,03-01-2018,07-01-2018,11-01-2018,13-01-2018,,17-01-2018,,22-01-2018,F
97,,29-12-2017,03-01-2018,09-01-2018,19-01-2018,,,,,,
98,,29-12-2017,03-01-2018,09-01-2018,18-01-2018,,,,,,
99,,29-12-2017,03-01-2018,09-01-2018,11-01-2018,17-01-2018,20-01-2018,26-01-2018,31-01-2018,10-02-2018,M
100,,29-12-2017,03-01-2018,10-01-2018,,,,,,,
101,10-01-2018,29-12-2017,03-01-2018,08-01-2018,,,,,,,
102,11-01-2018,29-12-2017,03-01-2018,07-01-2018,10-01-2018,,,,,,
103,,29-12-2017,03-01-2018,07-01-2018,10-01-2018,13-01-2018,,16-01-2018,,20-01-2018,M
104,,29-12-2017,03-01-2018,09-01-2018,14-01-2018,18-01-2018,20-01-2018,23-01-2018,,28-01-2018,M
105,,29-12-2017,03-01-2018,07-01-2018,10-01-2018,13-01-2018,,16-01-2018,,22-01-2018,F
106,06-01-2018,29-12-2017,03-01-2018,,,,,,,,
107,08-01-2018,29-12-2017,03-01-2018,,,,,,,,
108,,29-12-2017,03-01-2018,09-01-2018,12-01-2018,14-01-2018,,17-01-2018,,24-01-2018,M
109,08-01-2018,29-12-2017,03-01-2018,,,,,,,,
110,,29-12-2017,03-01-2018,07-01-2018,09-01-2018,12-01-2018,,15-01-2018,,20-01-2018,M
111,08-01-2018,29-12-2017,03-01-2018,,,,,,,,
112,08-01-2018,29-12-2017,03-01-2018,,,,,,,,
113,06-02-2018,29-12-2017,03-01-2018,09-01-2018,18-01-2018,,,,,,
114,,29-12-2017,03-01-2018,08-01-2018,11-01-2018,13-01-2018,,16-01-2018,,20-01-2018,M
115,08-01-2018,29-12-2017,03-01-2018,07-01-2018,,,,,,,
116,,29-12-2017,03-01-2018,08-01-2018,17-01-2018,18-01-2018,,22-01-2018,,28-01-2018,F
117,,29-12-2017,03-01-2018,07-01-2018,11-01-2018,14-01-2018,,17-01-2018,,21-01-2018,M
118,,29-12-2017,03-01-2018,08-01-2018,12-01-2018,14-01-2018,,17-01-2018,,21-01-2018,M
119,11-01-2018,29-12-2017,03-01-2018,10-01-2018,,,,,,,
120,,29-12-2017,03-01-2018,12-01-2018,,,,,,,
121,12-01-2018,29-12-2017,03-01-2018,09-01-2018,,,,,,,
122,,29-12-2017,03-01-2018,08-01-2018,11-01-2018,14-01-2018,,17-01-2018,,24-01-2018,F
123,,29-12-2017,03-01-2018,07-01-2018,10-01-2018,13-01-2018,,16-01-2018,,22-01-2018,F
124,15-01-2018,29-12-2017,03-01-2018,08-01-2018,11-01-2018,,,,,,
125,,29-12-2017,03-01-2018,08-01-2018,10-01-2018,13-01-2018,,15-01-2018,,20-01-2018,M
126,,29-12-2017,03-01-2018,08-01-2018,10-01-2018,12-01-2018,,15-01-2018,,20-01-2018,M
127,,29-12-2017,03-01-2018,09-01-2018,13-01-2018,19-01-2018,,22-01-2018,,28-01-2018,F
128,,29-12-2017,03-01-2018,07-01-2018,09-01-2018,12-01-2018,,15-01-2018,,19-01-2018,M
129,,29-12-2017,03-01-2018,07-01-2018,10-01-2018,13-01-2018,,17-01-2018,,22-01-2018,F
130,,29-12-2017,03-01-2018,09-01-2018,12-01-2018,,,19-01-2018,,24-01-2018,M
131,09-01-2018,29-12-2017,03-01-2018,,,,,,,,
132,,29-12-2017,03-01-2018,07-01-2018,11-01-2018,14-01-2018,19-01-2018,23-01-2018,,29-01-2018,M
133,,29-12-2017,03-01-2018,07-01-2018,12-01-2018,20-01-2018,23-01-2018,26-01-2018,,30-01-2018,M
134,,29-12-2017,03-01-2018,09-01-2018,11-01-2018,13-01-2018,,20-01-2018,,28-01-2018,M
135,08-01-2018,29-12-2017,03-01-2018,,,,,,,,
136,08-01-2018,29-12-2017,03-01-2018,,,,,,,,
137,08-01-2018,29-12-2017,03-01-2018,,,,,,,,
138,17-01-2018,29-12-2017,03-01-2018,,,,,,,,
139,,29-12-2017,03-01-2018,09-01-2018,11-01-2018,14-01-2018,,17-01-2018,,22-01-2018,M
140,03-02-2018,29-12-2017,03-01-2018,09-01-2018,,,,,,,
141,18-01-2018,29-12-2017,03-01-2018,,,,,,,,
142,24-01-2018,29-12-2017,03-01-2018,07-01-2018,,,,,,,
143,07-01-2018,29-12-2017,03-01-2018,,,,,,,,
144,09-01-2018,29-12-2017,03-01-2018,,,,,,,,
145,,29-12-2017,03-01-2018,08-01-2018,10-01-2018,12-01-2018,,15-01-2018,,20-01-2018,M
146,,29-12-2017,03-01-2018,07-01-2018,10-01-2018,13-01-2018,,17-01-2018,,22-01-2018,F
147,07-01-2018,29-12-2017,03-01-2018,,,,,,,,
148,,29-12-2017,03-01-2018,09-01-2018,12-01-2018,21-01-2018,27-01-2018,01-02-2018,,14-02-2018,M
149,,29-12-2017,03-01-2018,08-01-2018,12-01-2018,19-01-2018,24-01-2018,28-01-2018,,09-02-2018,F
150,07-03-2018,29-12-2017,03-01-2018,07-01-2018,10-01-2018,14-01-2018,28-01-2018,,,,
151,08-01-2018,29-12-2017,03-01-2018,,,,,,,,
152,11-01-2018,29-12-2017,03-01-2018,09-01-2018,,,,,,,
153,,29-12-2017,03-01-2018,07-01-2018,10-01-2018,13-01-2018,,17-01-2018,,24-01-2018,F
154,15-02-2018,29-12-2017,03-01-2018,08-01-2018,10-01-2018,21-01-2018,,29-01-2018,,,
155,,29-12-2017,03-01-2018,08-01-2018,10-01-2018,13-01-2018,,16-01-2018,,21-01-2018,F
156,09-01-2018,29-12-2017,03-01-2018,,,,,,,,
157,,29-12-2017,03-01-2018,07-01-2018,09-01-2018,12-01-2018,,14-01-2018,,20-01-2018,F
158,09-01-2018,29-12-2017,03-01-2018,,,,,,,,
159,,29-12-2017,03-01-2018,07-01-2018,10-01-2018,12-01-2018,,15-01-2018,,20-01-2018,F
160,,29-12-2017,03-01-2018,07-01-2018,11-01-2018,14-01-2018,,17-01-2018,,24-01-2018,F
161,,29-12-2017,03-01-2018,08-01-2018,11-01-2018,14-01-2018,,20-01-2018,,26-01-2018,F
162,08-01-2018,29-12-2017,03-01-2018,,,,,,,,
163,28-01-2018,29-12-2017,03-01-2018,10-01-2018,20-01-2018,,,,,,
164,07-02-2018,29-12-2017,03-01-2018,09-01-2018,24-01-2018,,,,,,
165,10-01-2018,29-12-2017,03-01-2018,07-01-2018,,,,,,,
166,,29-12-2017,03-01-2018,07-01-2018,11-01-2018,14-01-2018,,18-01-2018,,24-01-2018,M
167,08-01-2018,29-12-2017,03-01-2018,,,,,,,,
168,09-02-2018,29-12-2017,03-01-2018,09-01-2018,11-01-2018,14-01-2018,,22-01-2018,,,
169,,29-12-2017,03-01-2018,07-01-2018,10-01-2018,13-01-2018,,16-01-2018,,21-01-2018,F
170,,29-12-2017,03-01-2018,08-01-2018,11-01-2018,14-01-2018,,18-01-2018,,25-01-2018,F
171,23-02-2018,29-12-2017,03-01-2018,07-01-2018,11-01-2018,21-01-2018,25-01-2018,01-02-2018,,,
172,,29-12-2017,03-01-2018,07-01-2018,09-01-2018,12-01-2018,,14-01-2018,,18-01-2018,M
173,,29-12-2017,03-01-2018,09-01-2018,12-01-2018,17-01-2018,19-01-2018,22-01-2018,,27-01-2018,F
174,28-01-2018,29-12-2017,03-01-2018,10-01-2018,20-01-2018,,,,,,
175,,29-12-2017,03-01-2018,07-01-2018,09-01-2018,13-01-2018,,17-01-2018,,22-01-2018,M
176,,29-12-2017,03-01-2018,09-01-2018,11-01-2018,14-01-2018,,16-01-2018,,21-01-2018,M
177,,29-12-2017,03-01-2018,08-01-2018,11-01-2018,19-01-2018,,,,,
178,,29-12-2017,03-01-2018,08-01-2018,18-01-2018,,,,,,
179,10-01-2018,29-12-2017,03-01-2018,,,,,,,,
180,,29-12-2017,03-01-2018,07-01-2018,09-01-2018,12-01-2018,,14-01-2018,,20-01-2018,M
181,,29-12-2017,03-01-2018,07-01-2018,10-01-2018,21-01-2018,,,,,
182,,29-12-2017,03-01-2018,08-01-2018,11-01-2018,15-01-2018,,18-01-2018,,24-01-2018,M
183,,29-12-2017,03-01-2018,07-01-2018,09-01-2018,12-01-2018,,14-01-2018,,20-01-2018,M
184,08-01-2018,29-12-2017,03-01-2018,,,,,,,,
185,,29-12-2017,03-01-2018,07-01-2018,10-01-2018,16-01-2018,,19-01-2018,,24-01-2018,M
186,,29-12-2017,03-01-2018,08-01-2018,10-01-2018,12-01-2018,,14-01-2018,,19-01-2018,M
187,,29-12-2017,03-01-2018,07-01-2018,10-01-2018,13-01-2018,,17-01-2018,,22-01-2018,F
188,05-01-2018,29-12-2017,03-01-2018,,,,,,,,
189,,29-12-2017,03-01-2018,07-01-2018,10-01-2018,13-01-2018,,16-01-2018,,21-01-2018,M
190,,29-12-2017,03-01-2018,07-01-2018,10-01-2018,12-01-2018,,15-01-2018,,20-01-2018,F
191,,29-12-2017,03-01-2018,07-01-2018,10-01-2018,13-01-2018,,16-01-2018,,21-01-2018,M
192,,29-12-2017,03-01-2018,07-01-2018,10-01-2018,13-01-2018,,16-01-2018,,21-01-2018,M
193,,29-12-2017,03-01-2018,07-01-2018,11-01-2018,13-01-2018,,17-01-2018,,21-01-2018,M
194,,29-12-2017,03-01-2018,07-01-2018,10-01-2018,14-01-2018,,18-01-2018,,25-01-2018,F
195,09-01-2018,29-12-2017,03-01-2018,07-01-2018,,,,,,,
196,10-01-2018,29-12-2017,03-01-2018,08-01-2018,,,,,,,
197,,29-12-2017,03-01-2018,09-01-2018,13-01-2018,15-01-2018,,18-01-2018,,26-01-2018,M
198,,29-12-2017,03-01-2018,07-01-2018,10-01-2018,13-01-2018,,17-01-2018,,22-01-2018,F
199,15-01-2018,29-12-2017,03-01-2018,,,,,,,,
200,,29-12-2017,03-01-2018,09-01-2018,11-01-2018,14-01-2018,,20-01-2018,24-01-2018,28-01-2018,F
Extras,,,,,,,,,,,
1,,29-12-2017,04-01-2018,,,,,,,,
2,,29-12-2017,04-01-2018,,,,,,,20-01-2018,M
3,,29-12-2017,04-01-2018,,,,,,,21-01-2018,F
4,,29-12-2017,04-01-2018,,,,,,,22-01-2018,F
5,,29-12-2017,04-01-2018,,,,,,,21-01-2018,F
6,,29-12-2017,04-01-2018,,,,,,,20-01-2018,M
7,,29-12-2017,04-01-2018,,,,,,,24-01-2018,F
8,,29-12-2017,04-01-2018,,,,,,,22-01-2018,F
9,,29-12-2017,04-01-2018,,,,,,,21-01-2018,F
10,,29-12-2017,04-01-2018,,,,,,,27-01-2018,M
11,,29-12-2017,04-01-2018,,,,,,,,
12,,29-12-2017,04-01-2018,,,,,,,20-01-2018,F
13,,29-12-2017,04-01-2018,,,,,,,20-01-2018,M
14,,29-12-2017,04-01-2018,,,,,,,25-01-2018,F
15,,29-12-2017,04-01-2018,,,,,,,24-01-2018,M
16,,29-12-2017,04-01-2018,,,,,,,,
17,,29-12-2017,04-01-2018,,,,,,,22-01-2018,F
18,,29-12-2017,04-01-2018,,,,,,,25-01-2018,F
19,,29-12-2017,04-01-2018,,,,,,,22-01-2018,F
20,,29-12-2017,04-01-2018,,,,,,,24-01-2018,F
21,,29-12-2017,04-01-2018,,,,,,,24-01-2018,F
22,,29-12-2017,04-01-2018,,,,,,,21-01-2018,M
23,,29-12-2017,04-01-2018,,,,,,,,
24,,29-12-2017,04-01-2018,,,,,,,24-01-2018,M
25,,29-12-2017,04-01-2018,,,,,,,,
26,,29-12-2017,04-01-2018,,,,,,,20-01-2018,M
27,,29-12-2017,04-01-2018,,,,,,,04-02-2018,M
28,,29-12-2017,04-01-2018,,,,,,,31-01-2018,F
29,,29-12-2017,04-01-2018,,,,,,,28-01-2018,F
30,,29-12-2017,04-01-2018,,,,,,,22-01-2018,M
31,,29-12-2017,04-01-2018,,,,,,,20-01-2018,M
32,,29-12-2017,04-01-2018,,,,,,,25-01-2018,M
33,,29-12-2017,04-01-2018,,,,,,,24-01-2018,F
34,,29-12-2017,04-01-2018,,,,,,,24-01-2018,F
35,,29-12-2017,04-01-2018,,,,,,,31-01-2018,M
36,,29-12-2017,04-01-2018,,,,,,,,
37,,29-12-2017,04-01-2018,,,,,,,24-01-2018,M
38,,29-12-2017,04-01-2018,,,,,,,25-01-2018,F
39,,29-12-2017,04-01-2018,,,,,,,27-01-2018,F
40,,29-12-2017,04-01-2018,,,,,,,,
41,,29-12-2017,04-01-2018,,,,,,,20-01-2018,M
42,,29-12-2017,04-01-2018,,,,,,,22-01-2018,F
43,,29-12-2017,04-01-2018,,,,,,,,
44,,29-12-2017,04-01-2018,,,,,,,28-01-2018,F
45,,29-12-2017,04-01-2018,,,,,,,,
46,,29-12-2017,04-01-2018,,,,,,,27-01-2018,M
47,,29-12-2017,04-01-2018,,,,,,,,
48,,29-12-2017,04-01-2018,,,,,,,,
49,,29-12-2017,04-01-2018,,,,,,,24-01-2018,F
50,,29-12-2017,04-01-2018,,,,,,,,
