Cup #,Dead,Crisper setup,L2,L3,L4,L5,L5.5,L6,Pupa,Sex
57,09-05-2018,02-05-2018,07-05-2018,,,,,,,
58,,02-05-2018,07-05-2018,23-05-2018,20-06-2018,,,,,
59,31-05-2018,02-05-2018,07-05-2018,18-05-2018,28-05-2018,,,,,
60,25-05-2018,02-05-2018,07-05-2018,,,,,,,
61,,02-05-2018,07-05-2018,24-05-2018,10-06-2018,,,,,
62,,02-05-2018,07-05-2018,20-05-2018,06-06-2018,,,,,
63,,02-05-2018,07-05-2018,19-05-2018,07-06-2018,,,,,
64,,02-05-2018,07-05-2018,25-05-2018,18-06-2018,,,,,
65,19-05-2018,02-05-2018,07-05-2018,,,,,,,
66,,02-05-2018,07-05-2018,24-05-2018,24-06-2018,,,,,
67,,02-05-2018,07-05-2018,24-05-2018,,,,,,
68,,02-05-2018,07-05-2018,18-05-2018,25-05-2018,16-06-2018,,,,
69,,02-05-2018,07-05-2018,24-05-2018,,,,,,
70,18-05-2018,02-05-2018,07-05-2018,,,,,,,
71,13-06-2018,02-05-2018,07-05-2018,23-05-2018,30-05-2018,11-06-2018,,,,
72,23-06-2018,02-05-2018,07-05-2018,20-05-2018,31-05-2018,,,,,
73,,02-05-2018,07-05-2018,19-05-2018,09-06-2018,,,,,
74,,02-05-2018,07-05-2018,27-05-2018,,,,,,
75,,02-05-2018,07-05-2018,23-05-2018,05-06-2018,03-07-2018,,,,
76,27-06-2018,02-05-2018,07-05-2018,16-05-2018,05-06-2018,,,,,
77,12-06-2018,02-05-2018,07-05-2018,25-05-2018,30-05-2018,,,,,
78,,02-05-2018,07-05-2018,19-05-2018,27-05-2018,,,,,
79,26-05-2018,02-05-2018,07-05-2018,,,,,,,
80,,02-05-2018,07-05-2018,20-05-2018,29-05-2018,07-06-2018,,15-06-2018,28-06-2018,M
81,06-06-2018,02-05-2018,07-05-2018,17-05-2018,,,,,,
82,,02-05-2018,07-05-2018,21-05-2018,09-06-2018,,,,,
83,,02-05-2018,07-05-2018,20-05-2018,28-05-2018,04-06-2018,,11-06-2018,24-06-2018,M
84,,02-05-2018,07-05-2018,18-05-2018,23-06-2018,,,,,
85,15-06-2018,02-05-2018,07-05-2018,23-05-2018,,,,,,
86,23-06-2018,02-05-2018,07-05-2018,24-05-2018,22-06-2018,,,,,
87,,02-05-2018,07-05-2018,17-05-2018,09-06-2018,,,,,
88,,02-05-2018,07-05-2018,18-05-2018,25-05-2018,01-06-2018,07-06-2018,18-06-2018,28-06-2018,F
89,13-05-2018,02-05-2018,07-05-2018,,,,,,,
90,15-05-2018,02-05-2018,07-05-2018,,,,,,,
91,,02-05-2018,07-05-2018,28-05-2018,,,,,,
92,14-05-2018,02-05-2018,07-05-2018,,,,,,,
93,,02-05-2018,07-05-2018,21-05-2018,09-06-2018,,,,,
94,,02-05-2018,07-05-2018,24-05-2018,17-06-2018,,,,,
95,,02-05-2018,07-05-2018,18-05-2018,,,,,,
96,12-06-2018,02-05-2018,07-05-2018,23-05-2018,,,,,,
97,,02-05-2018,07-05-2018,24-05-2018,10-06-2018,,,,,
98,04-07-2018,02-05-2018,07-05-2018,24-05-2018,,,,,,
99,11-05-2018,02-05-2018,07-05-2018,,,,,,,
100,24-05-2018,02-05-2018,07-05-2018,19-05-2018,,,,,,
101,,02-05-2018,07-05-2018,24-05-2018,10-06-2018,,,,,
102,07-06-2018,02-05-2018,07-05-2018,21-05-2018,,,,,,
103,19-05-2018,02-05-2018,07-05-2018,,,,,,,
104,23-05-2018,02-05-2018,07-05-2018,,,,,,,
105,,02-05-2018,07-05-2018,18-05-2018,02-06-2018,18-06-2018,,,,
106,26-06-2018,02-05-2018,07-05-2018,18-05-2018,05-06-2018,,,,,
107,09-05-2018,02-05-2018,07-05-2018,,,,,,,
108,,02-05-2018,07-05-2018,17-05-2018,24-05-2018,01-06-2018,,09-06-2018,21-06-2018,M
109,17-05-2018,02-05-2018,07-05-2018,,,,,,,
110,27-06-2018,02-05-2018,07-05-2018,26-05-2018,,,,,,
111,11-05-2018,02-05-2018,07-05-2018,,,,,,,
112,17-05-2018,02-05-2018,07-05-2018,,,,,,,
113,,02-05-2018,07-05-2018,19-05-2018,26-05-2018,01-06-2018,,09-06-2018,25-06-2018,F
114,24-05-2018,02-05-2018,07-05-2018,22-05-2018,,,,,,
115,,02-05-2018,07-05-2018,18-05-2018,07-06-2018,,,,,
116,09-05-2018,02-05-2018,07-05-2018,,,,,,,
117,09-06-2018,02-05-2018,07-05-2018,23-05-2018,,,,,,
118,,02-05-2018,07-05-2018,17-05-2018,24-05-2018,31-05-2018,,07-06-2018,19-06-2018,M
119,,02-05-2018,07-05-2018,23-05-2018,11-06-2018,,,,,
120,18-05-2018,02-05-2018,07-05-2018,,,,,,,
121,,02-05-2018,07-05-2018,19-05-2018,26-05-2018,03-06-2018,,11-06-2018,25-06-2018,F
122,,02-05-2018,07-05-2018,26-05-2018,,,,,,
123,23-05-2018,02-05-2018,07-05-2018,19-05-2018,,,,,,
124,,02-05-2018,07-05-2018,17-05-2018,04-06-2018,,,,,
125,,02-05-2018,07-05-2018,18-05-2018,26-05-2018,02-06-2018,,09-06-2018,21-06-2018,M
126,19-05-2018,02-05-2018,07-05-2018,,,,,,,
127,,02-05-2018,07-05-2018,15-05-2018,23-05-2018,28-05-2018,18-06-2018,,,
128,,02-05-2018,07-05-2018,18-05-2018,16-06-2018,,,,,
129,,02-05-2018,07-05-2018,20-05-2018,31-05-2018,07-06-2018,,14-06-2018,25-06-2018,M
130,,02-05-2018,07-05-2018,19-05-2018,09-06-2018,,,,,
131,,02-05-2018,07-05-2018,20-05-2018,09-06-2018,,,,,
132,,02-05-2018,07-05-2018,23-05-2018,13-06-2018,,,,,
133,,02-05-2018,07-05-2018,16-05-2018,24-05-2018,31-05-2018,,09-06-2018,25-06-2018,F
134,,02-05-2018,07-05-2018,16-05-2018,24-05-2018,18-06-2018,,,,
135,18-05-2018,02-05-2018,07-05-2018,,,,,,,
136,21-05-2018,02-05-2018,07-05-2018,,,,,,,
137,,02-05-2018,07-05-2018,20-05-2018,28-05-2018,14-06-2018,,,,
138,30-05-2018,02-05-2018,07-05-2018,21-05-2018,,,,,,
139,,02-05-2018,07-05-2018,25-05-2018,17-06-2018,,,,,
140,,02-05-2018,07-05-2018,06-06-2018,26-06-2018,,,,,
141,14-05-2018,02-05-2018,07-05-2018,,,,,,,
142,,02-05-2018,07-05-2018,19-05-2018,28-05-2018,04-06-2018,10-06-2018,18-06-2018,29-06-2018,F
143,23-06-2018,02-05-2018,07-05-2018,26-05-2018,20-06-2018,,,,,
144,28-05-2018,02-05-2018,07-05-2018,27-05-2018,,,,,,
145,24-05-2018,02-05-2018,07-05-2018,20-05-2018,,,,,,
146,16-06-2018,02-05-2018,07-05-2018,25-05-2018,,,,,,
147,,02-05-2018,07-05-2018,22-05-2018,09-06-2018,,,,,
148,,02-05-2018,07-05-2018,18-05-2018,24-05-2018,31-05-2018,06-06-2018,13-06-2018,25-06-2018,F
149,,02-05-2018,07-05-2018,23-05-2018,07-06-2018,,,,,
150,09-05-2018,02-05-2018,07-05-2018,,,,,,,
151,23-05-2018,02-05-2018,07-05-2018,,,,,,,
152,03-07-2018,02-05-2018,07-05-2018,29-05-2018,,,,,,
153,11-05-2018,02-05-2018,07-05-2018,,,,,,,
154,,02-05-2018,07-05-2018,19-05-2018,04-06-2018,,,,,
155,,02-05-2018,07-05-2018,16-05-2018,25-05-2018,19-06-2018,,,,
156,19-05-2018,02-05-2018,07-05-2018,,,,,,,
157,,02-05-2018,07-05-2018,20-05-2018,09-06-2018,,,,,
158,19-06-2018,02-05-2018,07-05-2018,20-05-2018,09-06-2018,,,,,
159,16-06-2018,02-05-2018,07-05-2018,24-05-2018,,,,,,
160,,02-05-2018,07-05-2018,17-05-2018,25-05-2018,02-06-2018,,10-06-2018,23-06-2018,M
161,07-06-2018,02-05-2018,07-05-2018,23-05-2018,,,,,,
162,27-06-2018,02-05-2018,07-05-2018,24-05-2018,,,,,,
163,,02-05-2018,07-05-2018,20-05-2018,30-05-2018,06-06-2018,13-06-2018,21-06-2018,05-07-2018,F
164,16-05-2018,02-05-2018,07-05-2018,,,,,,,
165,22-07-2018,02-05-2018,07-05-2018,19-05-2018,09-06-2018,,,,,
166,24-06-2018,02-05-2018,07-05-2018,23-05-2018,,,,,,
167,,02-05-2018,07-05-2018,28-05-2018,,,,,,
168,,02-05-2018,07-05-2018,17-05-2018,13-06-2018,,,,,
169,14-05-2018,02-05-2018,07-05-2018,,,,,,,
170,16-05-2018,02-05-2018,07-05-2018,,,,,,,
171,,02-05-2018,07-05-2018,19-05-2018,27-05-2018,03-06-2018,,12-06-2018,26-06-2018,F
172,07-06-2018,02-05-2018,07-05-2018,20-05-2018,30-05-2018,05-06-2018,,,,
173,17-05-2018,02-05-2018,07-05-2018,,,,,,,
174,29-05-2018,02-05-2018,07-05-2018,,,,,,,
175,11-06-2018,02-05-2018,07-05-2018,21-05-2018,10-06-2018,,,,,
176,17-05-2018,02-05-2018,07-05-2018,,,,,,,
177,11-05-2018,02-05-2018,07-05-2018,,,,,,,
178,28-05-2018,02-05-2018,07-05-2018,19-05-2018,,,,,,
179,09-05-2018,02-05-2018,07-05-2018,,,,,,,
180,,02-05-2018,07-05-2018,22-05-2018,24-06-2018,,,,,
181,,02-05-2018,07-05-2018,20-05-2018,27-05-2018,04-06-2018,,11-06-2018,23-06-2018,F
182,05-06-2018,02-05-2018,07-05-2018,19-05-2018,,,,,,
183,,02-05-2018,07-05-2018,30-05-2018,,,,,,
184,28-06-2018,02-05-2018,07-05-2018,24-05-2018,,,,,,
185,,02-05-2018,07-05-2018,19-05-2018,28-05-2018,04-06-2018,10-06-2018,19-06-2018,01-07-2018,F
186,22-07-2018,02-05-2018,07-05-2018,20-05-2018,,,,,,
187,24-05-2018,02-05-2018,07-05-2018,,,,,,,
188,25-05-2018,02-05-2018,07-05-2018,,,,,,,
189,,02-05-2018,07-05-2018,21-05-2018,07-06-2018,,,,,
190,27-06-2018,02-05-2018,07-05-2018,27-05-2018,26-06-2018,,,,,
191,,02-05-2018,07-05-2018,18-05-2018,11-06-2018,,,,,
192,22-07-2018,02-05-2018,07-05-2018,27-05-2018,,,,,,
193,27-05-2018,02-05-2018,07-05-2018,23-05-2018,,,,,,
194,,02-05-2018,07-05-2018,01-06-2018,,,,,,
195,,02-05-2018,07-05-2018,19-05-2018,09-06-2018,,,,,
196,22-05-2018,02-05-2018,07-05-2018,19-05-2018,,,,,,
197,16-05-2018,02-05-2018,07-05-2018,,,,,,,
198,,02-05-2018,07-05-2018,21-05-2018,09-06-2018,,,,,
199,,02-05-2018,07-05-2018,30-05-2018,,,,,,
200,28-05-2018,02-05-2018,07-05-2018,,,,,,,
Extras,,,,,,,,,,
1,,02-05-2018,07-05-2018,,,,,,,
2,,02-05-2018,07-05-2018,,,,,,,
3,,02-05-2018,07-05-2018,,,,,,,
4,,02-05-2018,07-05-2018,,,,,,,
5,,02-05-2018,07-05-2018,,,,,,,
6,,02-05-2018,07-05-2018,,,,,,,
7,,02-05-2018,07-05-2018,,,,,,,
8,,02-05-2018,07-05-2018,,,,,,,
9,,02-05-2018,07-05-2018,,,,,,,
10,,02-05-2018,07-05-2018,,,,,,,
11,,02-05-2018,07-05-2018,,,,,,,
12,,02-05-2018,07-05-2018,,,,,,,
13,,02-05-2018,07-05-2018,,,,,,,
14,,02-05-2018,07-05-2018,,,,,,,
15,,02-05-2018,07-05-2018,,,,,,,
16,,02-05-2018,07-05-2018,,,,,,,
17,,02-05-2018,07-05-2018,,,,,,17-06-2018,M
18,,02-05-2018,07-05-2018,,,,,,,
19,,02-05-2018,07-05-2018,,,,,,,
20,,02-05-2018,07-05-2018,,,,,,,
21,,02-05-2018,07-05-2018,,,,,,30-06-2018,F
22,,02-05-2018,07-05-2018,,,,,,,
23,,02-05-2018,07-05-2018,,,,,,,
24,,02-05-2018,07-05-2018,,,,,,,
25,,02-05-2018,07-05-2018,,,,,,27-07-2018,F
26,,02-05-2018,07-05-2018,,,,,,,
27,,02-05-2018,07-05-2018,,,,,,29-06-2018,M
28,,02-05-2018,07-05-2018,,,,,,,
29,,02-05-2018,07-05-2018,,,,,,25-06-2018,F
30,,02-05-2018,07-05-2018,,,,,,,
31,,02-05-2018,07-05-2018,,,,,,,
32,,02-05-2018,07-05-2018,,,,,,,
33,,02-05-2018,07-05-2018,,,,,,,
34,,02-05-2018,07-05-2018,,,,,,24-06-2018,M
35,,02-05-2018,07-05-2018,,,,,,21-06-2018,M
36,,02-05-2018,07-05-2018,,,,,,,
37,,02-05-2018,07-05-2018,,,,,,17-06-2018,M
38,,02-05-2018,07-05-2018,,,,,,,
39,,02-05-2018,07-05-2018,,,,,,27-06-2018,M
40,,02-05-2018,07-05-2018,,,,,,,
41,,02-05-2018,07-05-2018,,,,,,,
42,,02-05-2018,07-05-2018,,,,,,,
43,,02-05-2018,07-05-2018,,,,,,,
44,,02-05-2018,07-05-2018,,,,,,,
45,,02-05-2018,07-05-2018,,,,,,,
46,,02-05-2018,07-05-2018,,,,,,,
47,,02-05-2018,07-05-2018,,,,,,,
48,,02-05-2018,07-05-2018,,,,,,,
49,,02-05-2018,07-05-2018,,,,,,,
50,,02-05-2018,07-05-2018,,,,,,,
