Cup #,Dead,Crisper setup,L2,L3,L4,L5,L5.5,L6,Pupa,Sex
1,,02-05-2018,07-05-2018,20-05-2018,21-05-2018,29-06-2018,,,,
2,22-05-2018,02-05-2018,07-05-2018,19-05-2018,,,,,,
3,24-06-2018,02-05-2018,07-05-2018,03-06-2018,,,,,,
4,27-05-2018,02-05-2018,07-05-2018,24-05-2018,,,,,,
5,11-06-2018,02-05-2018,07-05-2018,21-05-2018,30-05-2018,,,,,
6,17-05-2018,02-05-2018,07-05-2018,,,,,,,
7,,02-05-2018,07-05-2018,27-05-2018,,,,,,
8,22-06-2018,02-05-2018,07-05-2018,20-05-2018,15-06-2018,,,,,
9,11-06-2018,02-05-2018,07-05-2018,25-05-2018,30-05-2018,,,,,
10,,02-05-2018,07-05-2018,19-05-2018,27-05-2018,01-06-2018,,07-06-2018,20-06-2018,M
11,,02-05-2018,07-05-2018,20-05-2018,30-05-2018,10-06-2018,,18-06-2018,02-07-2018,M
12,14-05-2018,02-05-2018,07-05-2018,,,,,,,
13,15-05-2018,02-05-2018,07-05-2018,,,,,,,
14,18-05-2018,02-05-2018,07-05-2018,,,,,,,
15,29-05-2018,02-05-2018,07-05-2018,,,,,,,
16,22-07-2018,02-05-2018,07-05-2018,24-05-2018,,,,,,
17,29-06-2018,02-05-2018,07-05-2018,20-05-2018,22-05-2018,07-06-2018,,,,
18,27-06-2018,02-05-2018,07-05-2018,16-05-2018,,,,,,
19,27-05-2018,02-05-2018,07-05-2018,,,,,,,
20,,02-05-2018,07-05-2018,16-05-2018,24-05-2018,29-05-2018,,05-06-2018,17-06-2018,M
21,,02-05-2018,07-05-2018,24-05-2018,11-06-2018,,,,,
22,19-06-2018,02-05-2018,07-05-2018,24-05-2018,,,,,,
23,13-05-2018,02-05-2018,07-05-2018,,,,,,,
24,,02-05-2018,07-05-2018,22-05-2018,29-05-2018,06-06-2018,,15-06-2018,02-07-2018,F
25,17-05-2018,02-05-2018,07-05-2018,,,,,,,
26,,02-05-2018,07-05-2018,19-05-2018,26-05-2018,02-06-2018,,09-06-2018,22-06-2018,M
27,,02-05-2018,07-05-2018,19-05-2018,07-06-2018,,,,,
28,,02-05-2018,07-05-2018,18-05-2018,26-05-2018,02-06-2018,,11-06-2018,27-06-2018,F
29,20-06-2018,02-05-2018,07-05-2018,23-05-2018,,,,,,
30,,02-05-2018,07-05-2018,18-05-2018,21-05-2018,11-06-2018,,,,
31,27-06-2018,02-05-2018,07-05-2018,29-05-2018,,,,,,
32,,02-05-2018,07-05-2018,18-05-2018,25-05-2018,01-06-2018,,09-06-2018,20-06-2018,M
33,22-05-2018,02-05-2018,07-05-2018,,,,,,,
34,,02-05-2018,07-05-2018,18-05-2018,25-05-2018,02-06-2018,,04-06-2018,21-06-2018,M
35,,02-05-2018,07-05-2018,17-05-2018,01-06-2018,,,,,
36,18-05-2018,02-05-2018,07-05-2018,,,,,,,
37,,02-05-2018,07-05-2018,19-05-2018,28-05-2018,06-06-2018,,16-06-2018,29-06-2018,M
38,26-06-2018,02-05-2018,07-05-2018,22-05-2018,22-06-2018,,,,,
39,,02-05-2018,07-05-2018,11-05-2018,30-05-2018,17-06-2018,,,,
40,,02-05-2018,07-05-2018,22-05-2018,09-06-2018,,,,,
41,30-05-2018,02-05-2018,07-05-2018,,,,,,,
42,,02-05-2018,07-05-2018,18-05-2018,27-05-2018,03-06-2018,,11-06-2018,23-06-2018,M
43,,02-05-2018,07-05-2018,19-05-2018,07-06-2018,,,,,
44,,02-05-2018,07-05-2018,29-05-2018,30-05-2018,22-06-2018,,,,
45,23-05-2018,02-05-2018,07-05-2018,19-05-2018,,,,,,
46,,02-05-2018,07-05-2018,22-05-2018,,,,,,
47,,02-05-2018,07-05-2018,19-05-2018,01-06-2018,05-06-2018,,,,
48,27-06-2018,02-05-2018,07-05-2018,23-05-2018,13-06-2018,,,,,
49,,02-05-2018,07-05-2018,22-05-2018,09-06-2018,,,,,
50,31-05-2018,02-05-2018,07-05-2018,25-05-2018,,,,,,
51,17-05-2018,02-05-2018,07-05-2018,,,,,,,
52,24-05-2018,02-05-2018,07-05-2018,,,,,,,
53,20-05-2018,02-05-2018,07-05-2018,,,,,,,
54,,02-05-2018,07-05-2018,29-05-2018,26-06-2018,,,,,
55,27-05-2018,02-05-2018,07-05-2018,19-05-2018,,,,,,
56,01-06-2018,02-05-2018,07-05-2018,18-05-2018,,,,,,
