Cup,Dead,L2,Time_in_treatment_L2,Days_1_L2,Time_to_20deg_L2,DAYS_TIL_MOULT_L2,L3,Time_in_treatment_L3,Days_1_L3,Time_to_20deg_L3,DAYS_TIL_MOULT_L3,L4,Time_in_treatment_L4,Days_1_L4,Time_to_20deg_L4,DAYS_TIL_MOULT_L4,skippers_L4,L5,Time_in_treatment_L5,Days_2_L5,Time_to_20deg_L5,DAYS_TIL_MOULT_L5,L6,Time_in_treatment_L6,Days_3_L6,Time_to_20deg_L6,DAYS_TIL_MOULT_L6,skippers_L6,Pupa,Sex,total_days,Extra
16,,2015-01-17,16:15,2016-01-17,15:49,6,2021-01-17,09:30,2022-01-17,09:30,3,2024-01-17,11:10,2025-01-17,10:45,2,,2026-01-17,10:50,2028-01-17,09:50,2,2028-01-17,09:50,1931-01-17,09:23,7,,2004-02-17,M,20,0
17,,2015-01-17,16:15,2016-01-17,15:49,4,2019-01-17,10:15,2020-01-17,10:10,3,2022-01-17,11:05,2023-01-17,10:35,3,,2025-01-17,10:45,2027-01-17,10:00,3,2028-01-17,09:50,1931-01-17,09:23,6,,2003-02-17,F,19,0
18,2021-01-17,2015-01-17,16:15,2016-01-17,15:49,4,2019-01-17,10:15,2020-01-17,10:10,,,,,,,,,,,,,,,,,,,,,,0
19,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,2,2022-01-17,11:05,2023-01-17,10:35,2,,2024-01-17,09:50,2026-01-17,10:50,3,2027-01-17,11:40,1930-01-17,09:29,7,,2003-02-17,F,19,0
20,,2015-01-17,16:15,2016-01-17,15:49,6,2021-01-17,09:30,2022-01-17,09:30,4,2025-01-17,10:45,2026-01-17,10:50,,4,,,,,,2029-01-17,10:00,2001-02-17,10:00,,6,2004-02-17,M,20,0
21,,2015-01-17,16:15,2016-01-17,15:49,6,2021-01-17,09:30,2022-01-17,09:30,2,2023-01-17,12:19,2024-01-17,10:00,3,,2026-01-17,10:50,2028-01-17,09:50,2,2028-01-17,09:50,1931-01-17,09:23,8,,2005-02-17,F,21,0
22,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,3,2023-01-17,12:19,2024-01-17,10:00,2,,2025-01-17,10:45,2027-01-17,10:00,2,2027-01-17,11:40,1930-01-17,09:29,8,,2004-02-17,M,20,0
23,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,2,2022-01-17,11:05,2023-01-17,10:35,2,,2024-01-17,09:50,2026-01-17,10:50,7,1931-01-17,09:47,2002-02-17,09:50,5,,2005-02-17,M,21,0
24,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,2,2022-01-17,11:05,2023-01-17,10:35,3,,2025-01-17,10:45,2027-01-17,10:00,3,2028-01-17,09:50,1931-01-17,09:23,7,,2004-02-17,F,20,0
25,2025-01-17,2015-01-17,16:15,2016-01-17,15:49,4,2019-01-17,10:15,2020-01-17,10:10,4,2023-01-17,12:19,2024-01-17,10:00,,,,,,,,,,,,,,,,,0
26,1930-01-17,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,2,2022-01-17,11:05,2023-01-17,10:35,3,,2025-01-17,10:45,2027-01-17,10:00,2,2027-01-17,11:40,1930-01-17,09:29,,,,,,0
27,,2015-01-17,16:15,2016-01-17,15:49,8,2023-01-17,09:20,2024-01-17,09:22,3,2026-01-17,10:50,2027-01-17,10:00,3,,2029-01-17,10:00,1931-01-17,09:23,2,1931-01-17,09:47,2003-02-17,09:50,9,,2009-02-17,F,25,0
28,,2015-01-17,16:15,2016-01-17,15:49,4,2019-01-17,10:15,2020-01-17,10:10,3,2022-01-17,11:05,2023-01-17,10:35,,5,,,,,,2027-01-17,11:40,1930-01-17,09:29,,7,2003-02-17,M,19,0
29,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,2,2022-01-17,11:05,2023-01-17,10:35,4,,2026-01-17,10:50,2028-01-17,09:50,2,2028-01-17,09:50,1931-01-17,09:23,8,,2005-02-17,F,21,0
30,1930-01-17,2015-01-17,16:15,2016-01-17,15:49,6,2021-01-17,09:30,2022-01-17,09:30,3,2024-01-17,11:10,2025-01-17,10:45,4,,2028-01-17,09:50,1930-01-17,09:29,,,,,,,,,,,0
31,,2015-01-17,16:15,2016-01-17,15:49,8,2023-01-17,09:20,2024-01-17,09:22,4,2027-01-17,10:00,2028-01-17,10:50,2,,2029-01-17,10:00,2001-02-17,10:00,2,1931-01-17,09:47,2003-02-17,09:50,5,,2005-02-17,M,21,0
32,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,3,2023-01-17,12:19,2024-01-17,10:00,3,,2026-01-17,10:50,2028-01-17,09:50,2,2028-01-17,09:50,1931-01-17,09:23,8,,2005-02-17,F,21,0
33,,2015-01-17,16:15,2016-01-17,15:49,4,2019-01-17,10:15,2020-01-17,10:10,3,2022-01-17,11:05,2023-01-17,10:35,4,,2026-01-17,10:50,2028-01-17,09:50,2,2028-01-17,09:50,1931-01-17,09:23,6,,2003-02-17,F,19,0
34,2017-01-17,2015-01-17,16:15,2016-01-17,15:49,,,,,,,,,,,,,,,,,,,,,,,,,,,0
35,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,3,2023-01-17,12:19,2024-01-17,10:00,4,,2027-01-17,10:00,2029-01-17,10:00,4,1931-01-17,09:47,2003-02-17,09:50,7,,2007-02-17,F,23,0
36,2016-01-17,2015-01-17,16:15,2016-01-17,15:49,,,,,,,,,,,,,,,,,,,,,,,,,,,0
37,,2015-01-17,16:15,2016-01-17,15:49,6,2021-01-17,09:30,2022-01-17,09:30,2,2023-01-17,12:19,2024-01-17,10:00,4,,2027-01-17,10:00,2029-01-17,10:00,3,1930-01-17,09:43,2002-02-17,09:50,10,,2009-02-17,F,25,0
38,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,5,2025-01-17,10:45,2026-01-17,10:50,,,,,,,,2028-01-17,09:50,1931-01-17,09:23,,6,2003-02-17,M,19,0
39,,2015-01-17,16:15,2016-01-17,15:49,6,2021-01-17,09:30,2022-01-17,09:30,3,2024-01-17,11:10,2025-01-17,10:45,2,,2026-01-17,10:50,2028-01-17,09:50,2,2028-01-17,09:50,1931-01-17,09:23,6,,2003-02-17,M,19,0
40,,2015-01-17,16:15,2016-01-17,15:49,6,2021-01-17,09:30,2022-01-17,09:30,3,2024-01-17,11:10,2025-01-17,10:45,3,,2027-01-17,10:00,2029-01-17,10:00,3,1930-01-17,09:43,2002-02-17,09:50,8,,2007-02-17,F,23,0
41,2022-02-17,2015-01-17,16:15,2016-01-17,15:49,7,2022-01-17,09:30,2023-01-17,10:40,5,2027-01-17,10:00,2028-01-17,10:50,21,,2017-02-17,09:30,2019-02-17,,,,,,,,,,,,0
42,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,2,2022-01-17,11:05,2023-01-17,10:35,4,,2026-01-17,10:50,2028-01-17,09:50,2,2028-01-17,09:50,1931-01-17,09:23,9,,2006-02-17,F,22,0
43,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,2,2022-01-17,11:05,2023-01-17,10:35,2,,2024-01-17,09:50,2026-01-17,10:50,2,2026-01-17,10:50,2029-01-17,10:00,8,,2003-02-17,F,19,0
44,2017-01-17,2015-01-17,16:15,2016-01-17,15:49,,,,,,,,,,,,,,,,,,,,,,,,,,,0
45,,2015-01-17,16:15,2016-01-17,15:49,6,2021-01-17,09:30,2022-01-17,09:30,2,2023-01-17,12:19,2024-01-17,10:00,3,,2026-01-17,10:50,2028-01-17,09:50,2,2028-01-17,09:50,1931-01-17,09:23,8,,2005-02-17,F,21,0
46,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,4,2024-01-17,11:10,2025-01-17,10:45,,4,,,,,,2028-01-17,09:50,1931-01-17,09:23,,5,2002-02-17,M,18,0
47,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,2,2022-01-17,11:05,2023-01-17,10:35,2,,2024-01-17,09:50,2026-01-17,10:50,3,2027-01-17,11:40,1930-01-17,09:29,9,,2005-02-17,F,21,0
48,2022-02-17,2015-01-17,16:15,2016-01-17,15:49,7,2022-01-17,09:30,2023-01-17,10:40,2,2024-01-17,11:10,2025-01-17,10:45,4,,2028-01-17,09:50,1930-01-17,09:29,2,1930-01-17,09:43,2002-02-17,09:50,,,,,,0
49,1931-01-17,2015-01-17,16:15,2016-01-17,15:49,4,2019-01-17,10:15,2020-01-17,10:10,3,2022-01-17,11:05,2023-01-17,10:35,,,2024-01-17,09:50,2026-01-17,10:50,2,2026-01-17,10:50,2029-01-17,10:00,,,,,,0
50,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,3,2023-01-17,12:19,2024-01-17,10:00,,6,,,,,,2029-01-17,10:00,2001-02-17,10:00,,7,2005-02-17,M,21,0
51,2024-01-17,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,3,2023-01-17,12:19,2024-01-17,12:19,,,,,,,,,,,,,,,,,0
52,2022-02-17,2015-01-17,16:15,2016-01-17,15:49,4,2019-01-17,10:15,2020-01-17,10:10,3,2022-01-17,11:05,2023-01-17,10:35,3,,2025-01-17,10:45,2027-01-17,10:00,4,2029-01-17,10:00,2001-02-17,10:00,,,,,,0
53,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,2,2022-01-17,11:05,2023-01-17,10:35,3,,2025-01-17,10:45,2027-01-17,10:00,2,2027-01-17,11:40,1930-01-17,09:29,7,,2003-02-17,F,19,0
54,2001-02-17,2015-01-17,16:15,2016-01-17,15:49,10,2025-01-17,10:45,2026-01-17,10:50,,,,,,,,,,,,,,,,,,,,,,0
55,2001-02-17,2015-01-17,16:15,2016-01-17,15:49,4,2019-01-17,10:15,2020-01-17,10:10,3,2022-01-17,11:05,2023-01-17,10:35,,,,,,,,2025-01-17,10:45,2028-01-17,09:50,,,,,,0
56,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,3,2023-01-17,12:19,2024-01-17,10:00,3,,2026-01-17,10:50,2028-01-17,09:50,2,2028-01-17,09:50,1931-01-17,09:23,7,,2004-02-17,M,20,0
57,2026-01-17,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,2,2022-01-17,11:05,2023-01-17,10:35,,,2024-01-17,09:50,2026-01-17,10:50,,,,,,,,,,,0
58,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,3,2023-01-17,12:19,2024-01-17,10:00,,3,,,,,,2026-01-17,10:50,2029-01-17,10:00,,9,2004-02-17,M,20,0
59,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,3,2023-01-17,12:19,2024-01-17,10:00,3,,2026-01-17,10:50,2028-01-17,09:50,2,2028-01-17,09:50,1931-01-17,09:23,7,,2004-02-17,F,20,0
60,2022-02-17,2015-01-17,16:15,2016-01-17,15:49,8,2023-01-17,09:20,2024-01-17,09:22,11,2003-02-17,09:50,2004-02-17,09:30,13,,2016-02-17,09:30,2018-02-17,,,,,,,,,,,,0
61,2023-01-17,2015-01-17,16:15,2016-01-17,15:49,,,,,,,,,,,,,,,,,,,,,,,,,,,0
62,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,3,2023-01-17,12:19,2024-01-17,10:00,3,,2026-01-17,10:50,2028-01-17,09:50,2,2028-01-17,09:50,1931-01-17,09:23,10,,2007-02-17,F,23,0
63,,2015-01-17,16:15,2016-01-17,15:49,7,2022-01-17,09:30,2023-01-17,10:40,3,2025-01-17,10:45,2026-01-17,10:50,5,,1930-01-17,09:43,2001-02-17,10:00,2,2001-02-17,10:00,2004-02-17,09:20,6,,2007-02-17,F,23,0
64,2001-02-17,2015-01-17,16:15,2016-01-17,15:49,8,2023-01-17,09:20,2024-01-17,09:22,,,,,,,,,,,,,,,,,,,,,,0
65,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,3,2023-01-17,12:19,2024-01-17,10:00,2,,2025-01-17,10:45,2027-01-17,10:00,2,2027-01-17,11:40,1930-01-17,09:29,7,,2003-02-17,F,19,0
66,,2015-01-17,16:15,2016-01-17,15:49,6,2021-01-17,09:30,2022-01-17,09:30,3,2024-01-17,11:10,2025-01-17,10:45,2,,2026-01-17,10:50,2028-01-17,09:50,2,2028-01-17,09:50,1931-01-17,09:23,6,,2003-02-17,M,19,0
67,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,2,2022-01-17,11:05,2023-01-17,10:35,3,,2025-01-17,10:45,2027-01-17,10:00,2,2027-01-17,11:40,1930-01-17,09:29,8,,2004-02-17,M,20,0
68,,2015-01-17,16:15,2016-01-17,15:49,4,2019-01-17,10:15,2020-01-17,10:10,3,2022-01-17,11:05,2023-01-17,10:35,3,,2025-01-17,10:45,2027-01-17,10:00,2,2027-01-17,11:40,1930-01-17,09:29,7,,2003-02-17,F,19,0
69,2009-02-17,2015-01-17,16:15,2016-01-17,15:49,7,2022-01-17,09:30,2023-01-17,10:40,4,2026-01-17,10:50,2027-01-17,10:00,2,,2028-01-17,09:50,1930-01-17,09:29,2,1930-01-17,09:43,2002-02-17,09:50,,,,,,0
70,1931-01-17,2015-01-17,16:15,2016-01-17,15:49,4,2019-01-17,10:15,2020-01-17,10:10,3,2022-01-17,11:05,2023-01-17,10:35,,,,,,,,2026-01-17,10:50,2029-01-17,10:00,,,,,,0
71,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,2,2022-01-17,11:05,2023-01-17,10:35,3,,2025-01-17,10:45,2027-01-17,10:00,2,2027-01-17,11:40,1930-01-17,09:29,6,,2002-02-17,M,18,0
72,,2015-01-17,16:15,2016-01-17,15:49,4,2019-01-17,10:15,2020-01-17,10:10,3,2022-01-17,11:05,2023-01-17,10:35,4,,2026-01-17,10:50,2028-01-17,09:50,2,2028-01-17,09:50,1931-01-17,09:23,6,,2003-02-17,M,19,0
73,,2015-01-17,16:15,2016-01-17,15:49,4,2019-01-17,10:15,2020-01-17,10:10,3,2022-01-17,11:05,2023-01-17,10:35,3,,2025-01-17,10:45,2027-01-17,10:00,2,2027-01-17,11:40,1930-01-17,09:29,7,,2003-02-17,F,19,0
74,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,3,2023-01-17,12:19,2024-01-17,10:00,,5,,,,,,2028-01-17,09:50,1931-01-17,09:23,,6,2003-02-17,M,19,0
75,2026-01-17,2015-01-17,16:15,2016-01-17,15:49,9,2024-01-17,11:20,2025-01-17,10:45,,,,,,,,,,,,,,,,,,,,,,0
76,1930-01-17,2015-01-17,16:15,2016-01-17,15:49,,,,,,,,,,,,,,,,,,,,,,,,,,,0
77,2020-01-17,2015-01-17,16:15,2016-01-17,15:49,,,,,,,,,,,,,,,,,,,,,,,,,,,0
78,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,3,2023-01-17,12:19,2024-01-17,10:00,2,,2025-01-17,10:45,2027-01-17,10:00,2,2027-01-17,11:40,1930-01-17,09:29,7,,2003-02-17,M,19,0
79,,2015-01-17,16:15,2016-01-17,15:49,4,2019-01-17,10:15,2020-01-17,10:10,3,2022-01-17,11:05,2023-01-17,10:35,3,,2025-01-17,10:45,2027-01-17,10:00,2,2027-01-17,11:40,1930-01-17,09:29,5,,2001-02-17,M,17,0
80,2026-01-17,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,2,2022-01-17,11:05,2023-01-17,10:35,,,,,,,,,,,,,,,,,0
81,,2015-01-17,16:15,2016-01-17,15:49,6,2021-01-17,09:30,2022-01-17,09:30,2,2023-01-17,12:19,2024-01-17,10:00,2,,2025-01-17,10:45,2027-01-17,10:00,3,2028-01-17,09:50,1931-01-17,09:23,7,,2004-02-17,M,20,0
82,,2015-01-17,16:15,2016-01-17,15:49,7,2022-01-17,09:30,2023-01-17,10:40,2,2024-01-17,11:10,2025-01-17,10:45,4,,2028-01-17,09:50,1930-01-17,09:29,2,1930-01-17,09:43,2002-02-17,09:50,11,,2010-02-17,F,26,0
83,2019-01-17,2015-01-17,16:15,2016-01-17,15:49,,,,,,,,,,,,,,,,,,,,,,,,,,,0
84,,2015-01-17,16:15,2016-01-17,15:49,4,2019-01-17,10:15,2020-01-17,10:10,2,2021-01-17,11:40,2022-01-17,12:10,3,,2024-01-17,09:50,2026-01-17,10:50,2,2026-01-17,10:50,2029-01-17,10:00,7,,2002-02-17,F,18,0
85,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,2,2022-01-17,11:05,2023-01-17,10:35,3,,2025-01-17,10:45,2027-01-17,10:00,2,2027-01-17,11:40,1930-01-17,09:29,6,,2002-02-17,F,18,0
86,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,3,2023-01-17,12:19,2024-01-17,10:00,3,,2026-01-17,10:50,2028-01-17,09:50,3,2029-01-17,10:00,2001-02-17,10:00,7,,2005-02-17,F,21,0
87,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,4,2024-01-17,11:10,2025-01-17,10:45,,5,,,,,,2029-01-17,10:00,2001-02-17,10:00,,6,2004-02-17,M,20,0
88,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,2,2022-01-17,11:05,2023-01-17,10:35,2,,2024-01-17,09:50,2026-01-17,10:50,3,2027-01-17,11:40,1930-01-17,09:29,8,,2004-02-17,F,20,0
89,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,3,2023-01-17,12:19,2024-01-17,10:00,2,,2025-01-17,10:45,2027-01-17,10:00,2,2027-01-17,11:40,1930-01-17,09:29,6,,2002-02-17,M,18,0
90,,2015-01-17,16:15,2016-01-17,15:49,6,2021-01-17,09:30,2022-01-17,09:30,3,2024-01-17,11:10,2025-01-17,10:45,2,,2026-01-17,10:50,2028-01-17,09:50,2,2028-01-17,09:50,1931-01-17,09:23,6,,2003-02-17,M,19,0
91,,2015-01-17,16:15,2016-01-17,15:49,4,2019-01-17,10:15,2020-01-17,10:10,2,2021-01-17,11:40,2022-01-17,12:10,3,,2024-01-17,09:50,2026-01-17,10:50,3,2027-01-17,11:40,1930-01-17,09:29,6,,2002-02-17,F,18,0
92,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,3,2023-01-17,12:19,2024-01-17,10:00,2,,2025-01-17,10:45,2027-01-17,10:00,2,2027-01-17,11:40,1930-01-17,09:29,3,,1930-01-17,M,15,0
93,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,4,2024-01-17,11:10,2025-01-17,10:45,4,,2028-01-17,09:50,1930-01-17,09:29,3,1931-01-17,09:47,2003-02-17,09:50,7,,2007-02-17,M,23,0
94,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,4,2024-01-17,11:10,2025-01-17,10:45,,4,,,,,,2028-01-17,09:50,1931-01-17,09:23,,5,2002-02-17,M,18,0
95,,2015-01-17,16:15,2016-01-17,15:49,4,2019-01-17,10:15,2020-01-17,10:10,3,2022-01-17,11:05,2023-01-17,10:35,2,,2024-01-17,09:50,2026-01-17,10:50,2,2026-01-17,10:50,2029-01-17,10:00,6,,2001-02-17,M,17,0
96,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,2,2022-01-17,11:05,2023-01-17,10:35,3,,2025-01-17,10:45,2027-01-17,10:00,3,2028-01-17,09:50,1931-01-17,09:23,7,,2004-02-17,M,20,0
97,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,3,2023-01-17,12:19,2024-01-17,10:00,3,,2026-01-17,10:50,2028-01-17,09:50,2,2028-01-17,09:50,1931-01-17,09:23,6,,2003-02-17,F,19,0
98,,2015-01-17,16:15,2016-01-17,15:49,6,2021-01-17,09:30,2022-01-17,09:30,2,2023-01-17,12:19,2024-01-17,10:00,4,,2027-01-17,10:00,2029-01-17,10:00,3,1930-01-17,09:43,2002-02-17,09:50,6,,2005-02-17,F,21,0
99,1930-01-17,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,3,2023-01-17,12:19,2024-01-17,10:00,,5,,,,,,2028-01-17,09:50,1931-01-17,09:23,,,,,,0
100,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,3,2023-01-17,12:19,2024-01-17,10:00,,4,,,,,,2027-01-17,11:40,1930-01-17,09:29,,8,2004-02-17,M,20,0
101,,2015-01-17,16:15,2016-01-17,15:49,6,2021-01-17,09:30,2022-01-17,09:30,4,2025-01-17,10:45,2026-01-17,10:50,4,,2029-01-17,10:00,1931-01-17,09:23,2,1931-01-17,09:47,2003-02-17,09:50,9,,2009-02-17,F,25,0
102,2016-01-17,2015-01-17,16:15,2016-01-17,15:49,,,,,,,,,,,,,,,,,,,,,,,,,,,0
103,,2015-01-17,16:15,2016-01-17,15:49,8,2023-01-17,09:20,2024-01-17,09:22,2,2025-01-17,10:45,2026-01-17,10:50,4,,2029-01-17,10:00,1931-01-17,09:23,2,1931-01-17,09:47,2003-02-17,09:50,7,,2007-02-17,F,23,0
104,2017-01-17,2015-01-17,16:15,2016-01-17,15:49,,,,,,,,,,,,,,,,,,,,,,,,,,,0
105,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,3,2023-01-17,12:19,2024-01-17,10:00,,5,,,,,,2028-01-17,09:50,1931-01-17,09:23,,7,2004-02-17,M,20,0
106,,2015-01-17,16:15,2016-01-17,15:49,7,2022-01-17,09:30,2023-01-17,10:40,4,2026-01-17,10:50,2027-01-17,10:00,2,,2028-01-17,09:50,1930-01-17,09:29,2,1930-01-17,09:43,2002-02-17,09:50,8,,2007-02-17,M,23,0
107,2029-01-17,2015-01-17,16:15,2016-01-17,15:49,4,2019-01-17,10:15,2020-01-17,10:10,2,2021-01-17,11:40,2022-01-17,12:10,3,,2024-01-17,09:50,2026-01-17,10:50,2,2026-01-17,10:50,2029-01-17,10:00,,,,,,0
108,2018-01-17,2015-01-17,16:15,2016-01-17,15:49,,,,,,,,,,,,,,,,,,,,,,,,,,,0
109,,2015-01-17,16:15,2016-01-17,15:49,6,2021-01-17,09:30,2022-01-17,09:30,2,2023-01-17,12:19,2024-01-17,10:00,3,,2026-01-17,10:50,2028-01-17,09:50,2,2028-01-17,09:50,1931-01-17,09:23,6,,2003-02-17,F,19,0
110,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,3,2023-01-17,12:19,2024-01-17,10:00,4,,2027-01-17,10:00,2029-01-17,10:00,2,2029-01-17,10:00,2001-02-17,10:00,7,,2005-02-17,F,21,0
