Cup,Dead,L2,Time_in_treatment_L2,Days_1_L2,Time_to_20deg_L2,DAYS_TIL_MOULT_L2,L3,Time_in_treatment_L3,Days_1_L3,Time_to_20deg_L3,DAYS_TIL_MOULT_L3,L4,Time_in_treatment_L4,Days_1_L4,Time_to_20deg_L4,DAYS_TIL_MOULT_L4,skippers_L4,L5,Time_in_treatment_L5,Days_2_L5,Time_to_20deg_L5,DAYS_TIL_MOULT_L5,L6,Time_in_treatment_L6,Days_3_L6,Time_to_20deg_L6,DAYS_TIL_MOULT_L6,skippers_L6,Pupa,Sex,total_days,Extra
1,2016-01-17,2015-01-17,16:15,2016-01-17,15:49,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,,2015-01-17,16:15,2016-01-17,15:49,8,2023-01-17,09:20,2024-01-17,09:22,4,2027-01-17,10:00,2028-01-17,10:50,3,,1930-01-17,09:43,2001-02-17,10:00,3,2002-02-17,09:50,2005-02-17,09:00,7,,2009-02-17,M,25,0
3,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,2,2022-01-17,11:05,2023-01-17,10:35,2,,2024-01-17,09:50,2026-01-17,10:50,2,2026-01-17,10:50,2029-01-17,10:00,23,,2018-02-17,M,34,0
4,,2015-01-17,16:15,2016-01-17,15:49,7,2022-01-17,09:30,2023-01-17,10:40,5,2027-01-17,10:00,2028-01-17,10:50,3,,1930-01-17,09:43,2001-02-17,10:00,3,2002-02-17,09:50,2005-02-17,09:00,8,,2010-02-17,F,26,0
5,2028-01-17,2015-01-17,16:15,2016-01-17,15:49,6,2021-01-17,09:30,2022-01-17,09:30,2,2023-01-17,12:19,2024-01-17,10:00,3,,2026-01-17,10:50,2028-01-17,09:50,,,,,,,,,,,0
6,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,3,2023-01-17,12:19,2024-01-17,10:00,,3,,,,,,2026-01-17,10:50,2029-01-17,10:00,,7,2002-02-17,M,18,0
7,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,3,2022-01-17,12:19,2023-01-17,10:35,3,,2025-01-17,10:45,2027-01-17,10:00,2,2027-01-17,11:40,1930-01-17,09:29,5,,2001-02-17,F,17,0
8,2024-01-17,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,3,2023-01-17,12:19,,,,,,,,,,,,,,,,,,,0
9,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,2,2022-01-17,11:05,2023-01-17,10:35,3,,2025-01-17,10:45,2027-01-17,10:00,3,2028-01-17,09:50,1931-01-17,09:23,7,,2004-02-17,F,20,0
10,2016-01-17,2015-01-17,16:15,2016-01-17,15:49,,,,,,,,,,,,,,,,,,,,,,,,,,,0
11,,2015-01-17,16:15,2016-01-17,15:49,6,2021-01-17,09:30,2022-01-17,09:30,3,2024-01-17,11:10,2025-01-17,10:45,2,,2026-01-17,10:50,2028-01-17,09:50,2,2028-01-17,09:50,1931-01-17,09:23,8,,2005-02-17,M,21,0
12,,2015-01-17,16:15,2016-01-17,15:49,4,2019-01-17,10:15,2020-01-17,10:10,2,2021-01-17,11:40,2022-01-17,12:10,3,,2024-01-17,09:50,2026-01-17,10:50,2,2026-01-17,10:50,2029-01-17,10:00,8,,2003-02-17,F,19,0
13,,2015-01-17,16:15,2016-01-17,15:49,7,2022-01-17,09:30,2023-01-17,10:40,2,2024-01-17,11:10,2025-01-17,10:45,3,,2027-01-17,10:00,2029-01-17,10:00,2,2029-01-17,10:00,2001-02-17,10:00,8,,2006-02-17,F,22,0
14,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,3,2023-01-17,12:19,2024-01-17,10:00,3,,2026-01-17,10:50,2028-01-17,09:50,2,2028-01-17,09:50,1931-01-17,09:23,7,,2004-02-17,F,20,0
15,,2015-01-17,16:15,2016-01-17,15:49,4,2019-01-17,10:15,2020-01-17,10:10,4,2023-01-17,12:19,2024-01-17,10:00,,,,,,,,2027-01-17,11:40,1930-01-17,09:29,,6,2002-02-17,M,18,0
