Cup #,Dead,Crisper setup,L2,L3,L4,L5,L5.5,L6,L6.5,Pupa,Sex
1,22-03-2018,17-02-2018,22-02-2018,06-03-2018,,,,,,,
2,,17-02-2018,22-02-2018,06-03-2018,28-03-2018,,,,,,
3,,17-02-2018,22-02-2018,03-03-2018,,,,,,,
4,,17-02-2018,22-02-2018,05-03-2018,13-03-2018,22-03-2018,28-03-2018,08-04-2018,,21-04-2018,M
5,,17-02-2018,22-02-2018,04-03-2018,11-03-2018,19-03-2018,,27-03-2018,,09-04-2018,M
6,11-04-2018,17-02-2018,22-02-2018,07-03-2018,,,,,,,
7,08-03-2018,17-02-2018,22-02-2018,04-03-2018,,,,,,,
8,06-04-2018,17-02-2018,22-02-2018,08-03-2018,01-04-2018,,,,,,
9,25-03-2018,17-02-2018,22-02-2018,07-03-2018,,,,,,,
10,27-03-2018,17-02-2018,22-02-2018,07-03-2018,,,,,,,
11,21-03-2018,17-02-2018,22-02-2018,04-03-2018,,,,,,,
12,,17-02-2018,22-02-2018,03-03-2018,11-03-2018,,,,,,
13,17-04-2018,17-02-2018,22-02-2018,03-03-2018,11-03-2018,,,,,,
14,,17-02-2018,22-02-2018,05-03-2018,29-03-2018,,,,,,
15,09-03-2018,17-02-2018,22-02-2018,,,,,,,,
16,09-03-2018,17-02-2018,22-02-2018,08-03-2018,,,,,,,
17,06-03-2018,17-02-2018,22-02-2018,,,,,,,,
18,26-03-2018,17-02-2018,22-02-2018,11-03-2018,,,,,,,
19,,17-02-2018,22-02-2018,09-03-2018,,,,,,,
20,04-03-2018,17-02-2018,22-02-2018,,,,,,,,
21,14-03-2018,17-02-2018,22-02-2018,,,,,,,,
22,,17-02-2018,22-02-2018,04-03-2018,14-03-2018,30-03-2018,,,,,
23,01-05-2018,17-02-2018,22-02-2018,06-03-2018,11-04-2018,,,,,,
24,,17-02-2018,22-02-2018,06-03-2018,24-03-2018,,,,,,
25,,17-02-2018,22-02-2018,07-03-2018,16-03-2018,22-03-2018,,30-03-2018,,13-04-2018,M
26,,17-02-2018,22-02-2018,03-03-2018,21-03-2018,,,,,,
27,08-03-2018,17-02-2018,22-02-2018,,,,,,,,
28,,,,,,,,,,,
29,,17-02-2018,22-02-2018,04-03-2018,12-03-2018,03-04-2018,,,,,
30,,,,,,,,,,,
31,23-02-2018,17-02-2018,22-02-2018,,,,,,,,
32,,,,,,,,,,,
33,,,,,,,,,,,
34,24-04-2018,17-02-2018,22-02-2018,18-03-2018,,,,,,,
35,11-04-2018,17-02-2018,22-02-2018,07-03-2018,,,,,,,
36,26-03-2018,17-02-2018,22-02-2018,14-03-2018,,,,,,,
37,18-03-2018,17-02-2018,22-02-2018,05-03-2018,,,,,,,
38,24-03-2018,17-02-2018,22-02-2018,05-03-2018,,,,,,,
39,24-03-2018,17-02-2018,22-02-2018,03-03-2018,,,,,,,
40,07-03-2018,17-02-2018,22-02-2018,05-03-2018,,,,,,,
41,31-03-2018,17-02-2018,22-02-2018,13-03-2018,,,,,,,
42,,,,,,,,,,,
43,,17-02-2018,22-02-2018,10-03-2018,29-03-2018,30-04-2018,,,,,
44,26-03-2018,17-02-2018,22-02-2018,06-03-2018,,,,,,,
45,,17-02-2018,22-02-2018,03-03-2018,11-03-2018,17-03-2018,,24-03-2018,,09-04-2018,F
46,,17-02-2018,22-02-2018,05-03-2018,21-03-2018,03-04-2018,,,,,
47,22-03-2018,17-02-2018,22-02-2018,09-03-2018,,,,,,,
48,,17-02-2018,22-02-2018,05-03-2018,14-03-2018,11-04-2018,,,,,
49,,,,,,,,,,,
50,23-02-2018,17-02-2018,22-02-2018,,,,,,,,
51,28-03-2018,17-02-2018,22-02-2018,07-03-2018,,,,,,,
52,25-03-2018,17-02-2018,22-02-2018,06-03-2018,24-03-2018,,,,,,
53,,,,,,,,,,,
54,,,,,,,,,,,
55,,17-02-2018,22-02-2018,08-03-2018,30-03-2018,,,,,,
56,,,,,,,,,,,
57,03-03-2018,17-02-2018,22-02-2018,,,,,,,,
58,08-04-2018,17-02-2018,22-02-2018,03-03-2018,,,,,,,
59,30-04-2018,17-02-2018,22-02-2018,06-03-2018,16-03-2018,,,,,,
60,27-03-2018,17-02-2018,22-02-2018,05-03-2018,25-03-2018,,,,,,
61,23-03-2018,17-02-2018,22-02-2018,05-03-2018,,,,,,,
62,27-03-2018,17-02-2018,22-02-2018,13-03-2018,,,,,,,
63,,,,,,,,,,,
64,,17-02-2018,22-02-2018,05-03-2018,14-03-2018,20-03-2018,,28-03-2018,,11-04-2018,M
65,07-05-2018,17-02-2018,22-02-2018,07-03-2018,20-03-2018,,,,,,
66,,,,,,,,,,,
67,27-03-2018,17-02-2018,22-02-2018,07-03-2018,,,,,,,
68,,,,,,,,,,,
69,,,,,,,,,,,
70,,17-02-2018,22-02-2018,13-03-2018,,,,,,,
71,30-04-2018,17-02-2018,22-02-2018,06-03-2018,23-03-2018,,,,,,
72,,,,,,,,,,,
73,,17-02-2018,22-02-2018,10-03-2018,01-04-2018,,,,,,
74,26-03-2018,17-02-2018,22-02-2018,11-03-2018,,,,,,,
75,03-04-2018,17-02-2018,22-02-2018,14-03-2018,,,,,,,
76,,,,,,,,,,,
77,04-03-2018,17-02-2018,22-02-2018,,,,,,,,
78,,17-02-2018,22-02-2018,04-03-2018,13-03-2018,22-03-2018,,02-04-2018,,15-04-2018,M
79,,,,,,,,,,,
80,11-03-2018,17-02-2018,22-02-2018,10-03-2018,,,,,,,
81,25-03-2018,17-02-2018,22-02-2018,05-03-2018,,,,,,,
82,26-02-2018,17-02-2018,22-02-2018,,,,,,,,
83,,17-02-2018,22-02-2018,13-03-2018,17-04-2018,,,,,,
84,,,,,,,,,,,
85,,,,,,,,,,,
86,24-03-2018,17-02-2018,22-02-2018,,,,,,,,
87,,17-02-2018,22-02-2018,05-03-2018,21-03-2018,,,,,,
88,,,,,,,,,,,
89,27-03-2018,17-02-2018,22-02-2018,14-03-2018,,,,,,,
90,26-03-2018,17-02-2018,22-02-2018,13-03-2018,,,,,,,
91,30-04-2018,17-02-2018,22-02-2018,08-03-2018,23-03-2018,,,,,,
92,27-03-2018,17-02-2018,22-02-2018,07-03-2018,,,,,,,
93,,17-02-2018,22-02-2018,04-03-2018,12-03-2018,19-03-2018,,28-03-2018,,09-04-2018,M
94,,,,,,,,,,,
95,26-03-2018,17-02-2018,22-02-2018,08-03-2018,,,,,,,
96,,,,,,,,,,,
97,,17-02-2018,22-02-2018,04-03-2018,13-03-2018,,,,,,
98,,17-02-2018,22-02-2018,08-03-2018,,,,,,,
99,26-03-2018,17-02-2018,22-02-2018,06-03-2018,,,,,,,
100,26-03-2018,17-02-2018,22-02-2018,13-03-2018,,,,,,,
101,,17-02-2018,22-02-2018,04-03-2018,13-03-2018,19-03-2018,,27-03-2018,,11-04-2018,F
102,,17-02-2018,22-02-2018,08-03-2018,07-04-2018,,,,,,
103,30-03-2018,17-02-2018,22-02-2018,05-03-2018,,,,,,,
104,,17-02-2018,22-02-2018,05-03-2018,15-03-2018,25-03-2018,04-04-2018,12-04-2018,,27-04-2018,F
105,08-04-2018,17-02-2018,22-02-2018,15-03-2018,,,,,,,
106,28-03-2018,17-02-2018,22-02-2018,07-03-2018,,,,,,,
107,30-04-2018,17-02-2018,22-02-2018,08-03-2018,31-03-2018,,,,,,
108,25-03-2018,17-02-2018,22-02-2018,,,,,,,,
109,12-04-2018,17-02-2018,22-02-2018,10-03-2018,,,,,,,
110,,,,,,,,,,,
111,,17-02-2018,22-02-2018,06-03-2018,25-03-2018,24-04-2018,,,,,
112,26-03-2018,17-02-2018,22-02-2018,06-03-2018,,,,,,,
113,,17-02-2018,22-02-2018,03-03-2018,20-03-2018,,,,,,
114,,17-02-2018,22-02-2018,05-03-2018,24-03-2018,,,,,,
115,01-05-2018,17-02-2018,22-02-2018,11-03-2018,,,,,,,
116,26-03-2018,17-02-2018,22-02-2018,13-03-2018,,,,,,,
117,,17-02-2018,22-02-2018,13-03-2018,,,,,,,
118,06-03-2018,17-02-2018,22-02-2018,,,,,,,,
119,26-03-2018,17-02-2018,22-02-2018,07-03-2018,,,,,,,
120,27-03-2018,17-02-2018,22-02-2018,09-03-2018,,,,,,,
121,04-04-2018,17-02-2018,22-02-2018,08-03-2018,,,,,,,
122,08-04-2018,17-02-2018,22-02-2018,07-03-2018,,,,,,,
123,04-04-2018,17-02-2018,22-02-2018,15-03-2018,,,,,,,
124,,17-02-2018,22-02-2018,10-03-2018,07-04-2018,,,,,,
125,21-03-2018,17-02-2018,22-02-2018,07-03-2018,,,,,,,
126,,17-02-2018,22-02-2018,03-03-2018,16-03-2018,,,,,,
127,,17-02-2018,22-02-2018,06-03-2018,14-03-2018,22-03-2018,,30-03-2018,,14-04-2018,F
128,01-05-2018,17-02-2018,22-02-2018,14-03-2018,,,,,,,
