Cup #,Dead,Crisper setup,L2,L3,L4,L5,L5.5,L6,L6.5,Pupa,Sex
129,23-04-2018,17-02-2018,22-02-2018,04-03-2018,12-03-2018,19-03-2018,28-03-2018,05-04-2018,,,
130,04-04-2018,17-02-2018,22-02-2018,13-03-2018,,,,,,,
131,,,,,,,,,,,
132,,,,,,,,,,,
133,,17-02-2018,22-02-2018,13-03-2018,,,,,,,
134,,17-02-2018,22-02-2018,06-03-2018,25-03-2018,,,,,,
135,,,,,,,,,,,
136,24-04-2018,17-02-2018,22-02-2018,06-03-2018,25-03-2018,,,,,,
137,,17-02-2018,22-02-2018,04-03-2018,12-03-2018,20-03-2018,,28-03-2018,,15-04-2018,F
138,,17-02-2018,22-02-2018,04-03-2018,22-03-2018,,,,,,
139,,17-02-2018,22-02-2018,04-03-2018,13-03-2018,19-03-2018,,26-03-2018,,09-04-2018,M
140,,17-02-2018,22-02-2018,07-03-2018,25-03-2018,,,,,,
141,16-03-2018,17-02-2018,22-02-2018,05-03-2018,,,,,,,
142,05-03-2018,17-02-2018,22-02-2018,,,,,,,,
143,07-05-2018,17-02-2018,22-02-2018,03-03-2018,18-03-2018,,,,,,
144,04-03-2018,17-02-2018,22-02-2018,,,,,,,,
145,08-04-2018,17-02-2018,22-02-2018,07-03-2018,29-03-2018,04-04-2018,,,,,
146,12-04-2018,17-02-2018,22-02-2018,06-03-2018,,,,,,,
147,,17-02-2018,22-02-2018,05-03-2018,21-03-2018,,,,,,
148,,,,,,,,,,,
149,,17-02-2018,22-02-2018,05-03-2018,22-03-2018,,,,,,
150,27-03-2018,17-02-2018,22-02-2018,07-03-2018,26-03-2018,,,,,,
151,03-04-2018,17-02-2018,22-02-2018,06-03-2018,,,,,,,
152,,17-02-2018,22-02-2018,05-03-2018,23-03-2018,,,,,,
153,,,,,,,,,,,
154,,,,,,,,,,,
155,,17-02-2018,22-02-2018,07-03-2018,25-03-2018,,,,,,
156,05-03-2018,17-02-2018,22-02-2018,,,,,,,,
157,25-03-2018,17-02-2018,22-02-2018,08-03-2018,,,,,,,
158,24-04-2018,17-02-2018,22-02-2018,05-03-2018,21-03-2018,,,,,,
159,23-03-2018,17-02-2018,22-02-2018,09-03-2018,,,,,,,
160,,17-02-2018,22-02-2018,05-03-2018,13-03-2018,19-03-2018,,29-03-2018,,13-04-2018,F
161,,17-02-2018,22-02-2018,13-03-2018,,,,,,,
162,,17-02-2018,22-02-2018,05-03-2018,15-03-2018,06-04-2018,,,,,
163,,17-02-2018,22-02-2018,04-03-2018,11-03-2018,20-03-2018,31-03-2018,11-04-2018,,26-04-2018,F
164,27-03-2018,17-02-2018,22-02-2018,03-03-2018,,,,,,,
165,26-03-2018,17-02-2018,22-02-2018,15-03-2018,,,,,,,
166,,17-02-2018,22-02-2018,07-03-2018,16-03-2018,24-03-2018,01-04-2018,09-04-2018,,23-04-2018,F
167,,17-02-2018,22-02-2018,04-03-2018,30-04-2018,,,,,,
168,16-03-2018,17-02-2018,22-02-2018,,,,,,,,
169,,17-02-2018,22-02-2018,05-03-2018,20-03-2018,,,,,,
170,,17-02-2018,22-02-2018,05-03-2018,23-03-2018,,,,,,
171,,17-02-2018,22-02-2018,03-03-2018,09-03-2018,16-03-2018,,24-03-2018,,11-04-2018,F
172,11-04-2018,17-02-2018,22-02-2018,13-03-2018,,,,,,,
173,,17-02-2018,22-02-2018,05-03-2018,24-03-2018,11-04-2018,,,,,
174,03-03-2018,17-02-2018,22-02-2018,,,,,,,,
175,04-03-2018,17-02-2018,22-02-2018,,,,,,,,
176,27-03-2018,17-02-2018,22-02-2018,14-03-2018,,,,,,,
177,06-04-2018,17-02-2018,22-02-2018,06-03-2018,23-03-2018,,,,,,
178,07-05-2018,17-02-2018,22-02-2018,09-03-2018,,,,,,,
179,,17-02-2018,22-02-2018,06-03-2018,26-03-2018,28-03-2018,,,,,
180,,17-02-2018,22-02-2018,07-03-2018,26-03-2018,04-04-2018,,,,,
181,24-02-2018,17-02-2018,22-02-2018,,,,,,,,
182,,17-02-2018,22-02-2018,04-03-2018,11-03-2018,17-03-2018,,25-03-2018,,09-04-2018,F
183,,17-02-2018,22-02-2018,04-03-2018,11-03-2018,19-03-2018,,28-03-2018,,12-04-2018,F
184,,17-02-2018,22-02-2018,05-03-2018,12-03-2018,19-03-2018,,28-03-2018,,14-04-2018,F
185,07-05-2018,17-02-2018,22-02-2018,09-03-2018,,,,,,,
186,11-03-2018,17-02-2018,22-02-2018,,,,,,,,
187,07-03-2018,17-02-2018,22-02-2018,,,,,,,,
188,,17-02-2018,22-02-2018,12-03-2018,21-03-2018,29-03-2018,,09-04-2018,,24-04-2018,F
189,,17-02-2018,22-02-2018,06-03-2018,14-03-2018,21-03-2018,,30-03-2018,,15-04-2018,F
190,26-03-2018,17-02-2018,22-02-2018,07-03-2018,,,,,,,
191,,17-02-2018,22-02-2018,05-03-2018,21-03-2018,,,,,,
192,04-03-2018,17-02-2018,22-02-2018,,,,,,,,
193,08-03-2018,17-02-2018,22-02-2018,07-03-2018,,,,,,,
194,23-02-2018,17-02-2018,22-02-2018,,,,,,,,
195,,17-02-2018,22-02-2018,07-03-2018,30-03-2018,04-04-2018,,,,,
196,,,,,,,,,,,
197,30-04-2018,17-02-2018,22-02-2018,03-03-2018,21-03-2018,,,,,,
198,,17-02-2018,22-02-2018,08-03-2018,16-03-2018,24-03-2018,,02-04-2018,,18-04-2018,F
199,,17-02-2018,22-02-2018,09-03-2018,15-03-2018,04-04-2018,,,,,
200,31-03-2018,17-02-2018,22-02-2018,08-02-2018,,,,,,,
Extras,,,,,,,,,,,
1,,,,,,,,,,,
2,,,,,,,,,,,
3,,,,,,,,,,,
4,,,,,,,,,,,
5,,,,,,,,,,,
6,,,,,,,,,,,
7,,,,,,,,,,,
8,,,,,,,,,,,
9,,,,,,,,,,,
10,,,,,,,,,,,
11,,,,,,,,,,,
12,,,,,,,,,,,
13,,,,,,,,,,,
14,,,,,,,,,,,
15,,,,,,,,,,,
16,,,,,,,,,,,
17,,,,,,,,,,,
18,,,,,,,,,,,
19,,,,,,,,,,,
20,,,,,,,,,,,
21,,,,,,,,,,,
22,,,,,,,,,,,
23,,,,,,,,,,,
24,,,,,,,,,,,
25,,,,,,,,,,,
26,,,,,,,,,,,
27,,,,,,,,,,,
28,,,,,,,,,,,
29,,,,,,,,,,,
30,,,,,,,,,,,
31,,,,,,,,,,,
32,,,,,,,,,,,
33,,,,,,,,,,,
34,,,,,,,,,,,
35,,,,,,,,,,,
36,,,,,,,,,,,
37,,,,,,,,,,,
38,,,,,,,,,,,
39,,,,,,,,,,,
40,,,,,,,,,,,
41,,,,,,,,,,,
42,,,,,,,,,,,
43,,,,,,,,,,,
44,,,,,,,,,,,
45,,,,,,,,,,,
46,,,,,,,,,,,
47,,,,,,,,,,,
48,,,,,,,,,,,
49,,,,,,,,,,,
50,,,,,,,,,,,
