Cup #,Dead,Crisper setup,L2,L3,L4,L5,L5.5,L6,L6.5,Pupa,Sex
92,26-03-2018,09-03-2018,14-03-2018,,,,,,,,
93,,09-03-2018,14-03-2018,21-03-2018,26-03-2018,01-04-2018,,06-04-2018,,15-04-2018,M
94,,09-03-2018,14-03-2018,21-03-2018,26-03-2018,31-03-2018,,05-04-2018,,15-04-2018,F
95,27-03-2018,09-03-2018,14-03-2018,21-03-2018,,,,,,,
96,,09-03-2018,14-03-2018,21-03-2018,27-03-2018,31-03-2018,,05-04-2018,,16-04-2018,F
97,,09-03-2018,14-03-2018,23-03-2018,30-03-2018,03-04-2018,,09-04-2018,,20-04-2018,F
98,22-03-2018,09-03-2018,14-03-2018,21-03-2018,,,,,,,
99,,09-03-2018,14-03-2018,22-03-2018,27-03-2018,31-03-2018,,06-04-2018,,14-04-2018,M
100,28-03-2018,09-03-2018,14-03-2018,21-03-2018,27-03-2018,,,,,,
101,,09-03-2018,14-03-2018,24-03-2018,03-04-2018,07-04-2018,,16-04-2018,,27-04-2018,F
102,,09-03-2018,14-03-2018,23-03-2018,29-03-2018,02-04-2018,,07-04-2018,,16-04-2018,M
103,,09-03-2018,14-03-2018,22-03-2018,27-03-2018,01-04-2018,,06-04-2018,,16-04-2018,F
104,,09-03-2018,14-03-2018,23-03-2018,28-03-2018,02-04-2018,,08-04-2018,,18-04-2018,F
105,,09-03-2018,14-03-2018,22-03-2018,27-03-2018,01-04-2018,,05-04-2018,,14-04-2018,M
106,,09-03-2018,14-03-2018,23-03-2018,27-03-2018,01-04-2018,,05-04-2018,,14-04-2018,M
107,,09-03-2018,14-03-2018,21-03-2018,25-03-2018,30-03-2018,,04-04-2018,,14-04-2018,F
108,22-03-2018,09-03-2018,14-03-2018,,,,,,,,
109,,09-03-2018,14-03-2018,21-03-2018,26-03-2018,01-04-2018,,06-04-2018,,14-04-2018,M
110,,09-03-2018,14-03-2018,21-03-2018,26-03-2018,31-03-2018,,04-04-2018,,13-04-2018,M
111,,09-03-2018,14-03-2018,21-03-2018,27-03-2018,01-04-2018,04-04-2018,08-04-2018,,18-04-2018,F
112,,09-03-2018,14-03-2018,21-03-2018,27-03-2018,31-03-2018,,05-04-2018,,13-04-2018,M
113,,09-03-2018,14-03-2018,21-03-2018,26-03-2018,30-03-2018,,04-04-2018,,13-04-2018,M
114,,09-03-2018,14-03-2018,22-03-2018,01-04-2018,06-04-2018,09-04-2018,14-04-2018,,24-04-2018,F
115,,09-03-2018,14-03-2018,23-03-2018,29-03-2018,02-04-2018,05-04-2018,10-04-2018,,20-04-2018,F
116,,09-03-2018,14-03-2018,22-03-2018,27-03-2018,01-04-2018,,06-04-2018,,16-04-2018,F
117,21-03-2018,09-03-2018,14-03-2018,,,,,,,,
118,19-03-2018,09-03-2018,14-03-2018,,,,,,,,
119,,09-03-2018,14-03-2018,21-03-2018,27-03-2018,02-04-2018,,08-04-2018,,16-04-2018,M
120,29-03-2018,09-03-2018,14-03-2018,23-03-2018,,,,,,,
121,,09-03-2018,14-03-2018,21-03-2018,27-03-2018,30-03-2018,,03-04-2018,,14-04-2018,M
122,,09-03-2018,14-03-2018,23-03-2018,30-03-2018,03-04-2018,06-04-2018,11-04-2018,,20-04-2018,F
123,,09-03-2018,14-03-2018,22-03-2018,27-03-2018,01-04-2018,,07-04-2018,,17-04-2018,F
124,,09-03-2018,14-03-2018,21-03-2018,28-03-2018,01-04-2018,,07-04-2018,,15-04-2018,M
125,,09-03-2018,14-03-2018,25-03-2018,28-03-2018,02-04-2018,,07-04-2018,,17-04-2018,F
126,19-03-2018,09-03-2018,14-03-2018,,,,,,,,
127,21-03-2018,09-03-2018,14-03-2018,,,,,,,,
128,,09-03-2018,14-03-2018,22-03-2018,29-03-2018,01-04-2018,05-04-2018,10-04-2018,,20-04-2018,F
129,11-04-2018,09-03-2018,14-03-2018,22-03-2018,28-03-2018,02-04-2018,,05-04-2018,,,
130,,09-03-2018,14-03-2018,21-03-2018,26-03-2018,31-03-2018,,05-04-2018,,14-04-2018,M
131,,09-03-2018,14-03-2018,23-03-2018,29-03-2018,03-04-2018,,08-04-2018,,16-04-2018,M
132,,09-03-2018,14-03-2018,21-03-2018,28-03-2018,02-04-2018,06-04-2018,12-04-2018,,22-04-2018,F
133,,09-03-2018,14-03-2018,22-03-2018,27-03-2018,31-03-2018,,04-04-2018,,12-04-2018,M
134,,09-03-2018,14-03-2018,22-03-2018,27-03-2018,01-04-2018,,06-04-2018,,18-04-2018,F
135,,09-03-2018,14-03-2018,20-03-2018,24-03-2018,29-03-2018,,03-04-2018,,14-04-2018,M
136,,09-03-2018,14-03-2018,21-03-2018,27-03-2018,01-04-2018,,05-04-2018,,13-04-2018,M
137,19-03-2018,09-03-2018,14-03-2018,,,,,,,,
138,,09-03-2018,14-03-2018,21-03-2018,26-03-2018,01-04-2018,,06-04-2018,,15-04-2018,F
139,03-04-2018,09-03-2018,14-03-2018,21-03-2018,25-03-2018,30-03-2018,,,,,
140,20-03-2018,09-03-2018,14-03-2018,,,,,,,,
141,,09-03-2018,14-03-2018,22-03-2018,28-03-2018,01-04-2018,05-04-2018,09-04-2018,,18-04-2018,F
142,26-03-2018,09-03-2018,14-03-2018,22-03-2018,,,,,,,
143,19-03-2018,09-03-2018,14-03-2018,,,,,,,,
