Cup #,Dead,Crisper setup,L2,L3,L4,L5,L6,Pupa,Sex
142,27-03-2018,20-03-2018,25-03-2018,,,,,,
143,30-04-2018,20-03-2018,25-03-2018,12-04-2018,,,,,
144,,20-03-2018,25-03-2018,07-04-2018,13-04-2018,19-04-2018,26-04-2018,08-05-2018,M
145,29-03-2018,20-03-2018,25-03-2018,,,,,,
146,,20-03-2018,25-03-2018,12-04-2018,,,,,
147,,20-03-2018,25-03-2018,08-04-2018,29-04-2018,,,,
148,,20-03-2018,25-03-2018,06-04-2018,26-04-2018,,,,
149,11-05-2018,20-03-2018,25-03-2018,12-04-2018,,,,,
150,21-04-2018,20-03-2018,25-03-2018,05-04-2018,,,,,
151,29-03-2018,20-03-2018,25-03-2018,,,,,,
152,13-04-2018,20-03-2018,25-03-2018,08-04-2018,,,,,
153,22-04-2018,20-03-2018,25-03-2018,13-04-2018,,,,,
154,,20-03-2018,25-03-2018,06-04-2018,15-04-2018,24-04-2018,02-05-2018,15-05-2018,M
155,19-04-2018,20-03-2018,25-03-2018,05-04-2018,12-04-2018,,,,
156,07-05-2018,20-03-2018,25-03-2018,06-04-2018,28-04-2018,,,,
157,22-04-2018,20-03-2018,25-03-2018,11-04-2018,,,,,
158,28-03-2018,20-03-2018,25-03-2018,,,,,,
159,,20-03-2018,25-03-2018,09-04-2018,28-05-2018,,,,
160,23-04-2018,20-03-2018,25-03-2018,14-04-2018,,,,,
161,,20-03-2018,25-03-2018,05-04-2018,25-04-2018,,,,
162,,20-03-2018,25-03-2018,05-04-2018,12-04-2018,20-04-2018,30-04-2018,11-05-2018,M
163,08-06-2018,20-03-2018,25-03-2018,14-04-2018,,,,,
164,26-04-2018,20-03-2018,25-03-2018,09-04-2018,24-04-2018,,,,
165,28-03-2018,20-03-2018,25-03-2018,,,,,,
166,18-04-2018,20-03-2018,25-03-2018,06-04-2018,13-04-2018,,,,
167,,20-03-2018,25-03-2018,06-04-2018,15-04-2018,24-04-2018,11-05-2018,,
168,28-03-2018,20-03-2018,25-03-2018,,,,,,
169,11-05-2018,20-03-2018,25-03-2018,10-04-2018,,,,,
170,,20-03-2018,25-03-2018,06-04-2018,28-04-2018,,,,
171,02-05-2018,20-03-2018,25-03-2018,10-04-2018,,,,,
172,28-03-2018,20-03-2018,25-03-2018,,,,,,
173,28-03-2018,20-03-2018,25-03-2018,,,,,,
174,,20-03-2018,25-03-2018,08-04-2018,27-04-2018,,,,
175,,20-03-2018,25-03-2018,05-04-2018,12-04-2018,,19-04-2018,02-05-2018,M
176,,20-03-2018,25-03-2018,06-04-2018,14-04-2018,,,,
177,,20-03-2018,25-03-2018,06-04-2018,14-04-2018,21-04-2018,28-04-2018,10-05-2018,F
178,30-04-2018,20-03-2018,25-03-2018,10-04-2018,29-04-2018,,,,
179,,20-03-2018,25-03-2018,06-04-2018,13-04-2018,21-04-2018,29-04-2018,12-05-2018,F
180,06-04-2018,20-03-2018,25-03-2018,,,,,,
181,,20-03-2018,25-03-2018,04-04-2018,11-04-2018,19-04-2018,27-04-2018,10-05-2018,F
182,10-04-2018,20-03-2018,25-03-2018,,,,,,
183,,20-03-2018,25-03-2018,04-04-2018,11-04-2018,07-05-2018,,,
184,,20-03-2018,25-03-2018,07-04-2018,16-04-2018,27-04-2018,,,
185,07-05-2018,20-03-2018,25-03-2018,13-04-2018,,,,,
186,28-03-2018,20-03-2018,25-03-2018,,,,,,
187,07-05-2018,20-03-2018,25-03-2018,05-04-2018,23-04-2018,,,,
188,,20-03-2018,25-03-2018,11-04-2018,27-04-2018,,,,
189,,20-03-2018,25-03-2018,07-04-2018,15-04-2018,23-04-2018,01-05-2018,15-05-2018,F
190,28-03-2018,20-03-2018,25-03-2018,,,,,,
191,14-04-2018,20-03-2018,25-03-2018,11-04-2018,,,,,
192,28-03-2018,20-03-2018,25-03-2018,,,,,,
193,08-04-2018,20-03-2018,25-03-2018,,,,,,
194,11-04-2018,20-03-2018,25-03-2018,,,,,,
195,28-05-2018,20-03-2018,25-03-2018,08-04-2018,26-04-2018,,,,
196,28-04-2018,20-03-2018,25-03-2018,08-04-2018,,,,,
197,18-05-2018,20-03-2018,25-03-2018,06-04-2018,29-04-2018,,,,
198,,20-03-2018,25-03-2018,10-04-2018,26-04-2018,,,,
199,11-05-2018,20-03-2018,25-03-2018,14-04-2018,,,,,
200,07-05-2018,20-03-2018,25-03-2018,14-04-2018,,,,,
Extras,,,,,,,,,
1,,20-03-2018,25-03-2018,,,,,,
2,,20-03-2018,25-03-2018,,,,,,
3,,20-03-2018,25-03-2018,,,,,06-05-2018,M
4,,20-03-2018,25-03-2018,,,,,03-05-2018,M
5,,20-03-2018,25-03-2018,,,,,,
6,,20-03-2018,25-03-2018,,,,,,
7,,20-03-2018,25-03-2018,,,,,,
8,,20-03-2018,25-03-2018,,,,,,
9,,20-03-2018,25-03-2018,,,,,,
10,,20-03-2018,25-03-2018,,,,,,
11,,20-03-2018,25-03-2018,,,,,,
12,,20-03-2018,25-03-2018,,,,,,
13,,20-03-2018,25-03-2018,,,,,,
14,,20-03-2018,25-03-2018,,,,,,
15,,20-03-2018,25-03-2018,,,,,,
16,,20-03-2018,25-03-2018,,,,,,
17,,20-03-2018,25-03-2018,,,,,,
18,,20-03-2018,25-03-2018,,,,,,
19,,20-03-2018,25-03-2018,,,,,,
20,,20-03-2018,25-03-2018,,,,,,
21,,20-03-2018,25-03-2018,,,,,,
22,,20-03-2018,25-03-2018,,,,,,
23,,20-03-2018,25-03-2018,,,,,,
24,,20-03-2018,25-03-2018,,,,,04-05-2018,M
