Cup,Dead,L2_crisper,L2,L3,L4,L5,L6,Pupa,Sex,Days_L2,Days_L3,Days_L4,Days_L5,skippers_L4,Days_L6,skippers_L6
1,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,28-09-2017,04-10-2017,F,3,2,2,3,,6,6
2,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,28-09-2017,03-10-2017,F,3,2,2,3,,5,
3,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,26-09-2017,27-09-2017,01-10-2017,M,3,2,3,1,,4,
4,28-09-2017,13-09-2017,18-09-2017,21-09-2017,23-09-2017,26-09-2017,,,,3,2,3,,,,
5,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,27-09-2017,03-10-2017,M,3,2,2,2,,6,
6,,13-09-2017,18-09-2017,21-09-2017,24-09-2017,26-09-2017,28-09-2017,03-10-2017,M,3,3,2,2,,5,
7,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,28-09-2017,03-10-2017,F,3,2,2,3,,5,
8,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,28-09-2017,03-10-2017,F,3,2,2,3,,5,
9,,13-09-2017,18-09-2017,22-09-2017,24-09-2017,26-09-2017,29-09-2017,03-10-2017,M,4,2,2,3,,4,
10,20-09-2017,13-09-2017,18-09-2017,,,,,,,,,,,,,
11,,13-09-2017,18-09-2017,22-09-2017,24-09-2017,26-09-2017,28-09-2017,02-10-2017,M,4,2,2,2,,4,
12,27-09-2017,13-09-2017,18-09-2017,22-09-2017,24-09-2017,26-09-2017,,,,4,2,2,,,,
13,22-09-2017,13-09-2017,18-09-2017,,,,,,,,,,,,,
14,,13-09-2017,18-09-2017,22-09-2017,24-09-2017,26-09-2017,29-09-2017,06-10-2017,F,4,2,2,3,,7,
15,,13-09-2017,18-09-2017,21-09-2017,24-09-2017,25-09-2017,28-09-2017,03-10-2017,M,3,3,1,3,,5,
16,,13-09-2017,18-09-2017,22-09-2017,24-09-2017,26-09-2017,29-09-2017,04-10-2017,M,4,2,2,3,,5,
17,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,28-09-2017,04-10-2017,F,3,2,2,3,,6,
18,,13-09-2017,18-09-2017,22-09-2017,24-09-2017,26-09-2017,29-09-2017,05-10-2017,F,4,2,2,3,,6,
19,,13-09-2017,18-09-2017,22-09-2017,24-09-2017,26-09-2017,29-09-2017,05-10-2017,F,4,2,2,3,,6,
20,,13-09-2017,18-09-2017,22-09-2017,24-09-2017,26-09-2017,28-09-2017,03-10-2017,M,4,2,2,2,,5,
21,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,27-09-2017,02-10-2017,M,3,2,2,2,,5,
22,,13-09-2017,18-09-2017,21-09-2017,24-09-2017,,26-09-2017,01-10-2017,M,3,3,,,2,5,5
23,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,27-09-2017,02-10-2017,M,3,2,2,2,,5,
24,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,28-09-2017,03-10-2017,F,3,2,2,3,,5,
25,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,30-09-2017,06-10-2017,F,3,2,2,5,,6,
26,,13-09-2017,18-09-2017,21-09-2017,24-09-2017,,27-09-2017,01-10-2017,M,3,3,,,3,4,4
27,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,27-09-2017,03-10-2017,F,3,2,2,2,,6,
28,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,26-09-2017,28-09-2017,03-10-2017,M,3,2,3,2,,5,
