Cup,Dead,L2_crisper,L2,L3,L4,L5,L6,Pupa,Sex,Days_L2,Days_L3,Days_L4,Days_L5,skippers_L4,Days_L6,skippers_L6
29,,13-09-2017,18-09-2017,22-09-2017,24-09-2017,26-09-2017,29-09-2017,04-10-2017,F,4,2,2,3,,5,
30,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,27-09-2017,02-10-2017,M,3,2,2,2,,5,
31,,13-09-2017,18-09-2017,22-09-2017,24-09-2017,26-09-2017,28-09-2017,03-10-2017,M,4,2,2,2,,5,
32,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,27-09-2017,01-10-2017,M,3,2,2,2,,4,
33,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,28-09-2017,03-10-2017,M,3,2,2,3,,5,
34,,13-09-2017,18-09-2017,21-09-2017,24-09-2017,26-09-2017,28-09-2017,03-10-2017,F,3,3,2,2,,5,
35,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,28-09-2017,03-10-2017,M,3,2,2,3,,5,
36,,13-09-2017,18-09-2017,21-09-2017,24-09-2017,26-09-2017,28-09-2017,03-10-2017,M,3,3,2,2,,5,
37,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,28-09-2017,08-10-2017,F,3,2,2,3,,10,
38,,13-09-2017,18-09-2017,21-09-2017,24-09-2017,26-09-2017,28-09-2017,04-10-2017,M,3,3,2,2,,6,
39,,13-09-2017,18-09-2017,23-09-2017,26-09-2017,28-09-2017,29-09-2017,03-10-2017,M,5,3,2,1,,4,
40,,13-09-2017,18-09-2017,24-09-2017,26-09-2017,29-09-2017,01-10-2017,06-10-2017,M,6,2,3,2,,5,
41,,13-09-2017,18-09-2017,21-09-2017,24-09-2017,25-09-2017,28-09-2017,02-10-2017,M,3,3,1,3,,4,
42,,13-09-2017,18-09-2017,21-09-2017,24-09-2017,26-09-2017,28-09-2017,04-10-2017,F,3,3,2,2,,6,
43,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,27-09-2017,01-10-2017,M,3,2,2,2,,4,
44,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,28-09-2017,03-10-2017,F,3,2,2,3,,5,
45,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,28-09-2017,04-10-2017,F,3,2,2,3,,6,
46,,13-09-2017,18-09-2017,21-09-2017,24-09-2017,26-09-2017,28-09-2017,04-10-2017,F,3,3,2,2,,6,
47,08-10-2017,13-09-2017,18-09-2017,22-09-2017,24-09-2017,26-09-2017,29-09-2017,,,4,2,2,3,,,
48,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,28-09-2017,02-10-2017,M,3,2,2,3,,4,
49,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,28-09-2017,04-10-2017,F,3,2,2,3,,6,
50,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,28-09-2017,03-10-2017,F,3,2,2,3,,5,
51,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,27-09-2017,01-10-2017,M,3,2,2,2,,4,
52,,13-09-2017,18-09-2017,22-09-2017,24-09-2017,,27-09-2017,01-10-2017,M,4,2,,,3,4,4
53,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,28-09-2017,04-10-2017,F,3,2,2,3,,6,
54,,13-09-2017,18-09-2017,22-09-2017,25-09-2017,27-09-2017,30-09-2017,05-10-2017,M,4,3,2,3,,5,
55,,13-09-2017,18-09-2017,22-09-2017,24-09-2017,26-09-2017,28-09-2017,04-10-2017,F,4,2,2,2,,6,
56,,13-09-2017,18-09-2017,22-09-2017,24-09-2017,26-09-2017,29-09-2017,03-10-2017,M,4,2,2,3,,4,
57,,13-09-2017,18-09-2017,21-09-2017,24-09-2017,,26-09-2017,01-10-2017,M,3,3,,,2,5,5
58,12-10-2017,13-09-2017,18-09-2017,22-09-2017,25-09-2017,,,,,4,3,,,,,
59,,13-09-2017,18-09-2017,21-09-2017,24-09-2017,26-09-2017,28-09-2017,04-10-2017,F,3,3,2,2,,6,
60,,13-09-2017,18-09-2017,22-09-2017,24-09-2017,27-09-2017,30-09-2017,06-10-2017,F,4,2,3,3,,6,
61,,13-09-2017,18-09-2017,22-09-2017,24-09-2017,26-09-2017,29-09-2017,04-10-2017,F,4,2,2,3,,5,
62,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,27-09-2017,02-10-2017,M,3,2,2,2,,5,
63,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,28-09-2017,03-10-2017,M,3,2,2,3,,5,
64,,13-09-2017,18-09-2017,21-09-2017,24-09-2017,,27-09-2017,01-10-2017,M,3,3,,,3,4,4
65,,13-09-2017,18-09-2017,22-09-2017,24-09-2017,26-09-2017,29-09-2017,04-10-2017,M,4,2,2,3,,5,
66,,13-09-2017,18-09-2017,22-09-2017,24-09-2017,26-09-2017,28-09-2017,02-10-2017,M,4,2,2,2,,4,
67,27-09-2017,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,,,,3,2,2,,,,
68,,13-09-2017,18-09-2017,22-09-2017,24-09-2017,25-09-2017,28-09-2017,04-10-2017,F,4,2,1,3,,6,
69,,13-09-2017,18-09-2017,21-09-2017,24-09-2017,26-09-2017,28-09-2017,04-10-2017,M,3,3,2,2,,6,
70,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,26-09-2017,28-09-2017,03-10-2017,F,3,2,3,2,,5,
71,,13-09-2017,18-09-2017,22-09-2017,24-09-2017,26-09-2017,28-09-2017,02-10-2017,M,4,2,2,2,,4,
72,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,27-09-2017,02-10-2017,M,3,2,2,2,,5,
73,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,26-09-2017,28-09-2017,04-10-2017,F,3,2,3,2,,6,
74,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,28-09-2017,03-10-2017,F,3,2,2,3,,5,
75,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,27-09-2017,03-10-2017,F,3,2,2,2,,6,
76,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,27-09-2017,02-10-2017,M,3,2,2,2,,5,
77,,13-09-2017,18-09-2017,21-09-2017,24-09-2017,26-09-2017,28-09-2017,02-10-2017,M,3,3,2,2,,4,
78,,13-09-2017,18-09-2017,21-09-2017,24-09-2017,26-09-2017,28-09-2017,04-10-2017,F,3,3,2,2,,6,
79,,13-09-2017,18-09-2017,22-09-2017,24-09-2017,26-09-2017,29-09-2017,06-10-2017,F,4,2,2,3,,7,
80,,13-09-2017,18-09-2017,22-09-2017,24-09-2017,26-09-2017,28-09-2017,03-10-2017,M,4,2,2,2,,5,
81,,13-09-2017,18-09-2017,22-09-2017,24-09-2017,27-09-2017,29-09-2017,05-10-2017,F,4,2,3,2,,6,
82,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,26-09-2017,29-09-2017,03-10-2017,M,3,2,3,3,,4,
83,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,27-09-2017,03-10-2017,M,3,2,2,2,,6,
84,,13-09-2017,18-09-2017,21-09-2017,24-09-2017,,27-09-2017,02-10-2017,M,3,3,,,3,5,5
85,20-09-2017,13-09-2017,18-09-2017,,,,,,,,,,,,,
86,21-09-2017,13-09-2017,18-09-2017,,,,,,,,,,,,,
87,25-09-2017,13-09-2017,18-09-2017,21-09-2017,24-09-2017,,,,,3,3,,,,,
88,,13-09-2017,18-09-2017,22-09-2017,24-09-2017,26-09-2017,29-09-2017,05-10-2017,F,4,2,2,3,,6,
89,,13-09-2017,18-09-2017,22-09-2017,24-09-2017,26-09-2017,28-09-2017,04-10-2017,F,4,2,2,2,,6,
90,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,27-09-2017,04-10-2017,F,3,2,2,2,,7,
91,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,26-09-2017,29-09-2017,05-10-2017,F,3,2,3,3,,6,
92,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,27-09-2017,02-10-2017,F,3,2,2,2,,5,
93,,13-09-2017,18-09-2017,22-09-2017,25-09-2017,27-09-2017,29-09-2017,04-10-2017,M,4,3,2,2,,5,
94,,13-09-2017,18-09-2017,23-09-2017,25-09-2017,27-09-2017,29-09-2017,04-10-2017,M,5,2,2,2,,5,
95,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,28-09-2017,03-10-2017,F,3,2,2,3,,5,
96,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,28-09-2017,04-10-2017,F,3,2,2,3,,6,
97,,13-09-2017,18-09-2017,21-09-2017,24-09-2017,26-09-2017,29-09-2017,05-10-2017,F,3,3,2,3,,6,
98,,13-09-2017,18-09-2017,22-09-2017,24-09-2017,26-09-2017,29-09-2017,04-10-2017,F,4,2,2,3,,5,
99,,13-09-2017,18-09-2017,22-09-2017,24-09-2017,,26-09-2017,02-10-2017,M,4,2,,,2,6,6
100,,13-09-2017,18-09-2017,21-09-2017,24-09-2017,27-09-2017,28-09-2017,01-10-2017,M,3,3,3,1,,3,
101,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,26-09-2017,28-09-2017,04-10-2017,F,3,2,3,2,,6,
102,24-09-2017,13-09-2017,18-09-2017,,,,,,,,0,0,,,,
103,,13-09-2017,18-09-2017,22-09-2017,24-09-2017,27-09-2017,30-09-2017,05-10-2017,F,4,2,3,3,,5,
104,,13-09-2017,18-09-2017,22-09-2017,24-09-2017,26-09-2017,29-09-2017,03-10-2017,M,4,2,2,3,,4,
105,20-09-2017,13-09-2017,18-09-2017,,,,,,,,0,0,,,,
106,,13-09-2017,18-09-2017,21-09-2017,24-09-2017,26-09-2017,28-09-2017,05-10-2017,F,3,3,2,2,,7,
107,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,26-09-2017,28-09-2017,03-10-2017,M,3,2,3,2,,5,
108,24-09-2017,13-09-2017,18-09-2017,22-09-2017,,,,,,4,,,,,,
109,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,28-09-2017,04-10-2017,F,3,2,2,3,,6,
110,,13-09-2017,18-09-2017,21-09-2017,24-09-2017,26-09-2017,29-09-2017,05-10-2017,F,3,3,2,3,,6,
111,,13-09-2017,18-09-2017,22-09-2017,24-09-2017,26-09-2017,28-09-2017,02-10-2017,M,4,2,2,2,,4,
112,04-10-2017,13-09-2017,18-09-2017,22-09-2017,24-09-2017,26-09-2017,29-09-2017,,,4,2,2,3,,,
113,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,28-09-2017,04-10-2017,F,3,2,2,3,,6,
114,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,28-09-2017,02-10-2017,M,3,2,2,3,,4,
115,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,28-09-2017,03-10-2017,M,3,2,2,3,,5,
116,,13-09-2017,18-09-2017,22-09-2017,24-09-2017,26-09-2017,28-09-2017,02-10-2017,M,4,2,2,2,,4,
117,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,28-09-2017,03-10-2017,F,3,2,2,3,,5,
118,,13-09-2017,18-09-2017,21-09-2017,24-09-2017,,27-09-2017,01-10-2017,M,3,3,,,3,4,4
119,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,26-09-2017,28-09-2017,04-10-2017,F,3,2,3,2,,6,
120,,13-09-2017,18-09-2017,22-09-2017,24-09-2017,26-09-2017,28-09-2017,03-10-2017,M,4,2,2,2,,5,
121,,13-09-2017,18-09-2017,22-09-2017,25-09-2017,27-09-2017,29-09-2017,05-10-2017,F,4,3,2,2,,6,
122,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,28-09-2017,03-10-2017,F,3,2,2,3,,5,
123,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,27-09-2017,02-10-2017,M,3,2,2,2,,5,
124,,13-09-2017,18-09-2017,22-09-2017,24-09-2017,27-09-2017,29-09-2017,05-10-2017,F,4,2,3,2,,6,
125,,13-09-2017,18-09-2017,22-09-2017,24-09-2017,26-09-2017,29-09-2017,04-10-2017,F,4,2,2,3,,5,
126,,13-09-2017,18-09-2017,22-09-2017,24-09-2017,26-09-2017,29-09-2017,05-10-2017,F,4,2,2,3,,6,
127,,13-09-2017,18-09-2017,22-09-2017,24-09-2017,26-09-2017,29-09-2017,06-10-2017,F,4,2,2,3,,7,
128,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,28-09-2017,03-10-2017,F,3,2,2,3,,5,
129,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,26-09-2017,29-09-2017,04-10-2017,F,3,2,3,3,,5,
130,,13-09-2017,18-09-2017,21-09-2017,24-09-2017,26-09-2017,28-09-2017,06-10-2017,F,3,3,2,2,,8,
131,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,29-09-2017,04-10-2017,M,3,2,2,4,,5,
132,,13-09-2017,18-09-2017,22-09-2017,25-09-2017,27-09-2017,30-09-2017,06-10-2017,M,4,3,2,3,,6,
133,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,26-09-2017,27-09-2017,02-10-2017,M,3,2,3,1,,5,
134,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,27-09-2017,02-10-2017,M,3,2,2,2,,5,
135,25-09-2017,13-09-2017,18-09-2017,21-09-2017,,,,,,3,,,,,0,
136,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,28-09-2017,03-10-2017,F,3,2,2,3,,5,
137,,13-09-2017,18-09-2017,21-09-2017,24-09-2017,26-09-2017,28-09-2017,03-10-2017,F,3,3,2,2,,5,
138,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,28-09-2017,02-10-2017,F,3,2,2,3,,4,
139,,13-09-2017,18-09-2017,22-09-2017,24-09-2017,,27-09-2017,02-10-2017,M,4,2,,,3,5,5
140,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,27-09-2017,02-10-2017,M,3,2,2,2,,5,
141,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,28-09-2017,03-10-2017,F,3,2,2,3,,5,
142,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,26-09-2017,28-09-2017,04-10-2017,F,3,2,3,2,,6,
143,12-10-2017,13-09-2017,18-09-2017,23-09-2017,27-09-2017,03-10-2017,,,,5,4,6,,,,
144,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,28-09-2017,04-10-2017,F,3,2,2,3,,6,
145,,13-09-2017,18-09-2017,21-09-2017,24-09-2017,26-09-2017,29-09-2017,04-10-2017,F,3,3,2,3,,5,
146,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,28-09-2017,04-10-2017,F,3,2,2,3,,6,
147,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,28-09-2017,04-10-2017,F,3,2,2,3,,6,
148,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,26-09-2017,29-09-2017,05-10-2017,F,3,2,3,3,,6,
149,,13-09-2017,18-09-2017,21-09-2017,24-09-2017,26-09-2017,29-09-2017,04-10-2017,F,3,3,2,3,,5,
150,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,27-09-2017,02-10-2017,M,3,2,2,2,,5,
151,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,27-09-2017,02-10-2017,M,3,2,2,2,,5,
152,,13-09-2017,18-09-2017,21-09-2017,24-09-2017,26-09-2017,28-09-2017,02-10-2017,M,3,3,2,2,,4,
153,,13-09-2017,18-09-2017,22-09-2017,24-09-2017,26-09-2017,28-09-2017,03-10-2017,M,4,2,2,2,,5,
154,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,28-09-2017,02-10-2017,M,3,2,2,3,,4,
155,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,27-09-2017,03-10-2017,F,3,2,2,2,,6,
156,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,28-09-2017,02-10-2017,M,3,2,2,3,,4,
157,08-10-2017,13-09-2017,18-09-2017,23-09-2017,25-09-2017,27-09-2017,30-09-2017,,,5,2,2,3,,,
158,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,28-09-2017,04-10-2017,F,3,2,2,3,,6,
159,,13-09-2017,18-09-2017,21-09-2017,24-09-2017,26-09-2017,28-09-2017,03-10-2017,F,3,3,2,2,,5,
160,,13-09-2017,18-09-2017,22-09-2017,24-09-2017,26-09-2017,28-09-2017,03-10-2017,F,4,2,2,2,,5,
161,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,27-09-2017,03-10-2017,M,3,2,2,2,,6,
162,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,28-09-2017,03-10-2017,M,3,2,2,3,,5,
163,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,27-09-2017,03-10-2017,M,3,2,2,2,,6,
164,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,28-09-2017,04-10-2017,F,3,2,2,3,,6,
165,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,26-09-2017,28-09-2017,03-10-2017,F,3,2,3,2,,5,
166,,13-09-2017,18-09-2017,22-09-2017,24-09-2017,26-09-2017,28-09-2017,02-10-2017,M,4,2,2,2,,4,
167,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,26-09-2017,28-09-2017,04-10-2017,F,3,2,3,2,,6,
168,,13-09-2017,18-09-2017,22-09-2017,24-09-2017,26-09-2017,28-09-2017,03-10-2017,M,4,2,2,2,,5,
169,,13-09-2017,18-09-2017,21-09-2017,24-09-2017,26-09-2017,29-09-2017,05-10-2017,F,3,3,2,3,,6,
170,08-10-2017,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,28-09-2017,,,3,2,2,3,,,
171,,13-09-2017,18-09-2017,21-09-2017,24-09-2017,26-09-2017,28-09-2017,04-10-2017,F,3,3,2,2,,6,
172,30-09-2017,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,28-09-2017,,,3,2,2,3,,,
173,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,27-09-2017,02-10-2017,M,3,2,2,2,,5,
174,,13-09-2017,18-09-2017,22-09-2017,24-09-2017,26-09-2017,28-09-2017,02-10-2017,M,4,2,2,2,,4,
175,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,28-09-2017,03-10-2017,F,3,2,2,3,,5,
176,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,28-09-2017,02-10-2017,M,3,2,2,3,,4,
177,,13-09-2017,18-09-2017,22-09-2017,24-09-2017,26-09-2017,29-09-2017,04-10-2017,F,4,2,2,3,,5,
178,,13-09-2017,18-09-2017,22-09-2017,24-09-2017,26-09-2017,28-09-2017,02-10-2017,M,4,2,2,2,,4,
179,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,28-09-2017,04-10-2017,F,3,2,2,3,,6,
180,,13-09-2017,18-09-2017,22-09-2017,24-09-2017,26-09-2017,29-09-2017,04-10-2017,F,4,2,2,3,,5,
181,,13-09-2017,18-09-2017,22-09-2017,24-09-2017,27-09-2017,29-09-2017,04-10-2017,M,4,2,3,2,,5,
182,,13-09-2017,18-09-2017,22-09-2017,24-09-2017,26-09-2017,29-09-2017,03-10-2017,M,4,2,2,3,,4,
183,,13-09-2017,18-09-2017,21-09-2017,24-09-2017,25-09-2017,28-09-2017,02-10-2017,M,3,3,1,3,,4,
184,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,28-09-2017,04-10-2017,F,3,2,2,3,,6,
185,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,26-09-2017,28-09-2017,05-10-2017,F,3,2,3,2,,7,
186,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,26-09-2017,28-09-2017,03-10-2017,F,3,2,3,2,,5,
187,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,26-09-2017,28-09-2017,04-10-2017,F,3,2,3,2,,6,
188,,13-09-2017,18-09-2017,22-09-2017,24-09-2017,26-09-2017,28-09-2017,03-10-2017,M,4,2,2,2,,5,
189,,13-09-2017,18-09-2017,21-09-2017,24-09-2017,26-09-2017,28-09-2017,03-10-2017,M,3,3,2,2,,5,
190,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,28-09-2017,04-10-2017,F,3,2,2,3,,6,
191,,13-09-2017,18-09-2017,22-09-2017,24-09-2017,26-09-2017,28-09-2017,04-10-2017,M,4,2,2,2,,6,
192,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,27-09-2017,02-10-2017,M,3,2,2,2,,5,
193,,13-09-2017,18-09-2017,22-09-2017,24-09-2017,26-09-2017,28-09-2017,03-10-2017,M,4,2,2,2,,5,
194,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,28-09-2017,03-10-2017,M,3,2,2,3,,5,
195,,13-09-2017,18-09-2017,22-09-2017,24-09-2017,26-09-2017,29-09-2017,03-10-2017,M,4,2,2,3,,4,
196,,13-09-2017,18-09-2017,21-09-2017,24-09-2017,26-09-2017,29-09-2017,04-10-2017,F,3,3,2,3,,5,
197,,13-09-2017,18-09-2017,22-09-2017,24-09-2017,25-09-2017,28-09-2017,02-10-2017,M,4,2,1,3,,4,
198,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,28-09-2017,04-10-2017,F,3,2,2,3,,6,
199,,13-09-2017,18-09-2017,23-09-2017,25-09-2017,27-09-2017,30-09-2017,06-10-2017,F,5,2,2,3,,6,
200,,13-09-2017,18-09-2017,21-09-2017,23-09-2017,25-09-2017,27-09-2017,03-10-2017,F,3,2,2,2,,6,
Average,,,,,,,,,,3,2,2,3,3,5,5
Extras,,,,,,,,,,,,,,,,
1,,13-09-2017,18-09-2017,,,,,03-10-2017,M,,,,,,,
2,,13-09-2017,18-09-2017,,,,,04-10-2017,M,,,,,,,
3,,13-09-2017,18-09-2017,,,,,03-10-2017,F,,,,,,,
4,,13-09-2017,18-09-2017,,,,,04-10-2017,M,,,,,,,
5,,13-09-2017,18-09-2017,,,,,04-10-2017,M,,,,,,,
6,,13-09-2017,18-09-2017,,,,,04-10-2017,M,,,,,,,
7,,13-09-2017,18-09-2017,,,,,03-10-2017,F,,,,,,,
8,,13-09-2017,18-09-2017,,,,,03-10-2017,M,,,,,,,
9,,13-09-2017,18-09-2017,,,,,05-10-2017,M,,,,,,,
10,,13-09-2017,18-09-2017,,,,,06-10-2017,F,,,,,,,
11,,13-09-2017,18-09-2017,,,,,04-10-2017,F,,,,,,,
12,,13-09-2017,18-09-2017,,,,,02-10-2017,M,,,,,,,
13,,13-09-2017,18-09-2017,,,,,05-10-2017,M,,,,,,,
14,,13-09-2017,18-09-2017,,,,,03-10-2017,F,,,,,,,
15,,13-09-2017,18-09-2017,,,,,03-10-2017,M,,,,,,,
16,,13-09-2017,18-09-2017,,,,,02-10-2017,M,,,,,,,
17,,13-09-2017,18-09-2017,,,,,05-10-2017,F,,,,,,,
18,,13-09-2017,18-09-2017,,,,,02-10-2017,M,,,,,,,
19,,13-09-2017,18-09-2017,,,,,05-10-2017,F,,,,,,,
20,,13-09-2017,18-09-2017,,,,,04-10-2017,M,,,,,,,
21,,13-09-2017,18-09-2017,,,,,03-10-2017,M,,,,,,,
22,,13-09-2017,18-09-2017,,,,,05-10-2017,F,,,,,,,
23,,13-09-2017,18-09-2017,,,,,02-10-2017,M,,,,,,,
24,,13-09-2017,18-09-2017,,,,,05-10-2017,F,,,,,,,
25,,13-09-2017,18-09-2017,,,,,02-10-2017,M,,,,,,,
