Cup #,Dead,Crisper setup,L2,L3,L4,L5,L5.5,L6,Pupa,Sex
108,,30-04-2018,05-05-2018,10-05-2018,15-05-2018,18-05-2018,20-05-2018,23-05-2018,28-05-2018,F
109,12-05-2018,30-04-2018,05-05-2018,09-05-2018,,,,,,
110,12-05-2018,30-04-2018,05-05-2018,09-05-2018,,,,,,
111,,30-04-2018,05-05-2018,09-05-2018,12-05-2018,16-05-2018,18-05-2018,21-05-2018,26-05-2018,F
112,,30-04-2018,05-05-2018,09-05-2018,12-05-2018,16-05-2018,,20-05-2018,27-05-2018,F
113,,30-04-2018,05-05-2018,10-05-2018,13-05-2018,16-05-2018,,20-05-2018,25-05-2018,F
114,26-05-2018,30-04-2018,05-05-2018,12-05-2018,23-05-2018,,,,,
115,,30-04-2018,05-05-2018,10-05-2018,13-05-2018,16-05-2018,,19-05-2018,26-05-2018,F
116,,30-04-2018,05-05-2018,11-05-2018,15-05-2018,18-05-2018,,23-05-2018,29-05-2018,F
117,,30-04-2018,05-05-2018,11-05-2018,15-05-2018,18-05-2018,,21-05-2018,26-05-2018,M
118,16-05-2018,30-04-2018,05-05-2018,11-05-2018,,,,,,
119,,30-04-2018,05-05-2018,12-05-2018,15-05-2018,18-05-2018,21-05-2018,23-05-2018,28-05-2018,M
120,09-05-2018,30-04-2018,05-05-2018,,,,,,,
121,04-06-2018,30-04-2018,05-05-2018,10-05-2018,14-05-2018,17-05-2018,,,,
122,,30-04-2018,05-05-2018,09-05-2018,13-05-2018,16-05-2018,,19-05-2018,27-05-2018,F
123,,30-04-2018,05-05-2018,10-05-2018,15-05-2018,18-05-2018,,20-05-2018,25-05-2018,M
124,,30-04-2018,05-05-2018,11-05-2018,14-05-2018,17-05-2018,,20-05-2018,25-05-2018,F
125,,30-04-2018,05-05-2018,09-05-2018,12-05-2018,15-05-2018,,19-05-2018,24-05-2018,F
126,,30-04-2018,05-05-2018,10-05-2018,13-05-2018,17-05-2018,,20-05-2018,25-05-2018,M
127,,30-04-2018,05-05-2018,13-05-2018,15-05-2018,,,,,
128,23-05-2018,30-04-2018,05-05-2018,12-05-2018,18-05-2018,,,,,
129,,30-04-2018,05-05-2018,10-05-2018,13-05-2018,17-05-2018,,20-05-2018,25-05-2018,F
130,,30-04-2018,05-05-2018,12-05-2018,,,,,,
131,,30-04-2018,05-05-2018,10-05-2018,13-05-2018,16-05-2018,19-05-2018,21-05-2018,27-05-2018,F
